datetime,open,high,low,close,volume
2022-08-10T00:00:00+05:30,184.0,220.0,184.0,210.0,4905
2022-08-11T00:00:00+05:30,186.0,193.6,184.3,186.6,53640
2022-08-12T00:00:00+05:30,18.6,22.2,18.6,18.9,147948
2022-08-16T00:00:00+05:30,20.7,20.7,18.6,19.2,77555
2022-08-17T00:00:00+05:30,19.75,19.8,18.85,19.2,5643
2022-08-18T00:00:00+05:30,20.95,20.95,18.6,19.55,51703
2022-08-19T00:00:00+05:30,19.55,19.9,18.8,19.0,21151
2022-08-22T00:00:00+05:30,19.2,19.2,18.7,18.8,9274
2022-08-23T00:00:00+05:30,18.9,19.2,18.5,18.5,17034
2022-08-24T00:00:00+05:30,18.85,19.05,18.4,18.9,571167
2022-08-25T00:00:00+05:30,19.2,19.3,18.7,19.2,5397
2022-08-26T00:00:00+05:30,19.25,19.45,19.2,19.3,9854
2022-08-29T00:00:00+05:30,19.4,19.5,18.45,19.3,7020
2022-08-30T00:00:00+05:30,18.9,19.65,18.75,19.6,25897
2022-09-01T00:00:00+05:30,19.8,21.1,19.0,20.0,112582
2022-09-02T00:00:00+05:30,21.9,21.9,19.5,19.55,7131
2022-09-05T00:00:00+05:30,20.0,20.5,19.4,19.7,397027
2022-09-06T00:00:00+05:30,20.2,20.2,19.6,19.95,5502
2022-09-07T00:00:00+05:30,20.0,20.35,19.7,19.95,33904
2022-09-08T00:00:00+05:30,20.55,20.55,19.75,19.9,115168
2022-09-09T00:00:00+05:30,20.5,20.5,19.9,19.9,6499
2022-09-12T00:00:00+05:30,19.9,20.5,19.6,20.1,5937
2022-09-13T00:00:00+05:30,20.4,20.6,19.8,20.35,15401
2022-09-14T00:00:00+05:30,20.35,21.5,19.5,20.35,63861
2022-09-15T00:00:00+05:30,20.8,20.8,20.3,20.4,6458
2022-09-16T00:00:00+05:30,20.4,20.8,19.45,19.75,54568
2022-09-19T00:00:00+05:30,20.1,20.1,19.8,20.1,8687
2022-09-20T00:00:00+05:30,20.0,20.4,20.0,20.25,26536
2022-09-21T00:00:00+05:30,21.0,21.0,20.0,20.1,146539
2022-09-22T00:00:00+05:30,20.3,20.4,19.9,20.15,25175
2022-09-23T00:00:00+05:30,21.9,21.9,19.7,19.75,35544
2022-09-26T00:00:00+05:30,19.75,19.9,18.95,19.1,35186
2022-09-27T00:00:00+05:30,19.1,19.3,18.9,19.15,10025
2022-09-28T00:00:00+05:30,19.75,19.75,18.6,19.0,26946
2022-09-29T00:00:00+05:30,19.6,19.6,19.0,19.2,6248
2022-09-30T00:00:00+05:30,19.7,19.7,19.0,19.45,5011
2022-10-03T00:00:00+05:30,19.6,19.6,19.1,19.15,11673
2022-10-04T00:00:00+05:30,19.3,19.5,19.25,19.4,28725
2022-10-06T00:00:00+05:30,19.4,19.7,19.4,19.7,3774
2022-10-07T00:00:00+05:30,19.2,22.5,19.2,19.85,28262
2022-10-10T00:00:00+05:30,23.0,23.0,19.45,19.55,10965
2022-10-11T00:00:00+05:30,19.95,19.95,19.2,19.25,7092
2022-10-12T00:00:00+05:30,19.3,19.45,19.2,19.45,2039
2022-10-13T00:00:00+05:30,19.8,19.8,19.25,19.35,6680
2022-10-14T00:00:00+05:30,19.6,19.75,19.15,19.2,1984
2022-10-17T00:00:00+05:30,19.15,19.45,19.15,19.3,27924
2022-10-18T00:00:00+05:30,19.8,19.8,19.0,19.6,1910
2022-10-19T00:00:00+05:30,19.9,19.9,19.55,19.7,1606
2022-10-20T00:00:00+05:30,20.0,20.0,19.6,19.85,3696
2022-10-21T00:00:00+05:30,19.8,19.9,19.55,19.7,4929
2022-10-24T00:00:00+05:30,19.5,20.5,18.9,19.6,111299
2022-10-25T00:00:00+05:30,19.9,20.0,19.6,19.8,346840
2022-10-27T00:00:00+05:30,20.2,20.2,19.6,19.9,7130
2022-10-28T00:00:00+05:30,19.95,20.2,19.85,19.85,13431
2022-10-31T00:00:00+05:30,20.3,20.3,19.7,20.2,34438
2022-11-01T00:00:00+05:30,20.0,20.55,20.0,20.5,89580
2022-11-02T00:00:00+05:30,20.5,20.6,20.45,20.45,9673
2022-11-03T00:00:00+05:30,20.5,20.55,20.35,20.45,34451
2022-11-04T00:00:00+05:30,20.05,20.6,20.0,20.5,38593
2022-11-07T00:00:00+05:30,20.05,22.9,20.05,20.65,3606
2022-11-09T00:00:00+05:30,20.05,20.75,20.05,20.5,10148
2022-11-10T00:00:00+05:30,20.5,22.7,20.25,20.3,9227
2022-11-11T00:00:00+05:30,20.4,20.55,20.25,20.3,12586
2022-11-14T00:00:00+05:30,20.3,20.4,20.25,20.3,16625
2022-11-15T00:00:00+05:30,20.25,20.35,20.15,20.25,50526
2022-11-16T00:00:00+05:30,20.8,20.8,20.0,20.2,33381
2022-11-17T00:00:00+05:30,20.25,20.3,20.15,20.15,11858
2022-11-18T00:00:00+05:30,20.15,20.15,19.85,19.9,14497
2022-11-21T00:00:00+05:30,20.0,20.35,19.85,19.9,3395
2022-11-22T00:00:00+05:30,20.1,20.2,19.9,20.15,423954
2022-11-23T00:00:00+05:30,20.2,20.5,20.1,20.15,29284
2022-11-24T00:00:00+05:30,20.1,20.45,20.1,20.2,3660
2022-11-25T00:00:00+05:30,20.25,20.5,20.2,20.3,248027
2022-11-28T00:00:00+05:30,20.45,20.45,20.2,20.35,8616
2022-11-29T00:00:00+05:30,20.05,20.7,19.95,20.35,17916
2022-11-30T00:00:00+05:30,20.7,20.7,20.0,20.55,7183
2022-12-01T00:00:00+05:30,20.5,20.55,20.4,20.5,5964
2022-12-02T00:00:00+05:30,20.95,20.95,20.25,20.4,8121
2022-12-05T00:00:00+05:30,20.85,20.85,20.2,20.55,4860
2022-12-06T00:00:00+05:30,20.55,20.55,20.35,20.55,23872
2022-12-07T00:00:00+05:30,20.85,20.85,20.35,20.4,4755
2022-12-08T00:00:00+05:30,20.45,20.5,20.35,20.45,3193
