datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,20.4,20.4,19.81,19.9,130329
2024-02-06T00:00:00+05:30,19.99,20.08,19.8,19.96,131331
2024-02-07T00:00:00+05:30,20.1,20.29,19.96,20.1,196495
2024-02-08T00:00:00+05:30,20.18,24.08,19.93,20.09,706647
2024-02-09T00:00:00+05:30,20.21,20.22,19.8,20.0,153768
2024-02-12T00:00:00+05:30,20.24,20.24,19.79,19.86,159859
2024-02-13T00:00:00+05:30,19.87,20.17,19.56,19.86,177331
2024-02-14T00:00:00+05:30,20.04,20.75,19.61,19.93,1259290
2024-02-15T00:00:00+05:30,20.31,20.31,19.94,20.09,162000
2024-02-16T00:00:00+05:30,20.45,20.45,20.1,20.16,87731
2024-02-19T00:00:00+05:30,20.5,20.51,20.18,20.28,227068
2024-02-20T00:00:00+05:30,20.9,20.9,20.18,20.29,129980
2024-02-21T00:00:00+05:30,20.38,20.41,20.06,20.17,139023
2024-02-22T00:00:00+05:30,20.59,20.59,20.0,20.22,146121
2024-02-23T00:00:00+05:30,20.5,20.61,20.22,20.32,112594
2024-02-26T00:00:00+05:30,20.44,20.44,20.25,20.3,114162
2024-02-27T00:00:00+05:30,20.42,20.42,20.23,20.31,86373
2024-02-28T00:00:00+05:30,20.42,20.43,20.02,20.11,155950
2024-02-29T00:00:00+05:30,20.19,20.34,19.96,20.1,129488
2024-03-01T00:00:00+05:30,20.2,20.37,20.11,20.33,92069
2024-03-02T00:00:00+05:30,20.49,20.5,20.13,20.38,41657
2024-03-04T00:00:00+05:30,20.41,20.49,20.19,20.37,106397
2024-03-05T00:00:00+05:30,20.49,20.49,20.35,20.4,88952
2024-03-06T00:00:00+05:30,20.39,20.48,20.26,20.42,716363
2024-03-07T00:00:00+05:30,20.49,20.49,20.39,20.45,117641
2024-03-11T00:00:00+05:30,20.48,20.85,20.37,20.41,178508
2024-03-12T00:00:00+05:30,20.44,20.5,20.11,20.25,199727
2024-03-13T00:00:00+05:30,20.26,20.44,19.0,19.79,389611
2024-03-14T00:00:00+05:30,20.04,20.2,19.65,19.97,162543
2024-03-15T00:00:00+05:30,20.16,20.3,19.7,19.9,166117
2024-03-18T00:00:00+05:30,19.98,20.23,19.78,19.91,111988
2024-03-19T00:00:00+05:30,19.88,20.14,19.67,19.71,199391
2024-03-20T00:00:00+05:30,20.09,20.09,19.56,19.71,103285
2024-03-21T00:00:00+05:30,19.72,19.96,19.72,19.94,76985
2024-03-22T00:00:00+05:30,19.94,20.03,19.7,20.0,61618
2024-03-26T00:00:00+05:30,20.0,20.38,19.97,20.07,91285
2024-03-27T00:00:00+05:30,20.09,20.2,19.99,20.15,76283
2024-04-01T00:00:00+05:30,20.25,20.52,20.16,20.5,531874
2024-04-02T00:00:00+05:30,20.6,20.65,20.49,20.6,376419
2024-04-03T00:00:00+05:30,20.72,20.72,20.53,20.66,264213
2024-04-04T00:00:00+05:30,20.8,20.8,20.6,20.75,281429
2024-04-05T00:00:00+05:30,20.89,20.89,20.69,20.74,343461
2024-04-08T00:00:00+05:30,20.89,20.89,20.75,20.82,196746
2024-04-09T00:00:00+05:30,20.91,21.05,20.8,20.88,224628
2024-04-10T00:00:00+05:30,20.94,20.98,20.86,20.95,168672
2024-04-12T00:00:00+05:30,21.25,21.25,20.87,20.96,634762
2024-04-15T00:00:00+05:30,21.36,21.36,20.0,20.6,531595
2024-04-16T00:00:00+05:30,20.84,20.84,20.44,20.51,275495
2024-04-18T00:00:00+05:30,20.92,20.92,20.38,20.43,328906
2024-04-19T00:00:00+05:30,20.39,21.08,20.12,20.48,305997
2024-04-22T00:00:00+05:30,20.89,20.89,20.49,20.63,113757
2024-04-23T00:00:00+05:30,20.94,20.94,20.49,20.69,200234
2024-04-24T00:00:00+05:30,20.89,20.89,20.69,20.78,137510
2024-04-25T00:00:00+05:30,20.79,20.99,20.75,20.89,184278
2024-04-26T00:00:00+05:30,20.96,21.02,20.65,20.92,230669
2024-04-29T00:00:00+05:30,20.99,21.3,20.92,21.01,270781
2024-04-30T00:00:00+05:30,21.24,21.24,21.01,21.12,287828
2024-05-02T00:00:00+05:30,21.13,21.24,21.12,21.16,222755
2024-05-03T00:00:00+05:30,21.19,21.26,21.04,21.18,354313
2024-05-06T00:00:00+05:30,21.46,21.46,20.7,20.96,1662833
2024-05-07T00:00:00+05:30,21.44,21.44,20.65,20.79,484426
2024-05-08T00:00:00+05:30,21.27,21.27,20.64,20.81,280579
2024-05-09T00:00:00+05:30,20.89,20.89,20.48,20.51,360904
2024-05-10T00:00:00+05:30,20.85,20.85,20.45,20.62,346066
2024-05-13T00:00:00+05:30,20.88,20.88,20.34,20.66,715459
2024-05-14T00:00:00+05:30,20.87,20.87,20.5,20.79,192288
2024-05-15T00:00:00+05:30,20.91,20.91,20.61,20.89,592602
2024-05-16T00:00:00+05:30,20.91,21.06,20.82,20.99,183590
2024-05-17T00:00:00+05:30,21.18,21.2,20.91,21.14,242054
2024-05-18T00:00:00+05:30,21.34,21.34,21.05,21.2,61289
2024-05-21T00:00:00+05:30,21.2,21.39,21.0,21.3,438610
2024-05-22T00:00:00+05:30,21.43,21.79,21.1,21.37,272984
2024-05-23T00:00:00+05:30,21.51,21.57,21.24,21.52,425011
2024-05-24T00:00:00+05:30,21.59,21.78,21.49,21.61,1185469
2024-05-27T00:00:00+05:30,21.63,21.8,21.5,21.7,616309
2024-05-28T00:00:00+05:30,21.84,21.84,21.47,21.57,424355
2024-05-29T00:00:00+05:30,21.6,21.84,21.41,21.51,210748
2024-05-30T00:00:00+05:30,21.74,21.74,21.15,21.2,1082815
2024-05-31T00:00:00+05:30,21.6,21.6,21.17,21.26,226505
2024-06-03T00:00:00+05:30,21.51,22.0,21.5,21.85,619062
2024-06-04T00:00:00+05:30,21.9,24.5,20.0,22.0,1941422
2024-06-05T00:00:00+05:30,22.2,22.2,20.65,21.22,1720482
2024-06-06T00:00:00+05:30,21.5,21.7,21.32,21.46,678530
2024-06-07T00:00:00+05:30,21.79,21.98,21.46,21.78,438154
2024-06-10T00:00:00+05:30,21.92,22.0,21.8,21.87,553385
2024-06-11T00:00:00+05:30,22.09,22.09,21.8,21.93,362193
2024-06-12T00:00:00+05:30,21.94,22.08,21.94,22.02,351378
2024-06-13T00:00:00+05:30,22.08,22.15,21.9,22.11,259480
2024-06-14T00:00:00+05:30,22.15,22.62,22.12,22.42,736021
2024-06-18T00:00:00+05:30,22.75,22.84,22.42,22.57,5356996
2024-06-19T00:00:00+05:30,22.75,22.75,22.31,22.43,580842
2024-06-20T00:00:00+05:30,22.43,22.64,22.4,22.49,287205
2024-06-21T00:00:00+05:30,22.64,22.64,22.03,22.42,904230
2024-06-24T00:00:00+05:30,22.41,22.5,22.14,22.47,221525
2024-06-25T00:00:00+05:30,22.49,22.72,22.36,22.51,320912
2024-06-26T00:00:00+05:30,22.7,22.7,22.41,22.55,206999
2024-06-27T00:00:00+05:30,22.68,22.68,22.44,22.59,220471
2024-06-28T00:00:00+05:30,22.73,22.74,22.59,22.68,270237
2024-07-01T00:00:00+05:30,22.69,22.94,22.6,22.78,817644
2024-07-02T00:00:00+05:30,22.94,22.95,22.7,22.77,273083
2024-07-03T00:00:00+05:30,23.32,23.32,22.54,22.91,269619
2024-07-04T00:00:00+05:30,23.0,23.45,22.85,23.15,346449
2024-07-05T00:00:00+05:30,23.85,23.85,23.09,23.62,610757
2024-07-08T00:00:00+05:30,23.84,23.84,23.23,23.3,1805780
2024-07-09T00:00:00+05:30,23.44,23.65,23.3,23.59,362748
2024-07-10T00:00:00+05:30,23.64,23.75,23.09,23.22,1992733
2024-07-11T00:00:00+05:30,23.44,23.45,23.11,23.2,351345
2024-07-12T00:00:00+05:30,23.22,23.3,23.09,23.21,410469
2024-07-15T00:00:00+05:30,23.86,23.86,23.15,23.34,309209
2024-07-16T00:00:00+05:30,23.36,23.49,23.25,23.37,332859
2024-07-18T00:00:00+05:30,23.41,23.42,23.0,23.35,497319
2024-07-19T00:00:00+05:30,23.44,23.45,23.06,23.13,364664
2024-07-22T00:00:00+05:30,23.13,23.34,22.91,23.18,218240
2024-07-23T00:00:00+05:30,23.34,23.59,22.6,23.08,625961
2024-07-24T00:00:00+05:30,23.34,23.34,23.0,23.08,196380
2024-07-25T00:00:00+05:30,23.09,23.09,22.81,23.04,160439
2024-07-26T00:00:00+05:30,23.29,23.38,23.05,23.35,504973
2024-07-29T00:00:00+05:30,23.36,23.68,23.35,23.46,492193
