datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,59.55,61.5,58.5,58.75,58007
2021-03-10T00:00:00+05:30,59.15,60.2,58.1,59.75,70039
2021-03-12T00:00:00+05:30,59.75,62.0,58.5,59.75,60936
2021-03-15T00:00:00+05:30,60.2,60.3,57.8,58.05,57165
2021-03-16T00:00:00+05:30,61.1,61.15,57.6,58.65,81255
2021-03-17T00:00:00+05:30,60.45,61.1,57.2,59.25,95467
2021-03-18T00:00:00+05:30,60.0,60.55,58.0,58.95,99264
2021-03-19T00:00:00+05:30,58.05,58.35,56.0,57.25,68688
2021-03-22T00:00:00+05:30,58.35,58.5,56.0,56.65,70332
2021-03-23T00:00:00+05:30,57.7,58.3,55.55,55.8,93411
2021-03-24T00:00:00+05:30,55.8,57.7,55.15,56.1,50474
2021-03-25T00:00:00+05:30,56.5,57.1,55.1,55.95,59074
2021-03-26T00:00:00+05:30,57.5,61.25,56.5,57.5,168596
2021-03-30T00:00:00+05:30,62.0,69.0,62.0,69.0,601152
2021-03-31T00:00:00+05:30,70.5,82.8,70.5,82.8,2649705
2021-04-01T00:00:00+05:30,84.2,90.9,77.1,89.35,2338570
2021-04-05T00:00:00+05:30,90.0,93.05,81.0,83.9,1070117
2021-04-06T00:00:00+05:30,87.4,88.4,83.05,85.1,578107
2021-04-07T00:00:00+05:30,85.1,90.0,81.4,86.55,471053
2021-04-08T00:00:00+05:30,86.7,95.2,86.25,93.45,1269340
2021-04-09T00:00:00+05:30,93.9,99.25,90.0,94.75,987458
2021-04-12T00:00:00+05:30,92.0,92.0,85.3,85.55,667248
2021-04-13T00:00:00+05:30,88.5,91.6,87.5,89.85,195205
2021-04-15T00:00:00+05:30,91.0,94.0,89.5,91.85,302713
2021-04-16T00:00:00+05:30,93.0,101.0,91.4,101.0,792688
2021-04-19T00:00:00+05:30,101.0,111.1,94.6,111.1,850039
2021-04-20T00:00:00+05:30,122.2,122.2,113.6,118.8,1012362
2021-04-22T00:00:00+05:30,120.0,122.15,112.9,112.9,576534
2021-04-23T00:00:00+05:30,109.95,109.95,107.3,107.3,294603
2021-04-26T00:00:00+05:30,102.4,112.65,102.4,112.65,329270
2021-04-27T00:00:00+05:30,118.25,118.25,109.0,110.55,165091
2021-04-28T00:00:00+05:30,111.0,112.0,106.0,106.8,102608
2021-04-29T00:00:00+05:30,109.0,110.0,103.55,108.0,264882
2021-04-30T00:00:00+05:30,103.0,112.6,102.75,109.75,192829
2021-05-03T00:00:00+05:30,115.2,115.2,112.0,115.2,119190
2021-05-04T00:00:00+05:30,120.95,120.95,115.0,117.1,132908
2021-05-05T00:00:00+05:30,118.45,120.0,115.1,116.7,43741
2021-05-06T00:00:00+05:30,112.8,116.0,111.25,112.15,110673
2021-05-07T00:00:00+05:30,112.15,115.9,108.5,115.2,68365
2021-05-10T00:00:00+05:30,116.0,120.5,116.0,117.95,130909
2021-05-11T00:00:00+05:30,115.65,118.9,114.0,114.55,123610
2021-05-12T00:00:00+05:30,114.3,116.8,111.05,113.85,68433
2021-05-14T00:00:00+05:30,113.8,118.5,112.5,114.15,191884
2021-05-17T00:00:00+05:30,117.85,117.85,111.0,116.3,120698
2021-05-18T00:00:00+05:30,116.3,120.0,116.0,119.7,122054
2021-05-19T00:00:00+05:30,121.05,125.65,121.05,125.65,104672
2021-05-20T00:00:00+05:30,131.9,131.9,131.9,131.9,53495
2021-05-21T00:00:00+05:30,138.45,138.45,132.2,138.2,377652
2021-05-24T00:00:00+05:30,135.5,135.5,131.3,131.3,60292
2021-05-25T00:00:00+05:30,129.0,136.3,124.75,127.05,219610
2021-05-26T00:00:00+05:30,121.0,128.0,120.7,121.5,350153
2021-05-27T00:00:00+05:30,125.0,125.0,118.3,118.85,186839
2021-05-28T00:00:00+05:30,118.85,122.0,115.5,118.85,93178
2021-05-31T00:00:00+05:30,116.8,120.45,115.55,118.35,106114
2021-06-01T00:00:00+05:30,119.85,122.0,118.0,120.15,126653
2021-06-02T00:00:00+05:30,118.55,121.4,117.7,120.0,32275
2021-06-03T00:00:00+05:30,120.1,121.1,118.25,120.25,66418
2021-06-04T00:00:00+05:30,119.0,121.9,118.5,120.05,39785
2021-06-07T00:00:00+05:30,120.05,121.8,116.1,118.3,61222
2021-06-08T00:00:00+05:30,120.0,121.0,116.0,118.05,57327
2021-06-09T00:00:00+05:30,116.75,119.65,116.0,117.0,78354
2021-06-10T00:00:00+05:30,118.7,119.0,114.6,116.25,87146
2021-06-11T00:00:00+05:30,117.0,117.15,114.0,115.1,36888
2021-06-14T00:00:00+05:30,116.95,118.2,116.0,117.6,73750
2021-06-15T00:00:00+05:30,117.2,122.0,117.2,118.0,30677
2021-06-16T00:00:00+05:30,118.0,119.75,116.5,117.95,35174
2021-06-17T00:00:00+05:30,117.1,120.0,117.1,117.2,17016
2021-06-18T00:00:00+05:30,116.1,117.85,111.35,112.5,60255
2021-06-21T00:00:00+05:30,113.0,115.55,112.1,114.75,20297
2021-06-22T00:00:00+05:30,115.9,115.9,110.0,111.05,40240
2021-06-23T00:00:00+05:30,113.2,113.25,111.0,111.95,25605
2021-06-24T00:00:00+05:30,112.5,115.0,111.95,112.35,20869
2021-06-25T00:00:00+05:30,113.95,117.95,113.95,117.95,73897
2021-06-28T00:00:00+05:30,123.8,123.8,123.8,123.8,36386
2021-06-29T00:00:00+05:30,129.95,129.95,126.5,129.95,379699
2021-06-30T00:00:00+05:30,130.0,132.5,125.75,130.2,152959
2021-07-01T00:00:00+05:30,132.4,136.7,130.1,136.7,125937
2021-07-02T00:00:00+05:30,140.8,143.5,138.8,143.5,165292
2021-07-05T00:00:00+05:30,148.0,148.8,136.35,138.75,180937
2021-07-06T00:00:00+05:30,144.7,145.65,132.35,141.35,108064
2021-07-07T00:00:00+05:30,144.9,144.9,136.1,138.4,41172
2021-07-08T00:00:00+05:30,138.0,141.9,131.5,132.5,91286
2021-07-09T00:00:00+05:30,132.7,136.0,126.25,128.7,151716
2021-07-12T00:00:00+05:30,129.0,134.5,129.0,131.4,49738
2021-07-13T00:00:00+05:30,134.0,134.0,130.0,130.3,47456
2021-07-14T00:00:00+05:30,131.7,136.75,130.0,135.0,62741
2021-07-15T00:00:00+05:30,135.95,139.95,132.35,135.05,42949
2021-07-16T00:00:00+05:30,135.05,141.45,133.0,139.8,106055
2021-07-19T00:00:00+05:30,140.8,145.9,136.05,143.0,88695
2021-07-20T00:00:00+05:30,147.3,147.3,135.85,137.85,65491
2021-07-22T00:00:00+05:30,144.7,144.7,140.0,141.7,367304
2021-07-23T00:00:00+05:30,140.0,143.0,134.75,135.8,91462
2021-07-26T00:00:00+05:30,135.0,139.9,131.55,136.35,33786
2021-07-27T00:00:00+05:30,139.85,139.85,134.3,135.6,48077
2021-07-28T00:00:00+05:30,134.05,139.5,134.05,138.85,40422
2021-07-29T00:00:00+05:30,140.0,145.75,139.5,141.95,74667
2021-07-30T00:00:00+05:30,144.5,144.7,142.7,143.0,355675
2021-08-02T00:00:00+05:30,145.0,150.15,140.0,150.1,323287
2021-08-03T00:00:00+05:30,152.0,154.95,150.5,152.4,174794
2021-08-04T00:00:00+05:30,154.0,154.0,148.05,151.6,131553
2021-08-05T00:00:00+05:30,151.45,153.0,146.0,151.05,144398
2021-08-06T00:00:00+05:30,150.0,151.9,147.5,151.5,152185
2021-08-09T00:00:00+05:30,152.8,153.25,146.15,149.4,23490583
2021-08-10T00:00:00+05:30,151.0,151.0,141.95,143.9,195137
2021-08-11T00:00:00+05:30,144.9,147.0,136.75,138.1,96293
2021-08-12T00:00:00+05:30,141.0,145.0,141.0,145.0,14267
2021-08-13T00:00:00+05:30,152.25,152.25,152.25,152.25,21555
2021-08-16T00:00:00+05:30,159.85,159.85,156.2,159.85,297763
2021-08-17T00:00:00+05:30,167.5,167.5,156.0,158.8,173774
2021-08-18T00:00:00+05:30,163.0,164.7,150.9,155.5,149697
2021-08-20T00:00:00+05:30,150.0,152.0,147.75,148.0,87532
2021-08-23T00:00:00+05:30,147.75,153.0,140.6,142.9,91707
2021-08-24T00:00:00+05:30,136.35,147.75,136.35,145.25,72629
2021-08-25T00:00:00+05:30,146.2,147.0,143.0,144.1,29422
2021-08-26T00:00:00+05:30,151.3,151.3,142.85,144.7,27441
2021-08-27T00:00:00+05:30,146.0,146.0,141.1,144.15,58460
2021-08-30T00:00:00+05:30,145.05,147.0,143.0,144.7,25394
2021-08-31T00:00:00+05:30,149.4,149.4,143.0,144.4,23903
2021-09-01T00:00:00+05:30,142.15,146.45,142.15,143.55,29794
2021-09-02T00:00:00+05:30,143.55,144.85,140.1,143.15,23331
