datetime,open,high,low,close,volume
2024-09-05T00:00:00+05:30,17.06,17.06,16.6,16.7,174076
2024-09-06T00:00:00+05:30,16.98,16.98,16.4,16.57,991742
2024-09-09T00:00:00+05:30,16.74,16.74,16.35,16.5,255846
2024-09-10T00:00:00+05:30,17.0,17.0,16.45,16.56,340302
2024-09-11T00:00:00+05:30,17.32,17.32,16.52,16.61,222033
2024-09-12T00:00:00+05:30,16.75,16.75,16.54,16.67,518033
2024-09-13T00:00:00+05:30,16.97,16.97,16.7,16.81,450532
2024-09-16T00:00:00+05:30,16.97,17.01,16.72,16.81,279132
2024-09-17T00:00:00+05:30,16.99,16.99,16.73,16.81,136391
2024-09-18T00:00:00+05:30,17.24,17.24,16.7,16.74,407092
2024-09-19T00:00:00+05:30,16.83,16.84,16.51,16.65,126634
2024-09-20T00:00:00+05:30,16.75,16.9,16.68,16.86,122509
2024-09-23T00:00:00+05:30,17.1,17.1,16.86,16.99,175889
2024-09-24T00:00:00+05:30,17.14,17.14,16.98,17.04,84166
2024-09-25T00:00:00+05:30,17.04,17.09,16.9,16.99,114239
2024-09-26T00:00:00+05:30,17.0,17.05,16.86,17.02,448461
2024-09-27T00:00:00+05:30,17.55,17.55,17.0,17.01,98346
2024-09-30T00:00:00+05:30,17.15,17.15,16.82,16.87,161277
2024-10-01T00:00:00+05:30,16.93,17.28,16.82,16.94,154821
2024-10-03T00:00:00+05:30,16.84,17.0,16.5,16.6,463338
2024-10-04T00:00:00+05:30,16.93,16.93,16.37,16.43,525549
2024-10-07T00:00:00+05:30,16.45,16.67,16.0,16.18,427253
2024-10-08T00:00:00+05:30,16.38,16.54,16.05,16.4,170884
2024-10-09T00:00:00+05:30,16.48,16.66,16.13,16.54,188148
2024-10-10T00:00:00+05:30,16.77,16.77,16.49,16.51,105284
2024-10-11T00:00:00+05:30,16.77,16.77,16.45,16.53,61541
2024-10-14T00:00:00+05:30,16.64,16.73,16.4,16.57,99326
2024-10-15T00:00:00+05:30,16.77,16.77,16.55,16.64,158648
2024-10-16T00:00:00+05:30,16.63,16.69,16.5,16.62,151053
2024-10-17T00:00:00+05:30,16.66,16.66,16.35,16.4,175727
2024-10-18T00:00:00+05:30,16.25,16.46,16.07,16.43,106168
2024-10-21T00:00:00+05:30,16.76,16.76,16.19,16.22,128739
2024-10-22T00:00:00+05:30,16.24,16.28,15.83,15.9,261329
2024-10-23T00:00:00+05:30,16.2,16.2,15.75,15.95,147236
2024-10-24T00:00:00+05:30,15.95,16.75,15.86,16.17,139213
2024-10-25T00:00:00+05:30,16.73,16.73,15.55,15.69,687613
2024-10-28T00:00:00+05:30,15.71,15.88,15.6,15.78,146599
2024-10-29T00:00:00+05:30,15.82,16.33,15.64,15.93,227687
2024-10-30T00:00:00+05:30,16.17,16.17,15.82,15.89,185018
2024-10-31T00:00:00+05:30,15.9,16.0,15.8,15.9,86394
2024-11-01T00:00:00+05:30,15.99,16.16,15.99,16.03,38112
2024-11-04T00:00:00+05:30,16.18,16.22,15.67,15.81,260062
2024-11-05T00:00:00+05:30,15.98,15.98,15.62,15.87,127304
2024-11-06T00:00:00+05:30,15.96,16.2,15.92,16.13,243333
2024-11-07T00:00:00+05:30,16.3,16.31,16.01,16.03,94654
2024-11-08T00:00:00+05:30,16.04,16.09,15.79,15.85,87856
2024-11-11T00:00:00+05:30,16.07,16.07,15.73,15.81,64006
2024-11-12T00:00:00+05:30,15.88,15.94,15.54,15.62,111332
2024-11-13T00:00:00+05:30,15.63,15.63,15.25,15.32,278517
2024-11-14T00:00:00+05:30,16.08,16.08,15.27,15.4,69501
2024-11-18T00:00:00+05:30,15.39,15.54,15.21,15.28,96604
2024-11-19T00:00:00+05:30,15.6,15.6,15.34,15.39,116439
2024-11-21T00:00:00+05:30,15.39,15.39,15.15,15.26,237874
2024-11-22T00:00:00+05:30,15.26,15.58,15.25,15.51,53808
2024-11-25T00:00:00+05:30,15.82,15.9,15.63,15.76,55751
2024-11-26T00:00:00+05:30,16.08,16.08,15.73,15.78,38097
2024-11-27T00:00:00+05:30,16.07,16.27,15.69,15.9,134827
2024-11-28T00:00:00+05:30,16.17,16.25,15.76,15.79,162015
2024-11-29T00:00:00+05:30,15.84,16.22,15.79,15.97,72952
2024-12-02T00:00:00+05:30,16.45,16.45,15.84,16.01,712650
2024-12-03T00:00:00+05:30,16.09,16.19,15.73,16.13,135298
2024-12-04T00:00:00+05:30,16.13,16.25,16.12,16.23,113826
2024-12-05T00:00:00+05:30,16.27,16.41,16.11,16.3,86152
2024-12-06T00:00:00+05:30,16.73,16.73,16.27,16.35,78254
2024-12-09T00:00:00+05:30,16.39,16.45,16.31,16.4,386467
2024-12-10T00:00:00+05:30,16.73,16.73,16.34,16.4,61437
2024-12-11T00:00:00+05:30,16.59,16.6,16.35,16.44,80646
2024-12-12T00:00:00+05:30,16.61,16.61,16.26,16.39,235320
2024-12-13T00:00:00+05:30,16.49,16.51,16.1,16.43,143305
2024-12-16T00:00:00+05:30,16.61,16.61,16.23,16.41,45297
2024-12-17T00:00:00+05:30,16.6,16.88,16.22,16.29,65613
2024-12-18T00:00:00+05:30,16.3,16.33,16.11,16.18,122315
2024-12-19T00:00:00+05:30,16.5,16.5,15.9,16.04,1177734
2024-12-20T00:00:00+05:30,16.04,16.36,15.72,15.76,172775
2024-12-23T00:00:00+05:30,15.86,15.92,15.71,15.79,42564
2024-12-24T00:00:00+05:30,15.8,15.88,15.75,15.79,42807
2024-12-26T00:00:00+05:30,15.79,16.0,15.72,15.8,44400
2024-12-27T00:00:00+05:30,16.12,16.12,15.78,15.82,66543
2024-12-30T00:00:00+05:30,15.83,16.11,15.66,15.75,121837
2024-12-31T00:00:00+05:30,15.66,15.89,15.45,15.78,70117
2025-01-01T00:00:00+05:30,16.1,16.1,15.76,15.89,95267
2025-01-02T00:00:00+05:30,15.92,16.09,15.85,16.08,63175
2025-01-03T00:00:00+05:30,16.09,16.14,16.0,16.03,105945
2025-01-06T00:00:00+05:30,16.35,16.35,15.6,15.64,159253
2025-01-07T00:00:00+05:30,15.98,16.61,15.65,15.77,187908
2025-01-08T00:00:00+05:30,16.1,16.1,15.51,15.65,84605
2025-01-09T00:00:00+05:30,15.98,15.98,15.5,15.52,147364
2025-01-10T00:00:00+05:30,15.53,15.98,15.25,15.32,333388
2025-01-13T00:00:00+05:30,15.66,15.85,14.85,14.9,570479
2025-01-14T00:00:00+05:30,15.07,15.24,14.9,15.07,247162
2025-01-15T00:00:00+05:30,15.24,15.24,15.01,15.09,99760
2025-01-16T00:00:00+05:30,15.25,15.34,15.19,15.23,138465
2025-01-17T00:00:00+05:30,15.54,15.54,15.09,15.21,138410
2025-01-20T00:00:00+05:30,15.48,15.48,15.15,15.32,119697
2025-01-21T00:00:00+05:30,15.54,15.54,15.02,15.05,380974
2025-01-22T00:00:00+05:30,15.06,15.07,14.8,14.97,732441
2025-01-23T00:00:00+05:30,14.98,15.2,14.92,15.08,217171
2025-01-24T00:00:00+05:30,15.24,15.25,14.85,14.92,632365
