datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,36.7,36.7,35.2,35.55,24019
2021-03-10T00:00:00+05:30,36.3,36.3,35.45,35.65,27865
2021-03-12T00:00:00+05:30,36.75,36.75,34.1,35.45,50192
2021-03-15T00:00:00+05:30,36.5,36.5,34.15,35.3,136230
2021-03-16T00:00:00+05:30,36.3,36.3,34.6,35.45,118622
2021-03-17T00:00:00+05:30,36.4,36.4,34.6,34.75,118832
2021-03-18T00:00:00+05:30,35.7,35.7,34.1,34.4,128061
2021-03-19T00:00:00+05:30,35.55,35.55,33.5,34.65,42315
2021-03-22T00:00:00+05:30,35.6,39.9,31.7,34.95,61605
2021-03-23T00:00:00+05:30,35.5,35.5,34.9,35.45,24986
2021-03-24T00:00:00+05:30,36.4,36.4,34.85,34.95,43536
2021-03-25T00:00:00+05:30,35.6,35.6,34.0,34.2,39684
2021-03-26T00:00:00+05:30,35.45,35.45,34.35,34.55,13612
2021-03-30T00:00:00+05:30,35.5,35.5,34.1,34.85,21048
2021-03-31T00:00:00+05:30,35.5,35.5,34.2,34.8,203160
2021-04-01T00:00:00+05:30,35.5,35.5,34.7,35.1,16827
2021-04-05T00:00:00+05:30,36.2,36.2,34.5,35.1,99176
2021-04-06T00:00:00+05:30,36.0,36.0,34.4,35.45,22534
2021-04-07T00:00:00+05:30,36.4,38.3,35.35,36.15,158645
2021-04-08T00:00:00+05:30,37.45,37.45,35.4,35.9,129651
2021-04-09T00:00:00+05:30,38.4,40.5,35.85,36.0,114787
2021-04-12T00:00:00+05:30,33.5,40.7,31.3,34.35,232639
2021-04-13T00:00:00+05:30,36.8,38.8,34.0,34.75,27000
2021-04-15T00:00:00+05:30,35.95,35.95,31.6,34.7,36705
2021-04-16T00:00:00+05:30,39.9,39.9,31.6,35.25,23083
2021-04-19T00:00:00+05:30,38.4,38.4,32.1,34.5,34601
2021-04-20T00:00:00+05:30,35.4,35.4,34.4,34.7,28499
2021-04-22T00:00:00+05:30,39.2,39.2,34.1,34.9,17170
2021-04-23T00:00:00+05:30,35.5,35.5,34.7,34.75,24395
2021-04-26T00:00:00+05:30,40.0,40.0,34.2,35.1,19917
2021-04-27T00:00:00+05:30,39.6,39.6,34.5,35.2,14858
2021-04-28T00:00:00+05:30,36.0,36.0,34.7,35.6,15585
2021-04-29T00:00:00+05:30,40.2,40.2,35.35,35.35,31405
2021-04-30T00:00:00+05:30,41.8,41.8,32.3,35.45,24691
2021-05-03T00:00:00+05:30,38.7,38.7,32.75,35.55,23551
2021-05-04T00:00:00+05:30,36.0,36.0,35.0,35.5,18852
2021-05-05T00:00:00+05:30,40.8,40.8,35.35,36.1,120095
2021-05-06T00:00:00+05:30,36.8,36.8,35.65,36.2,55430
2021-05-07T00:00:00+05:30,42.7,42.7,35.85,36.5,18121
2021-05-10T00:00:00+05:30,37.45,37.9,36.0,36.8,27412
2021-05-11T00:00:00+05:30,37.7,37.7,36.15,36.75,23837
2021-05-12T00:00:00+05:30,33.4,38.7,33.4,36.85,15930
2021-05-14T00:00:00+05:30,40.2,40.2,36.2,36.55,86635
2021-05-17T00:00:00+05:30,42.0,42.0,36.0,36.5,113117
2021-05-18T00:00:00+05:30,39.8,39.8,33.2,37.2,21508
2021-05-19T00:00:00+05:30,37.5,37.7,36.7,37.4,20072
2021-05-20T00:00:00+05:30,38.95,39.7,37.5,37.6,19955
2021-05-21T00:00:00+05:30,37.9,38.0,37.4,37.9,22104
2021-05-24T00:00:00+05:30,34.5,41.3,34.5,37.95,176185
2021-05-25T00:00:00+05:30,38.9,38.9,37.5,37.9,20662
2021-05-26T00:00:00+05:30,41.3,41.3,37.65,37.9,12076
2021-05-27T00:00:00+05:30,38.75,38.75,37.55,37.85,15259
2021-05-28T00:00:00+05:30,41.3,41.3,37.95,38.1,17432
2021-05-31T00:00:00+05:30,41.5,41.5,34.7,38.15,40803
2021-06-01T00:00:00+05:30,43.1,43.1,38.0,38.25,32218
2021-06-02T00:00:00+05:30,43.2,43.2,34.8,38.85,143803
2021-06-03T00:00:00+05:30,44.7,44.7,38.3,39.4,37718
2021-06-04T00:00:00+05:30,42.9,42.9,38.95,39.45,58353
