datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,157.9,158.25,156.06,157.97,173337
2021-03-10T00:00:00+05:30,162.96,162.96,157.7,158.52,52656
2021-03-12T00:00:00+05:30,160.4,160.4,156.4,156.72,39976
2021-03-15T00:00:00+05:30,161.87,161.87,154.6,156.24,113793
2021-03-16T00:00:00+05:30,156.9,157.59,155.71,156.0,15025
2021-03-17T00:00:00+05:30,157.44,157.44,153.55,153.91,182098
2021-03-18T00:00:00+05:30,150.2,158.5,150.16,152.24,57827
2021-03-19T00:00:00+05:30,156.87,156.87,150.1,154.44,57688
2021-03-22T00:00:00+05:30,155.49,155.49,152.75,153.87,34287
2021-03-23T00:00:00+05:30,158.0,158.77,153.88,154.54,24573
2021-03-24T00:00:00+05:30,154.44,154.44,151.88,152.21,37043
2021-03-25T00:00:00+05:30,151.61,152.3,149.79,150.38,48024
2021-03-26T00:00:00+05:30,151.95,152.7,151.17,151.8,15197
2021-03-30T00:00:00+05:30,156.86,156.86,152.66,154.97,117256
2021-03-31T00:00:00+05:30,154.55,154.55,152.88,153.46,25377
2021-04-01T00:00:00+05:30,152.97,155.31,152.97,155.14,37533
2021-04-05T00:00:00+05:30,159.97,159.97,151.51,153.32,207804
2021-04-06T00:00:00+05:30,153.0,154.86,152.35,153.95,185021
2021-04-07T00:00:00+05:30,149.3,156.9,149.3,155.04,221291
2021-04-08T00:00:00+05:30,158.0,158.0,154.88,155.51,199017
2021-04-09T00:00:00+05:30,155.54,155.74,154.33,154.91,10391
2021-04-12T00:00:00+05:30,152.89,154.0,150.1,151.74,223880
2021-04-13T00:00:00+05:30,147.2,152.17,147.12,151.91,99488
2021-04-15T00:00:00+05:30,152.0,152.97,150.32,152.32,30774
2021-04-16T00:00:00+05:30,152.59,153.52,152.17,152.64,33775
2021-04-19T00:00:00+05:30,150.0,150.66,148.64,150.45,103006
2021-04-20T00:00:00+05:30,152.4,152.4,149.03,149.71,40061
2021-04-22T00:00:00+05:30,149.21,150.93,148.42,150.85,139588
2021-04-23T00:00:00+05:30,150.32,151.64,149.6,150.13,49359
2021-04-26T00:00:00+05:30,151.3,152.1,150.78,151.55,29585
2021-04-27T00:00:00+05:30,151.5,153.18,151.5,153.07,48143
2021-04-28T00:00:00+05:30,153.15,155.32,153.15,155.1,37387
2021-04-29T00:00:00+05:30,156.44,156.99,154.8,155.29,19842
2021-04-30T00:00:00+05:30,155.0,155.18,152.5,153.35,69122
2021-05-03T00:00:00+05:30,153.0,153.7,151.0,153.19,23578
2021-05-04T00:00:00+05:30,155.4,155.4,151.5,151.85,20154
2021-05-05T00:00:00+05:30,152.69,153.3,151.95,153.01,29212
2021-05-06T00:00:00+05:30,153.89,154.17,153.0,154.01,9081
2021-05-07T00:00:00+05:30,154.72,155.52,154.3,154.77,33331
2021-05-10T00:00:00+05:30,168.7,168.7,155.38,155.81,34077
2021-05-11T00:00:00+05:30,161.9,161.9,154.35,155.09,253474
2021-05-12T00:00:00+05:30,155.08,155.08,153.35,153.83,59191
2021-05-14T00:00:00+05:30,154.0,154.19,152.9,153.76,42025
2021-05-17T00:00:00+05:30,154.51,155.9,153.96,155.68,126441
2021-05-18T00:00:00+05:30,156.9,157.85,156.9,157.55,30533
2021-05-19T00:00:00+05:30,152.52,157.85,152.52,156.95,113733
2021-05-20T00:00:00+05:30,157.34,157.42,155.67,155.93,165044
2021-05-21T00:00:00+05:30,156.14,158.4,156.14,158.23,44565
2021-05-24T00:00:00+05:30,158.59,159.2,157.55,158.68,31416
2021-05-25T00:00:00+05:30,160.0,160.0,158.33,158.77,32334
2021-05-26T00:00:00+05:30,159.1,159.98,158.62,159.54,41793
2021-05-27T00:00:00+05:30,159.32,160.7,159.31,160.2,27805
2021-05-28T00:00:00+05:30,161.95,161.95,160.48,161.15,51399
2021-05-31T00:00:00+05:30,185.3,185.3,160.45,162.77,33504
2021-06-01T00:00:00+05:30,162.4,163.56,162.39,163.01,47287
2021-06-02T00:00:00+05:30,162.74,163.59,162.03,163.39,20715
2021-06-03T00:00:00+05:30,163.6,164.41,163.09,164.08,151530
2021-06-04T00:00:00+05:30,188.7,188.7,163.6,164.05,16759
2021-06-07T00:00:00+05:30,178.8,178.8,164.05,164.69,28867
2021-06-08T00:00:00+05:30,168.86,168.86,164.0,164.58,31793
2021-06-09T00:00:00+05:30,153.1,165.1,149.8,163.7,45679
2021-06-10T00:00:00+05:30,178.4,178.4,163.87,164.59,75301
2021-06-11T00:00:00+05:30,165.39,165.87,165.0,165.42,19444
2021-06-14T00:00:00+05:30,169.75,169.75,163.61,165.61,83599
2021-06-15T00:00:00+05:30,166.41,166.49,165.38,166.25,23586
2021-06-16T00:00:00+05:30,166.25,166.47,165.24,165.54,177776
2021-06-17T00:00:00+05:30,175.5,175.5,164.15,164.86,50932
2021-06-18T00:00:00+05:30,150.0,165.58,150.0,164.83,20483
2021-06-21T00:00:00+05:30,164.0,165.37,162.89,165.24,29303
2021-06-22T00:00:00+05:30,166.3,166.5,165.1,165.29,109242
2021-06-23T00:00:00+05:30,175.2,175.2,164.59,164.74,17233
2021-06-24T00:00:00+05:30,165.17,165.92,164.97,165.75,13666
2021-06-25T00:00:00+05:30,180.7,180.7,165.45,166.36,90099
2021-06-28T00:00:00+05:30,166.0,167.11,165.72,165.97,23046
2021-06-29T00:00:00+05:30,165.08,166.21,165.0,165.22,14677
2021-06-30T00:00:00+05:30,165.97,166.2,165.1,165.14,11196
2021-07-01T00:00:00+05:30,165.14,165.39,164.5,164.78,14999
2021-07-02T00:00:00+05:30,165.09,165.42,164.0,164.9,117388
2021-07-05T00:00:00+05:30,167.0,174.81,164.55,166.02,87903
2021-07-06T00:00:00+05:30,166.13,167.0,165.98,166.1,93853
2021-07-07T00:00:00+05:30,166.5,166.76,165.9,166.66,42542
2021-07-08T00:00:00+05:30,167.41,167.42,164.9,165.43,285152
2021-07-09T00:00:00+05:30,170.4,170.4,164.16,165.11,19010
