datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,168.2,168.2,152.75,154.4,40259
2021-03-10T00:00:00+05:30,155.25,155.45,154.5,154.95,20817
2021-03-12T00:00:00+05:30,165.2,170.15,153.25,153.4,31480
2021-03-15T00:00:00+05:30,153.4,153.5,150.95,152.65,42141
2021-03-16T00:00:00+05:30,150.05,153.95,149.5,152.55,29804
2021-03-17T00:00:00+05:30,152.3,152.7,150.45,150.7,13745
2021-03-18T00:00:00+05:30,152.15,152.15,148.3,149.05,18815
2021-03-19T00:00:00+05:30,147.8,151.2,146.95,151.15,43665
2021-03-22T00:00:00+05:30,153.0,153.0,149.0,150.5,16931
2021-03-23T00:00:00+05:30,155.0,155.25,146.5,151.55,49346
2021-03-24T00:00:00+05:30,150.8,150.85,148.65,148.8,13294
2021-03-25T00:00:00+05:30,148.6,148.6,145.95,146.5,45041
2021-03-26T00:00:00+05:30,148.15,148.85,147.4,148.55,112904
2021-03-30T00:00:00+05:30,153.4,153.4,149.45,151.95,3372
2021-03-31T00:00:00+05:30,150.0,153.5,150.0,150.4,1094349
2021-04-01T00:00:00+05:30,151.6,152.1,150.25,151.7,2431
2021-04-05T00:00:00+05:30,148.7,151.35,148.0,149.85,41119
2021-04-06T00:00:00+05:30,150.45,151.2,149.25,150.5,34960
2021-04-07T00:00:00+05:30,147.55,151.95,147.55,151.65,7540
2021-04-08T00:00:00+05:30,156.2,156.2,151.45,152.2,37075
2021-04-09T00:00:00+05:30,152.25,152.6,151.2,151.85,69236
2021-04-12T00:00:00+05:30,149.35,149.35,145.55,146.4,32778
2021-04-13T00:00:00+05:30,148.45,155.0,146.3,148.6,7795
2021-04-15T00:00:00+05:30,155.0,155.0,145.0,148.85,6564
2021-04-16T00:00:00+05:30,145.9,150.4,145.9,149.6,5079
2021-04-19T00:00:00+05:30,154.1,154.1,145.0,146.95,30961
2021-04-20T00:00:00+05:30,148.45,148.55,145.5,146.3,54352
2021-04-22T00:00:00+05:30,155.25,155.25,144.85,147.5,11489
2021-04-23T00:00:00+05:30,151.9,155.25,145.9,146.6,22720
2021-04-26T00:00:00+05:30,146.5,149.05,146.5,148.15,37403
2021-04-27T00:00:00+05:30,148.9,149.9,148.15,149.7,113438
2021-04-28T00:00:00+05:30,149.0,152.15,149.0,152.15,54038
2021-04-29T00:00:00+05:30,153.4,153.9,151.35,152.0,9791
2021-04-30T00:00:00+05:30,150.8,152.0,149.6,150.05,11633
2021-05-03T00:00:00+05:30,153.1,153.1,147.7,149.5,66903
2021-05-04T00:00:00+05:30,150.1,150.5,148.0,148.1,49903
2021-05-05T00:00:00+05:30,149.15,149.8,148.55,149.3,18812
2021-05-06T00:00:00+05:30,153.75,153.75,149.55,150.7,25888
2021-05-07T00:00:00+05:30,151.55,152.05,151.15,151.75,66521
2021-05-10T00:00:00+05:30,148.05,163.8,148.05,152.65,20788
2021-05-11T00:00:00+05:30,157.25,157.25,151.5,151.95,73868
2021-05-12T00:00:00+05:30,151.95,151.95,150.0,150.15,10759
2021-05-14T00:00:00+05:30,151.5,151.5,149.25,150.4,6695
2021-05-17T00:00:00+05:30,154.9,154.9,150.9,152.2,51323
2021-05-18T00:00:00+05:30,154.5,154.95,153.95,154.75,621379
2021-05-19T00:00:00+05:30,157.9,157.9,151.05,153.85,853
2021-05-20T00:00:00+05:30,154.3,154.3,152.45,152.75,11460
2021-05-21T00:00:00+05:30,154.05,158.0,149.05,155.0,18219
2021-05-24T00:00:00+05:30,158.1,158.1,155.0,155.75,4845
2021-05-25T00:00:00+05:30,156.5,156.5,155.05,155.25,62780
2021-05-26T00:00:00+05:30,156.1,156.9,155.85,156.9,2511
2021-05-27T00:00:00+05:30,157.0,157.1,156.35,156.9,13283
2021-05-28T00:00:00+05:30,158.05,158.3,157.55,157.9,1461
2021-05-31T00:00:00+05:30,157.95,159.5,157.7,159.2,4050
2021-06-01T00:00:00+05:30,163.95,167.2,159.0,159.85,50262
2021-06-02T00:00:00+05:30,163.0,163.0,158.55,159.4,2541
2021-06-03T00:00:00+05:30,160.6,160.75,160.0,160.5,1740
2021-06-04T00:00:00+05:30,161.0,161.4,160.3,160.8,774
2021-06-07T00:00:00+05:30,161.3,161.5,160.8,161.35,1946
2021-06-08T00:00:00+05:30,161.65,161.7,160.95,161.5,52075
2021-06-09T00:00:00+05:30,161.65,162.05,159.7,160.1,7708
2021-06-10T00:00:00+05:30,160.9,161.3,160.5,161.0,1425
2021-06-11T00:00:00+05:30,157.05,163.0,157.05,162.0,858102
2021-06-14T00:00:00+05:30,161.8,162.55,160.5,162.3,5703
2021-06-15T00:00:00+05:30,162.9,167.8,162.45,167.15,61435
2021-06-16T00:00:00+05:30,162.7,163.05,161.7,161.95,7675
2021-06-17T00:00:00+05:30,161.9,161.9,160.5,160.9,6120
2021-06-18T00:00:00+05:30,161.1,161.5,158.9,161.35,5740
2021-06-21T00:00:00+05:30,164.6,169.5,157.5,161.85,127963
2021-06-22T00:00:00+05:30,162.6,163.0,161.6,161.95,1555
2021-06-23T00:00:00+05:30,162.9,162.9,161.2,161.25,2820
2021-06-24T00:00:00+05:30,161.55,162.35,161.3,162.3,47724
2021-06-25T00:00:00+05:30,172.2,172.2,162.16,162.75,3152
2021-06-28T00:00:00+05:30,163.35,163.45,162.3,162.5,1058
2021-06-29T00:00:00+05:30,162.35,162.7,161.45,161.6,962
2021-06-30T00:00:00+05:30,162.5,162.85,161.15,161.6,1025
2021-07-01T00:00:00+05:30,162.0,162.0,161.15,161.3,91108
2021-07-02T00:00:00+05:30,164.55,164.55,160.6,161.55,1316
2021-07-05T00:00:00+05:30,164.8,164.8,158.05,162.5,6526
2021-07-06T00:00:00+05:30,162.8,163.65,162.5,162.5,7071
2021-07-07T00:00:00+05:30,165.75,165.75,162.2,163.2,3843
2021-07-08T00:00:00+05:30,165.0,165.0,161.05,161.85,68322
2021-07-09T00:00:00+05:30,161.0,161.8,160.6,161.4,4202
2021-07-12T00:00:00+05:30,167.1,170.0,161.0,161.5,63896
2021-07-13T00:00:00+05:30,171.2,171.2,161.6,162.65,365
2021-07-14T00:00:00+05:30,151.4,163.15,151.4,162.6,1296
2021-07-15T00:00:00+05:30,165.9,165.9,162.9,163.75,2320
2021-07-16T00:00:00+05:30,159.05,167.05,159.05,163.9,65494
2021-07-19T00:00:00+05:30,162.1,162.95,161.7,161.95,4217
2021-07-20T00:00:00+05:30,161.75,161.8,160.25,160.8,19778
2021-07-22T00:00:00+05:30,165.6,165.6,161.4,162.75,162833
2021-07-23T00:00:00+05:30,166.0,166.0,159.05,163.4,23668
2021-07-26T00:00:00+05:30,173.6,173.6,162.4,162.95,202690
2021-07-27T00:00:00+05:30,167.8,167.8,161.55,161.65,1460
2021-07-28T00:00:00+05:30,162.0,162.0,159.7,161.4,7643
2021-07-29T00:00:00+05:30,162.2,162.7,161.75,162.45,392
2021-07-30T00:00:00+05:30,167.32,167.32,161.96,162.5,117956
2021-08-02T00:00:00+05:30,163.34,163.5,162.77,163.48,6174
2021-08-03T00:00:00+05:30,166.7,166.7,163.62,165.76,14456
2021-08-04T00:00:00+05:30,167.8,167.8,166.65,166.98,3475
2021-08-05T00:00:00+05:30,167.15,168.19,166.77,167.74,98604
2021-08-06T00:00:00+05:30,164.4,177.2,164.4,166.81,1867
2021-08-09T00:00:00+05:30,168.89,168.89,166.45,166.74,1059
2021-08-10T00:00:00+05:30,168.89,168.89,167.0,167.5,1677
2021-08-11T00:00:00+05:30,176.3,176.3,165.0,167.8,71815
2021-08-12T00:00:00+05:30,168.89,168.89,164.45,168.5,3773
2021-08-13T00:00:00+05:30,165.15,170.3,165.15,170.04,45032
2021-08-16T00:00:00+05:30,178.9,178.9,169.4,170.52,17460
2021-08-17T00:00:00+05:30,170.31,171.01,169.75,171.0,2238
2021-08-18T00:00:00+05:30,167.6,172.06,167.6,170.76,5930
2021-08-20T00:00:00+05:30,174.2,178.8,168.63,169.27,5167
2021-08-23T00:00:00+05:30,177.0,177.0,169.0,170.0,129237
2021-08-24T00:00:00+05:30,175.09,175.09,169.95,170.91,2601
2021-08-25T00:00:00+05:30,171.79,172.17,171.1,171.44,1361
2021-08-26T00:00:00+05:30,177.35,177.35,170.74,170.82,5328
2021-08-27T00:00:00+05:30,174.25,174.25,170.86,172.0,1379
