datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,52.35,53.4,51.7,51.85,301019
2021-03-10T00:00:00+05:30,52.0,53.25,51.75,52.1,418002
2021-03-12T00:00:00+05:30,52.5,52.95,51.75,52.05,353094
2021-03-15T00:00:00+05:30,52.35,52.5,51.25,51.45,308739
2021-03-16T00:00:00+05:30,51.55,51.75,50.5,50.75,268468
2021-03-17T00:00:00+05:30,51.2,51.65,49.75,50.2,495829
2021-03-18T00:00:00+05:30,50.65,51.25,48.4,48.9,454750
2021-03-19T00:00:00+05:30,47.95,49.4,46.5,48.7,413155
2021-03-22T00:00:00+05:30,48.5,49.9,48.5,49.25,214600
2021-03-23T00:00:00+05:30,49.65,50.0,49.0,49.35,219574
2021-03-24T00:00:00+05:30,49.0,49.4,48.0,48.25,193660
2021-03-25T00:00:00+05:30,48.0,48.2,46.8,47.25,272777
2021-03-26T00:00:00+05:30,48.0,48.5,47.4,47.5,222703
2021-03-30T00:00:00+05:30,48.35,48.35,47.1,47.45,244080
2021-03-31T00:00:00+05:30,49.0,49.0,47.7,48.05,423015
2021-04-01T00:00:00+05:30,48.5,51.5,48.35,51.25,664324
2021-04-05T00:00:00+05:30,51.45,52.7,50.05,51.3,400513
2021-04-06T00:00:00+05:30,52.5,52.6,51.5,51.85,346114
2021-04-07T00:00:00+05:30,52.0,52.65,51.1,51.75,409935
2021-04-08T00:00:00+05:30,52.25,52.3,51.7,51.85,202895
2021-04-09T00:00:00+05:30,52.2,55.1,51.5,53.75,1387411
2021-04-12T00:00:00+05:30,52.9,53.0,49.5,49.85,605407
2021-04-13T00:00:00+05:30,50.7,51.45,50.1,51.1,244984
2021-04-15T00:00:00+05:30,51.75,51.75,50.15,50.95,151830
2021-04-16T00:00:00+05:30,51.2,51.8,50.5,50.75,167915
2021-04-19T00:00:00+05:30,50.25,50.4,49.15,49.95,180878
2021-04-20T00:00:00+05:30,50.95,50.95,49.8,50.05,152223
2021-04-22T00:00:00+05:30,50.9,50.9,49.8,49.9,166745
2021-04-23T00:00:00+05:30,50.0,50.9,49.9,50.05,122510
2021-04-26T00:00:00+05:30,50.45,50.95,49.85,50.5,138968
2021-04-27T00:00:00+05:30,50.5,51.8,50.2,51.15,240925
2021-04-28T00:00:00+05:30,51.4,52.4,51.15,51.95,330389
2021-04-29T00:00:00+05:30,52.15,53.0,51.55,51.9,322465
2021-04-30T00:00:00+05:30,52.0,52.9,51.5,52.05,329351
2021-05-03T00:00:00+05:30,51.95,52.25,51.3,51.8,226450
2021-05-04T00:00:00+05:30,52.3,53.6,52.0,52.2,513181
2021-05-05T00:00:00+05:30,53.4,53.4,52.1,52.85,283946
2021-05-06T00:00:00+05:30,53.25,53.4,52.5,52.85,250230
2021-05-07T00:00:00+05:30,53.2,53.4,52.6,52.7,235577
2021-05-10T00:00:00+05:30,54.0,54.6,52.4,52.95,496581
2021-05-11T00:00:00+05:30,52.7,55.75,52.7,54.8,977017
2021-05-12T00:00:00+05:30,54.95,57.0,54.5,54.7,767996
2021-05-14T00:00:00+05:30,55.4,56.75,54.0,56.15,757553
2021-05-17T00:00:00+05:30,58.2,61.65,57.35,59.7,4605373
2021-05-18T00:00:00+05:30,62.5,63.5,60.15,60.55,1631980
2021-05-19T00:00:00+05:30,60.5,62.7,60.35,61.75,1556882
2021-05-20T00:00:00+05:30,62.0,62.2,59.6,60.25,675774
2021-05-21T00:00:00+05:30,60.55,61.2,59.7,59.8,389886
2021-05-24T00:00:00+05:30,59.8,60.35,58.5,59.15,570990
2021-05-25T00:00:00+05:30,59.55,62.0,59.35,60.55,750171
2021-05-26T00:00:00+05:30,60.55,61.65,59.85,60.65,413906
2021-05-27T00:00:00+05:30,60.75,61.8,60.1,60.3,489020
2021-05-28T00:00:00+05:30,60.75,61.3,59.05,59.45,405440
2021-05-31T00:00:00+05:30,59.65,64.4,59.0,63.15,2836863
2021-06-01T00:00:00+05:30,63.85,75.75,62.65,75.75,17986654
2021-06-02T00:00:00+05:30,76.8,90.4,72.35,86.6,29543265
2021-06-03T00:00:00+05:30,83.4,94.65,82.5,89.9,13777554
2021-06-04T00:00:00+05:30,90.75,93.75,86.55,88.25,6322136
2021-06-07T00:00:00+05:30,89.95,90.3,82.0,82.55,2822709
2021-06-08T00:00:00+05:30,82.5,85.0,80.5,81.6,1940732
2021-06-09T00:00:00+05:30,82.15,83.3,78.1,78.65,1556614
2021-06-10T00:00:00+05:30,78.5,82.35,77.6,80.25,2122926
2021-06-11T00:00:00+05:30,81.55,81.9,80.3,80.6,714211
2021-06-14T00:00:00+05:30,81.0,81.0,77.5,79.65,797545
2021-06-15T00:00:00+05:30,80.4,82.5,80.0,81.45,737714
2021-06-16T00:00:00+05:30,83.0,88.95,82.0,86.35,4577496
2021-06-17T00:00:00+05:30,86.2,88.25,83.8,85.25,1695727
2021-06-18T00:00:00+05:30,85.9,87.9,80.4,84.0,1538923
2021-06-21T00:00:00+05:30,82.65,86.35,82.0,85.35,969661
2021-06-22T00:00:00+05:30,86.35,92.0,86.35,88.8,3037807
2021-06-23T00:00:00+05:30,81.2,82.9,79.95,79.95,4122039
2021-06-24T00:00:00+05:30,79.0,79.7,72.0,72.1,3383951
2021-06-25T00:00:00+05:30,72.25,75.2,72.25,73.45,1471353
2021-06-28T00:00:00+05:30,74.0,74.0,72.5,72.7,629843
2021-06-29T00:00:00+05:30,72.7,74.0,72.35,73.0,425345
2021-06-30T00:00:00+05:30,73.35,75.7,72.6,74.1,957301
2021-07-01T00:00:00+05:30,74.6,75.9,73.4,75.35,592130
2021-07-02T00:00:00+05:30,77.0,78.7,76.65,77.6,1574454
2021-07-05T00:00:00+05:30,78.25,78.25,76.05,76.45,497372
2021-07-06T00:00:00+05:30,76.75,77.3,74.0,74.6,526432
2021-07-07T00:00:00+05:30,75.0,76.05,74.5,74.8,305265
2021-07-08T00:00:00+05:30,74.5,75.2,73.6,73.9,350774
2021-07-09T00:00:00+05:30,73.6,74.45,72.6,73.1,336256
2021-07-12T00:00:00+05:30,74.0,74.6,72.5,72.8,264310
2021-07-13T00:00:00+05:30,73.2,74.25,72.7,73.1,194745
2021-07-14T00:00:00+05:30,73.1,73.6,72.25,72.55,311503
2021-07-15T00:00:00+05:30,72.55,73.6,72.55,73.0,247100
2021-07-16T00:00:00+05:30,73.4,76.6,72.0,75.15,825145
2021-07-19T00:00:00+05:30,74.0,74.1,72.85,73.2,331381
2021-07-20T00:00:00+05:30,73.1,73.5,71.0,71.95,320269
2021-07-22T00:00:00+05:30,72.0,73.5,71.6,72.65,319835
2021-07-23T00:00:00+05:30,73.4,75.6,71.5,73.2,589290
2021-07-26T00:00:00+05:30,73.45,74.0,72.5,72.75,254448
2021-07-27T00:00:00+05:30,72.75,73.4,71.65,71.85,257452
2021-07-28T00:00:00+05:30,72.0,72.5,71.7,72.0,214973
2021-07-29T00:00:00+05:30,72.5,73.0,71.8,71.95,216165
2021-07-30T00:00:00+05:30,72.85,73.0,72.0,72.15,137481
2021-08-02T00:00:00+05:30,72.95,73.0,71.8,72.05,170560
2021-08-03T00:00:00+05:30,72.5,72.9,71.5,71.85,151700
2021-08-04T00:00:00+05:30,72.5,74.7,72.0,72.6,504118
2021-08-05T00:00:00+05:30,72.65,73.45,71.1,72.2,253393
2021-08-06T00:00:00+05:30,72.5,73.4,72.05,72.4,249067
2021-08-09T00:00:00+05:30,73.0,74.5,72.5,73.7,369163
2021-08-10T00:00:00+05:30,73.85,74.4,68.0,69.85,558272
2021-08-11T00:00:00+05:30,69.0,69.0,62.9,65.35,1398361
2021-08-12T00:00:00+05:30,66.0,67.8,65.3,67.15,259849
2021-08-13T00:00:00+05:30,67.8,69.75,67.2,68.8,372360
2021-08-16T00:00:00+05:30,69.2,69.4,68.0,68.2,199921
2021-08-17T00:00:00+05:30,68.2,68.2,65.1,67.25,225534
2021-08-18T00:00:00+05:30,68.0,68.75,66.85,67.2,166839
2021-08-20T00:00:00+05:30,67.45,67.5,65.2,65.8,177095
2021-08-23T00:00:00+05:30,66.1,66.35,62.1,64.0,221859
2021-08-24T00:00:00+05:30,64.0,64.4,62.8,63.85,233953
2021-08-25T00:00:00+05:30,63.95,66.4,63.95,65.1,191077
2021-08-26T00:00:00+05:30,65.9,66.25,65.0,65.85,106803
2021-08-27T00:00:00+05:30,65.9,67.7,65.65,67.15,347823
2021-08-30T00:00:00+05:30,67.4,69.5,67.35,69.25,357950
2021-08-31T00:00:00+05:30,69.75,70.9,69.25,70.25,341344
2021-09-01T00:00:00+05:30,70.8,71.0,69.0,69.75,342440
2021-09-02T00:00:00+05:30,66.9,68.0,66.65,67.3,266820
2021-09-03T00:00:00+05:30,67.5,67.9,66.3,66.85,192613
2021-09-06T00:00:00+05:30,67.0,67.0,65.0,65.05,206713
2021-09-07T00:00:00+05:30,65.3,65.3,62.8,63.9,279394
2021-09-08T00:00:00+05:30,64.5,65.0,63.15,64.75,117383
2021-09-09T00:00:00+05:30,64.6,66.5,64.0,65.0,394839
2021-09-13T00:00:00+05:30,65.9,66.9,65.0,66.0,245549
2021-09-14T00:00:00+05:30,66.4,66.4,65.75,65.9,121106
2021-09-15T00:00:00+05:30,65.5,72.0,64.5,69.6,1522181
2021-09-16T00:00:00+05:30,69.95,70.4,68.0,68.95,348474
2021-09-17T00:00:00+05:30,69.45,70.1,67.4,67.7,249054
2021-09-20T00:00:00+05:30,67.05,68.35,65.15,65.8,244215
2021-09-21T00:00:00+05:30,65.7,66.6,64.3,65.8,145512
2021-09-22T00:00:00+05:30,66.0,66.8,65.5,65.75,112387
2021-09-23T00:00:00+05:30,66.0,66.7,65.75,66.0,128261
2021-09-24T00:00:00+05:30,66.4,66.4,64.5,64.9,171090
2021-09-27T00:00:00+05:30,65.45,65.45,64.55,64.8,96304
2021-09-28T00:00:00+05:30,65.2,66.5,64.6,65.55,151319
2021-09-29T00:00:00+05:30,65.35,67.55,64.8,67.25,261066
2021-09-30T00:00:00+05:30,68.0,68.0,67.05,67.65,106826
2021-10-01T00:00:00+05:30,67.95,68.2,64.5,66.6,215918
2021-10-04T00:00:00+05:30,67.45,68.6,66.75,67.55,208811
2021-10-05T00:00:00+05:30,67.95,67.95,66.5,66.9,205553
2021-10-06T00:00:00+05:30,67.0,67.9,66.0,66.9,170940
2021-10-07T00:00:00+05:30,67.5,68.0,66.7,67.05,147151
2021-10-08T00:00:00+05:30,67.5,67.85,66.0,66.65,179188
2021-10-11T00:00:00+05:30,66.9,67.4,66.0,66.75,151081
2021-10-12T00:00:00+05:30,67.25,70.6,66.7,69.15,511570
2021-10-13T00:00:00+05:30,69.4,69.8,67.85,68.1,351156
2021-10-14T00:00:00+05:30,68.1,69.7,67.8,68.45,239933
2021-10-18T00:00:00+05:30,68.5,71.5,68.5,69.75,747493
2021-10-19T00:00:00+05:30,70.3,70.5,67.15,67.8,289689
2021-10-20T00:00:00+05:30,67.8,67.95,65.55,66.45,220804
2021-10-21T00:00:00+05:30,66.45,69.2,66.0,67.2,239265
2021-10-22T00:00:00+05:30,67.5,69.35,66.85,67.0,235484
2021-10-25T00:00:00+05:30,67.0,67.4,64.6,64.85,294386
2021-10-26T00:00:00+05:30,65.45,66.0,65.15,65.7,111629
2021-10-27T00:00:00+05:30,66.0,66.8,65.55,65.95,108034
2021-10-28T00:00:00+05:30,65.75,66.15,65.05,65.25,132589
2021-10-29T00:00:00+05:30,65.9,66.0,63.5,64.8,178547
2021-11-01T00:00:00+05:30,66.0,66.0,65.0,65.65,94536
2021-11-02T00:00:00+05:30,66.0,67.65,65.7,67.35,243548
2021-11-03T00:00:00+05:30,67.9,68.9,67.1,67.3,241009
2021-11-04T00:00:00+05:30,67.95,68.75,67.55,68.4,146679
2021-11-08T00:00:00+05:30,69.0,69.0,66.4,67.35,298416
2021-11-09T00:00:00+05:30,67.95,68.65,67.0,68.0,161786
2021-11-10T00:00:00+05:30,68.45,68.45,67.75,68.1,102229
2021-11-11T00:00:00+05:30,68.5,69.7,68.0,68.7,266459
2021-11-12T00:00:00+05:30,71.7,72.0,68.3,68.55,619651
2021-11-15T00:00:00+05:30,69.5,69.5,67.0,67.3,210044
2021-11-16T00:00:00+05:30,67.95,68.0,67.0,67.05,111602
2021-11-17T00:00:00+05:30,67.35,67.5,66.4,66.55,95753
2021-11-18T00:00:00+05:30,66.5,66.95,65.85,66.2,126482
2021-11-22T00:00:00+05:30,66.5,66.95,64.3,64.75,170797
2021-11-23T00:00:00+05:30,65.0,66.0,64.3,65.7,129800
2021-11-24T00:00:00+05:30,66.4,67.5,65.95,66.2,161791
2021-11-25T00:00:00+05:30,66.95,66.95,65.8,66.05,111094
2021-11-26T00:00:00+05:30,65.6,66.2,65.0,65.35,134229
2021-11-29T00:00:00+05:30,64.95,65.2,62.5,63.65,209425
2021-11-30T00:00:00+05:30,63.65,65.0,63.55,64.0,127805
2021-12-01T00:00:00+05:30,64.9,64.9,63.85,64.4,114436
2021-12-02T00:00:00+05:30,64.7,65.7,64.1,64.7,141504
2021-12-03T00:00:00+05:30,65.05,65.75,64.95,65.25,136846
2021-12-06T00:00:00+05:30,65.9,65.9,64.3,64.45,122367
2021-12-07T00:00:00+05:30,65.5,66.9,64.6,65.0,299258
2021-12-08T00:00:00+05:30,65.5,66.1,65.15,65.45,153115
2021-12-09T00:00:00+05:30,65.8,66.0,65.3,65.7,129955
2021-12-10T00:00:00+05:30,65.5,71.4,65.5,69.55,1165059
2021-12-13T00:00:00+05:30,70.4,70.85,68.05,68.55,478751
2021-12-14T00:00:00+05:30,68.95,70.2,67.55,69.0,253717
2021-12-15T00:00:00+05:30,69.0,70.4,68.5,68.6,144943
2021-12-16T00:00:00+05:30,68.95,69.0,67.5,67.7,84506
2021-12-17T00:00:00+05:30,67.65,68.1,60.5,65.9,254172
2021-12-20T00:00:00+05:30,65.9,65.9,64.0,64.2,231124
2021-12-21T00:00:00+05:30,64.2,65.8,64.2,65.0,157756
2021-12-22T00:00:00+05:30,65.5,66.4,65.25,65.65,138009
2021-12-23T00:00:00+05:30,66.0,68.2,66.0,67.45,274294
2021-12-24T00:00:00+05:30,67.95,68.9,66.75,67.6,215680
2021-12-27T00:00:00+05:30,67.9,67.9,62.2,66.5,174583
2021-12-28T00:00:00+05:30,67.4,67.4,66.0,66.6,139594
2021-12-29T00:00:00+05:30,66.1,67.35,66.0,66.7,106735
2021-12-30T00:00:00+05:30,66.8,67.9,65.7,66.85,152478
2021-12-31T00:00:00+05:30,67.4,67.45,66.7,66.95,112600
2022-01-03T00:00:00+05:30,67.5,67.75,66.75,66.95,230140
2022-01-04T00:00:00+05:30,67.5,67.5,66.85,67.15,120264
2022-01-05T00:00:00+05:30,67.45,69.35,67.0,68.8,370827
2022-01-06T00:00:00+05:30,68.25,69.4,67.5,69.0,269246
2022-01-07T00:00:00+05:30,69.45,71.0,69.25,69.75,579897
2022-01-10T00:00:00+05:30,69.5,70.25,69.0,69.5,267706
2022-01-11T00:00:00+05:30,69.95,70.3,68.75,69.15,261956
2022-01-12T00:00:00+05:30,69.5,75.5,69.3,73.95,2391959
2022-01-13T00:00:00+05:30,74.5,76.0,74.0,74.1,805313
2022-01-14T00:00:00+05:30,74.0,74.55,73.15,73.7,424983
2022-01-17T00:00:00+05:30,74.15,75.65,74.0,74.95,527683
2022-01-18T00:00:00+05:30,75.2,75.45,72.6,72.95,395463
2022-01-19T00:00:00+05:30,72.95,73.6,72.0,72.7,314040
2022-01-20T00:00:00+05:30,72.95,75.6,72.7,73.75,437695
2022-01-21T00:00:00+05:30,74.0,74.65,71.0,71.55,371088
2022-01-24T00:00:00+05:30,63.2,65.8,63.0,63.45,1578227
2022-01-25T00:00:00+05:30,63.5,64.9,61.65,64.05,473560
2022-01-27T00:00:00+05:30,64.0,64.85,63.0,63.9,292989
2022-01-28T00:00:00+05:30,64.5,65.4,63.9,64.05,282862
2022-01-31T00:00:00+05:30,66.0,76.35,65.1,72.4,6358890
