datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,19.29,19.71,18.95,19.22,17336
2021-03-10T00:00:00+05:30,18.4,19.61,18.4,19.59,28256
2021-03-12T00:00:00+05:30,19.1,20.27,19.1,19.86,51866
2021-03-15T00:00:00+05:30,20.45,20.45,19.48,19.51,61430
2021-03-16T00:00:00+05:30,19.44,19.86,19.44,19.67,7039
2021-03-17T00:00:00+05:30,19.1,19.5,19.1,19.48,55873
2021-03-18T00:00:00+05:30,19.48,20.0,18.5,18.5,119682
2021-03-19T00:00:00+05:30,17.6,17.6,17.58,17.58,8152
2021-03-22T00:00:00+05:30,16.72,16.72,16.72,16.72,26500
2021-03-23T00:00:00+05:30,15.9,17.48,15.9,16.06,39607
2021-03-24T00:00:00+05:30,15.51,16.29,15.26,15.3,18408
2021-03-25T00:00:00+05:30,14.55,14.61,14.55,14.55,13710
2021-03-26T00:00:00+05:30,13.84,14.61,13.84,13.84,20485
2021-03-30T00:00:00+05:30,13.21,14.29,13.17,13.17,53852
2021-03-31T00:00:00+05:30,13.78,13.78,12.51,12.51,215872
2021-04-01T00:00:00+05:30,12.51,13.13,11.9,13.13,10768
2021-04-05T00:00:00+05:30,13.13,13.78,13.13,13.78,9236
2021-04-06T00:00:00+05:30,14.46,14.46,13.48,13.93,40900
2021-04-07T00:00:00+05:30,14.61,14.61,13.48,14.5,32407
2021-04-08T00:00:00+05:30,14.95,14.95,13.78,13.93,17675
2021-04-09T00:00:00+05:30,13.68,14.5,13.5,13.9,121836
2021-04-12T00:00:00+05:30,13.9,13.9,13.21,13.25,2984
2021-04-13T00:00:00+05:30,13.25,13.75,12.88,13.48,3392
2021-04-15T00:00:00+05:30,14.07,14.07,12.82,13.33,6232
2021-04-16T00:00:00+05:30,13.97,13.97,12.68,12.76,27538
2021-04-19T00:00:00+05:30,13.31,13.39,12.18,13.04,24516
2021-04-20T00:00:00+05:30,13.04,13.66,12.51,13.37,22071
2021-04-22T00:00:00+05:30,13.64,13.64,12.78,13.45,15613
2021-04-23T00:00:00+05:30,12.92,13.86,12.92,13.3,13643
2021-04-26T00:00:00+05:30,13.95,13.95,13.23,13.56,4007
2021-04-27T00:00:00+05:30,13.26,14.2,12.88,12.98,39644
2021-04-28T00:00:00+05:30,13.11,13.45,12.43,12.9,39036
2021-04-29T00:00:00+05:30,13.35,13.35,12.76,13.19,12274
2021-04-30T00:00:00+05:30,13.54,13.54,12.59,12.64,24967
2021-05-03T00:00:00+05:30,13.11,13.26,12.62,12.96,26337
2021-05-04T00:00:00+05:30,12.94,13.6,12.92,13.41,41559
2021-05-05T00:00:00+05:30,13.41,13.41,12.88,13.13,11417
2021-05-06T00:00:00+05:30,13.6,13.6,12.61,13.11,16169
2021-05-07T00:00:00+05:30,12.55,13.21,12.55,12.96,18019
2021-05-10T00:00:00+05:30,12.78,13.58,12.78,13.58,40155
2021-05-11T00:00:00+05:30,13.02,14.25,13.02,14.25,58993
2021-05-12T00:00:00+05:30,14.95,14.97,13.68,14.4,92183
