datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,71.85,77.1,71.05,74.3,3350175
2021-03-10T00:00:00+05:30,74.95,75.45,72.8,73.85,1188696
2021-03-12T00:00:00+05:30,74.25,75.2,70.25,70.65,888208
2021-03-15T00:00:00+05:30,71.5,71.7,68.2,69.4,1469009
2021-03-16T00:00:00+05:30,69.5,71.15,67.6,68.35,1637495
2021-03-17T00:00:00+05:30,68.15,69.0,63.0,64.65,989784
2021-03-18T00:00:00+05:30,65.6,67.35,61.7,62.9,1306451
2021-03-19T00:00:00+05:30,61.65,64.85,60.0,63.65,1127319
2021-03-22T00:00:00+05:30,64.0,64.4,62.35,63.6,938822
2021-03-23T00:00:00+05:30,64.35,67.7,64.1,65.9,1211229
2021-03-24T00:00:00+05:30,66.75,67.9,64.5,66.1,768028
2021-03-25T00:00:00+05:30,65.45,65.6,62.55,63.55,506749
2021-03-26T00:00:00+05:30,63.6,68.0,63.6,67.5,1323421
2021-03-30T00:00:00+05:30,68.35,69.25,65.65,66.5,631221
2021-03-31T00:00:00+05:30,67.0,72.35,66.5,69.5,844294
2021-04-01T00:00:00+05:30,70.75,73.1,69.75,71.0,935734
2021-04-05T00:00:00+05:30,74.75,74.75,71.05,72.35,771183
2021-04-06T00:00:00+05:30,72.9,75.95,72.1,74.2,1132696
2021-04-07T00:00:00+05:30,74.5,79.2,73.8,75.65,2076692
2021-04-08T00:00:00+05:30,76.35,76.75,74.2,74.45,575248
2021-04-09T00:00:00+05:30,74.4,78.2,74.4,77.45,1199766
2021-04-12T00:00:00+05:30,75.5,75.5,70.0,72.95,792285
2021-04-13T00:00:00+05:30,72.0,75.3,71.85,74.75,772617
2021-04-15T00:00:00+05:30,74.75,74.8,71.55,73.05,471559
2021-04-16T00:00:00+05:30,73.95,76.45,72.2,75.5,978492
2021-04-19T00:00:00+05:30,75.0,75.0,70.45,71.45,401036
2021-04-20T00:00:00+05:30,71.7,73.95,70.2,71.15,305726
2021-04-22T00:00:00+05:30,71.15,74.75,68.95,72.35,795699
2021-04-23T00:00:00+05:30,72.8,74.15,71.25,72.75,484445
2021-04-26T00:00:00+05:30,73.95,87.3,72.55,79.2,5161829
2021-04-27T00:00:00+05:30,80.0,81.7,77.55,78.2,2324634
2021-04-28T00:00:00+05:30,79.25,79.6,75.5,76.15,473841
2021-04-29T00:00:00+05:30,75.9,78.25,73.85,74.4,541747
2021-04-30T00:00:00+05:30,73.95,75.8,73.05,74.85,350846
2021-05-03T00:00:00+05:30,74.75,77.05,74.1,75.3,477067
2021-05-04T00:00:00+05:30,76.5,82.5,76.45,79.9,3229161
2021-05-05T00:00:00+05:30,81.1,85.35,79.85,83.7,2214728
2021-05-06T00:00:00+05:30,84.3,85.7,82.1,82.7,1501972
2021-05-07T00:00:00+05:30,83.05,84.0,80.8,81.6,728301
2021-05-10T00:00:00+05:30,82.0,82.85,81.0,81.5,345854
2021-05-11T00:00:00+05:30,80.5,85.3,80.15,81.8,1191359
2021-05-12T00:00:00+05:30,83.2,83.55,79.15,80.2,558965
2021-05-14T00:00:00+05:30,82.45,82.45,76.2,77.8,638665
2021-05-17T00:00:00+05:30,78.9,81.25,77.95,79.85,354870
2021-05-18T00:00:00+05:30,81.85,85.6,80.2,84.6,2400956
2021-05-19T00:00:00+05:30,86.35,88.2,83.4,83.8,1717042
2021-05-20T00:00:00+05:30,83.95,85.0,82.6,83.3,651808
2021-05-21T00:00:00+05:30,83.75,85.85,83.55,84.75,879071
2021-05-24T00:00:00+05:30,85.8,91.0,85.6,89.8,3904818
2021-05-25T00:00:00+05:30,91.1,92.25,85.35,85.95,4149272
2021-05-26T00:00:00+05:30,86.75,88.55,84.5,84.95,1107266
2021-05-27T00:00:00+05:30,81.0,84.6,80.75,81.8,1762343
2021-05-28T00:00:00+05:30,82.45,85.45,79.3,81.15,2405356
2021-05-31T00:00:00+05:30,81.5,81.7,77.25,80.85,1934584
2021-06-01T00:00:00+05:30,82.5,83.0,78.0,79.55,1048344
2021-06-02T00:00:00+05:30,80.45,83.7,79.5,82.9,1348351
2021-06-03T00:00:00+05:30,83.7,84.35,82.05,83.7,828586
2021-06-04T00:00:00+05:30,84.0,89.8,82.2,87.5,3181244
2021-06-07T00:00:00+05:30,87.5,92.2,87.0,89.6,2583895
2021-06-08T00:00:00+05:30,90.4,93.9,86.65,93.1,3447155
2021-06-09T00:00:00+05:30,93.7,94.55,87.95,88.55,2337058
2021-06-10T00:00:00+05:30,90.2,91.7,88.95,90.05,1163498
2021-06-11T00:00:00+05:30,90.8,94.55,89.45,93.7,1973824
2021-06-14T00:00:00+05:30,94.95,95.85,90.25,95.15,3281981
2021-06-15T00:00:00+05:30,95.7,97.45,94.1,95.55,1353876
2021-06-16T00:00:00+05:30,95.95,98.8,91.5,96.55,2587394
2021-06-17T00:00:00+05:30,93.05,96.35,92.6,94.2,1178524
2021-06-18T00:00:00+05:30,95.2,95.8,89.0,92.75,981283
2021-06-21T00:00:00+05:30,90.4,92.65,89.55,92.0,607806
2021-06-22T00:00:00+05:30,93.5,100.2,93.5,95.25,3742544
2021-06-23T00:00:00+05:30,95.95,96.4,93.85,94.9,957130
2021-06-24T00:00:00+05:30,94.5,95.6,89.8,94.5,1013741
2021-06-25T00:00:00+05:30,95.4,97.25,93.2,95.9,1147923
2021-06-28T00:00:00+05:30,96.8,96.95,93.55,94.75,845444
2021-06-29T00:00:00+05:30,95.0,100.85,94.35,98.7,3128888
2021-06-30T00:00:00+05:30,99.95,100.6,90.0,97.15,1388627
2021-07-01T00:00:00+05:30,98.3,101.0,92.05,93.9,4245985
2021-07-02T00:00:00+05:30,93.6,105.85,93.25,101.15,8817037
2021-07-05T00:00:00+05:30,101.9,102.1,98.45,99.95,2289010
2021-07-06T00:00:00+05:30,100.6,103.5,97.4,98.7,2986199
2021-07-07T00:00:00+05:30,98.0,99.35,96.7,98.05,973649
2021-07-08T00:00:00+05:30,98.45,100.0,95.3,96.25,1327831
2021-07-09T00:00:00+05:30,96.6,98.9,95.6,97.1,1006794
2021-07-12T00:00:00+05:30,97.5,99.75,97.15,98.95,1649929
2021-07-13T00:00:00+05:30,102.9,106.7,101.75,102.7,6563648
2021-07-14T00:00:00+05:30,102.7,104.35,100.7,101.65,1296075
2021-07-15T00:00:00+05:30,103.0,105.35,101.65,103.45,2102275
2021-07-16T00:00:00+05:30,103.95,104.15,100.3,101.2,846122
2021-07-19T00:00:00+05:30,100.3,102.2,99.0,99.3,868156
2021-07-20T00:00:00+05:30,100.0,100.25,94.35,95.25,1431183
2021-07-22T00:00:00+05:30,96.95,98.25,96.25,96.95,581234
2021-07-23T00:00:00+05:30,97.9,98.0,95.1,95.95,630524
2021-07-26T00:00:00+05:30,96.75,100.0,95.9,98.3,869107
2021-07-27T00:00:00+05:30,99.0,99.35,95.55,95.85,584494
2021-07-28T00:00:00+05:30,96.45,96.45,93.8,94.85,545207
