datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,23.6,23.6,22.9,23.1,757890
2021-03-10T00:00:00+05:30,23.3,23.35,22.95,23.04,444440
2021-03-12T00:00:00+05:30,23.3,23.35,22.54,22.68,342900
2021-03-15T00:00:00+05:30,22.9,22.94,22.0,22.69,592540
2021-03-16T00:00:00+05:30,22.85,22.85,22.41,22.5,131150
2021-03-17T00:00:00+05:30,22.41,22.5,21.6,21.78,319470
2021-03-18T00:00:00+05:30,22.0,22.3,20.7,21.26,319610
2021-03-19T00:00:00+05:30,21.5,21.6,20.63,21.31,298240
2021-03-22T00:00:00+05:30,20.91,21.63,20.91,21.31,170520
2021-03-23T00:00:00+05:30,21.6,22.03,21.0,21.78,490550
2021-03-24T00:00:00+05:30,21.97,22.0,20.9,21.18,228890
2021-03-25T00:00:00+05:30,21.2,21.23,19.9,20.72,685970
2021-03-26T00:00:00+05:30,20.91,21.1,20.6,20.77,121240
2021-03-30T00:00:00+05:30,22.64,22.64,20.41,21.13,440770
2021-03-31T00:00:00+05:30,21.0,21.89,21.0,21.8,519630
2021-04-01T00:00:00+05:30,21.79,22.1,21.31,21.95,125390
2021-04-05T00:00:00+05:30,21.9,21.9,20.51,20.83,486650
2021-04-06T00:00:00+05:30,20.84,21.08,20.7,20.76,449770
2021-04-07T00:00:00+05:30,20.9,21.49,20.89,21.29,161990
2021-04-08T00:00:00+05:30,21.32,21.55,21.0,21.03,79430
2021-04-09T00:00:00+05:30,21.03,21.79,20.91,21.49,617500
2021-04-12T00:00:00+05:30,20.85,21.3,19.3,19.69,365430
2021-04-13T00:00:00+05:30,19.8,20.9,19.8,20.72,234080
2021-04-15T00:00:00+05:30,20.72,20.72,19.75,20.04,215260
2021-04-16T00:00:00+05:30,19.81,20.5,19.8,19.91,153060
2021-04-19T00:00:00+05:30,19.8,19.8,18.76,19.02,424480
2021-04-20T00:00:00+05:30,19.41,19.88,19.02,19.11,358210
2021-04-22T00:00:00+05:30,19.05,19.2,18.85,19.11,593550
2021-04-23T00:00:00+05:30,19.1,19.55,19.01,19.39,157430
2021-04-26T00:00:00+05:30,19.4,19.84,19.4,19.68,231670
2021-04-27T00:00:00+05:30,19.63,20.19,19.6,20.06,161880
2021-04-28T00:00:00+05:30,20.2,20.6,20.1,20.47,201940
2021-04-29T00:00:00+05:30,20.7,20.88,20.0,20.56,638770
2021-04-30T00:00:00+05:30,20.3,20.55,19.9,20.27,195090
2021-05-03T00:00:00+05:30,20.35,20.35,19.72,20.0,72220
2021-05-04T00:00:00+05:30,20.2,21.4,20.15,20.73,993410
2021-05-05T00:00:00+05:30,20.8,21.34,20.75,20.99,258350
2021-05-06T00:00:00+05:30,21.3,21.3,20.61,20.89,161430
2021-05-07T00:00:00+05:30,21.1,21.1,20.65,20.8,152420
2021-05-10T00:00:00+05:30,20.95,21.35,20.72,21.13,240620
2021-05-11T00:00:00+05:30,20.95,21.39,20.6,21.15,309770
2021-05-12T00:00:00+05:30,21.1,22.43,21.1,22.01,633800
2021-05-14T00:00:00+05:30,22.01,22.39,21.33,21.75,518950
2021-05-17T00:00:00+05:30,21.3,22.38,21.3,22.28,454030
2021-05-18T00:00:00+05:30,22.4,22.88,21.9,22.05,665510
2021-05-19T00:00:00+05:30,22.1,22.29,21.9,22.08,181360
2021-05-20T00:00:00+05:30,22.3,22.3,21.85,22.13,89960
2021-05-21T00:00:00+05:30,22.4,23.01,22.1,22.78,442050
2021-05-24T00:00:00+05:30,23.0,24.19,23.0,23.45,965320
2021-05-25T00:00:00+05:30,23.49,23.89,23.0,23.29,221570
2021-05-26T00:00:00+05:30,23.31,23.48,23.0,23.09,185110
2021-05-27T00:00:00+05:30,22.4,23.75,22.4,23.65,932830
2021-05-28T00:00:00+05:30,24.0,24.05,23.61,23.8,341340
2021-05-31T00:00:00+05:30,24.0,24.0,23.59,23.7,249180
2021-06-01T00:00:00+05:30,24.1,24.1,23.31,23.57,345430
2021-06-02T00:00:00+05:30,23.69,24.39,23.41,24.13,805060
2021-06-03T00:00:00+05:30,24.13,24.45,24.13,24.3,437120
2021-06-04T00:00:00+05:30,24.5,24.62,24.12,24.4,990200
2021-06-07T00:00:00+05:30,24.7,24.78,24.33,24.6,439450
2021-06-08T00:00:00+05:30,24.6,24.6,24.01,24.28,811720
2021-06-09T00:00:00+05:30,24.15,24.47,23.81,23.98,285150
2021-06-10T00:00:00+05:30,24.2,24.48,23.85,24.29,162220
2021-06-11T00:00:00+05:30,24.29,24.5,24.17,24.27,80540
2021-06-14T00:00:00+05:30,24.35,24.49,23.54,24.33,308450
2021-06-15T00:00:00+05:30,24.51,24.69,24.2,24.56,255540
2021-06-16T00:00:00+05:30,24.5,24.69,24.1,24.17,126430
2021-06-17T00:00:00+05:30,24.19,24.26,23.66,23.85,208870
2021-06-18T00:00:00+05:30,24.01,24.1,22.73,23.44,455840
2021-06-21T00:00:00+05:30,23.3,24.2,22.73,24.01,552290
2021-06-22T00:00:00+05:30,24.2,24.72,24.2,24.39,400160
2021-06-23T00:00:00+05:30,24.4,24.57,23.96,24.3,350030
2021-06-24T00:00:00+05:30,24.39,24.39,23.91,24.04,59360
2021-06-25T00:00:00+05:30,24.3,24.89,23.8,24.76,668560
2021-06-28T00:00:00+05:30,24.88,25.16,24.51,25.05,244530
2021-06-29T00:00:00+05:30,25.0,25.2,24.81,24.94,376180
2021-06-30T00:00:00+05:30,25.2,25.29,24.6,24.71,198230
2021-07-01T00:00:00+05:30,24.81,24.9,24.52,24.59,195840
2021-07-02T00:00:00+05:30,24.53,24.9,24.53,24.76,90070
2021-07-05T00:00:00+05:30,24.99,25.19,24.61,24.99,98650
2021-07-06T00:00:00+05:30,24.89,25.1,24.62,24.69,87060
2021-07-07T00:00:00+05:30,24.62,24.75,24.5,24.65,127260
2021-07-08T00:00:00+05:30,24.8,24.8,24.02,24.19,162800
2021-07-09T00:00:00+05:30,24.3,24.3,24.0,24.17,93980
2021-07-12T00:00:00+05:30,24.23,24.5,24.21,24.3,110480
