datetime,open,high,low,close,volume
2023-08-02T00:00:00+05:30,45.84,48.0,44.75,44.94,5309
2023-08-03T00:00:00+05:30,44.75,45.39,44.25,44.25,2515
2023-08-04T00:00:00+05:30,45.35,45.35,44.2,44.45,656
2023-08-07T00:00:00+05:30,45.56,45.56,43.92,43.99,605
2023-08-08T00:00:00+05:30,44.31,45.38,44.31,45.38,1061
2023-08-09T00:00:00+05:30,46.49,46.49,44.95,45.2,51
2023-08-10T00:00:00+05:30,45.33,45.33,44.59,44.8,83
2023-08-11T00:00:00+05:30,46.49,47.0,45.02,45.65,5344
2023-08-14T00:00:00+05:30,45.41,52.0,44.82,52.0,2663
2023-08-16T00:00:00+05:30,46.0,46.0,44.72,45.95,70848
2023-08-17T00:00:00+05:30,47.43,51.05,44.99,51.0,15200
2023-08-18T00:00:00+05:30,48.1,48.1,45.75,46.26,64613
2023-08-21T00:00:00+05:30,46.26,47.01,45.73,45.73,3075
2023-08-22T00:00:00+05:30,45.8,46.25,45.1,45.1,1642
2023-08-23T00:00:00+05:30,45.8,47.2,45.67,46.2,1568
2023-08-24T00:00:00+05:30,46.25,46.25,45.75,46.12,1015
2023-08-25T00:00:00+05:30,46.0,46.49,45.0,45.31,12220
2023-08-28T00:00:00+05:30,45.39,45.74,45.39,45.49,778
2023-08-29T00:00:00+05:30,45.6,46.2,45.31,46.2,284
2023-08-30T00:00:00+05:30,45.8,45.8,45.25,45.3,2853
2023-08-31T00:00:00+05:30,45.3,45.42,44.55,44.55,11304
2023-09-01T00:00:00+05:30,45.59,46.05,44.51,44.51,6724
2023-09-04T00:00:00+05:30,46.94,47.5,45.49,46.39,5843
2023-09-05T00:00:00+05:30,46.73,47.0,46.5,46.7,10518
2023-09-06T00:00:00+05:30,46.61,46.68,46.06,46.39,1731
2023-09-07T00:00:00+05:30,47.19,47.25,46.0,46.72,2439
2023-09-08T00:00:00+05:30,46.92,47.49,46.69,47.1,3514
2023-09-11T00:00:00+05:30,47.2,48.5,47.2,48.33,17515
2023-09-12T00:00:00+05:30,49.28,49.28,46.53,46.76,4099
2023-09-13T00:00:00+05:30,47.0,49.42,46.88,49.42,2540
2023-09-14T00:00:00+05:30,49.15,50.11,48.5,49.5,2721
2023-09-15T00:00:00+05:30,50.01,50.61,49.88,50.5,1494
2023-09-18T00:00:00+05:30,52.0,57.89,49.49,57.89,13729
2023-09-20T00:00:00+05:30,53.7,54.2,51.45,52.45,1167880
2023-09-21T00:00:00+05:30,52.46,52.46,50.15,50.15,33627
2023-09-22T00:00:00+05:30,51.42,52.5,51.22,52.5,13399
2023-09-25T00:00:00+05:30,53.04,53.5,51.51,52.29,4825
2023-09-26T00:00:00+05:30,52.06,52.51,51.65,51.71,3631
2023-09-27T00:00:00+05:30,51.86,53.0,51.61,52.06,3160
2023-09-28T00:00:00+05:30,52.2,53.03,51.92,51.92,6826
2023-09-29T00:00:00+05:30,52.19,52.77,52.18,52.62,3075
2023-10-03T00:00:00+05:30,52.4,53.94,52.4,52.57,6042
2023-10-04T00:00:00+05:30,53.5,53.5,51.94,52.32,4700
2023-10-05T00:00:00+05:30,53.36,53.36,51.61,51.75,4053
2023-10-06T00:00:00+05:30,52.0,52.51,51.87,52.19,479
2023-10-09T00:00:00+05:30,53.4,53.4,50.45,50.45,3715
2023-10-10T00:00:00+05:30,51.0,52.19,50.8,51.64,729
2023-10-11T00:00:00+05:30,51.64,51.8,51.25,51.26,1138
2023-10-12T00:00:00+05:30,51.26,51.52,51.02,51.19,155
2023-10-13T00:00:00+05:30,50.81,50.92,50.27,50.52,3602
2023-10-16T00:00:00+05:30,51.5,51.5,50.48,51.35,2050
2023-10-17T00:00:00+05:30,51.32,51.32,50.74,51.13,2352
2023-10-18T00:00:00+05:30,51.01,52.2,50.0,50.62,4829
2023-10-19T00:00:00+05:30,50.03,50.41,49.91,50.41,16552
2023-10-20T00:00:00+05:30,50.33,50.33,49.22,49.24,2458
2023-10-23T00:00:00+05:30,49.28,49.28,45.0,46.53,5318
2023-10-25T00:00:00+05:30,47.01,48.52,47.0,47.65,8723
2023-10-26T00:00:00+05:30,47.25,47.27,46.49,47.11,2898
2023-10-27T00:00:00+05:30,47.11,51.1,47.11,49.34,1097159
2023-10-30T00:00:00+05:30,50.39,50.39,48.75,49.31,1968
2023-10-31T00:00:00+05:30,49.6,49.76,49.3,49.3,4815
2023-11-01T00:00:00+05:30,49.29,49.59,49.11,49.34,2783
2023-11-02T00:00:00+05:30,50.0,50.47,49.67,50.03,8033
2023-11-03T00:00:00+05:30,50.2,50.72,50.2,50.54,1440
2023-11-06T00:00:00+05:30,50.4,50.4,49.77,49.98,2094
2023-11-07T00:00:00+05:30,49.92,50.37,49.73,49.99,5441
