datetime,open,high,low,close,volume
2023-08-02T00:00:00+05:30,23.39,28.06,23.1,28.06,4952
2023-08-03T00:00:00+05:30,27.97,27.97,22.8,22.88,25956
2023-08-04T00:00:00+05:30,23.08,23.24,22.95,23.06,9506
2023-08-07T00:00:00+05:30,23.65,23.65,23.01,23.22,2986
2023-08-08T00:00:00+05:30,23.8,23.8,23.17,23.17,2649
2023-08-09T00:00:00+05:30,23.15,23.6,23.07,23.6,940
2023-08-10T00:00:00+05:30,23.23,23.7,23.11,23.7,1777
2023-08-11T00:00:00+05:30,23.15,25.2,22.89,23.25,5170
2023-08-14T00:00:00+05:30,23.22,23.22,22.79,22.89,776
2023-08-16T00:00:00+05:30,22.71,22.82,22.64,22.82,563
2023-08-17T00:00:00+05:30,23.39,23.39,22.45,22.95,3784
2023-08-18T00:00:00+05:30,22.74,23.0,22.61,23.0,1503
2023-08-21T00:00:00+05:30,23.2,23.28,22.45,22.83,1147
2023-08-22T00:00:00+05:30,22.5,23.75,22.5,23.0,1635
2023-08-23T00:00:00+05:30,24.14,24.14,22.77,23.07,1698
2023-08-24T00:00:00+05:30,23.16,23.4,23.15,23.17,4568
2023-08-25T00:00:00+05:30,22.93,23.12,22.93,23.1,12
2023-08-28T00:00:00+05:30,23.6,23.6,23.06,23.22,138
2023-08-29T00:00:00+05:30,23.8,23.8,23.14,23.8,2399
2023-08-30T00:00:00+05:30,23.18,23.36,23.0,23.09,2712
2023-08-31T00:00:00+05:30,23.08,23.19,22.85,22.85,3872
2023-09-01T00:00:00+05:30,23.44,23.55,22.6,23.41,1074
2023-09-04T00:00:00+05:30,23.41,24.0,22.83,23.21,1186
2023-09-05T00:00:00+05:30,23.33,23.38,23.23,23.3,3688
2023-09-06T00:00:00+05:30,23.3,24.0,23.0,23.0,860
2023-09-07T00:00:00+05:30,23.4,23.6,23.21,23.45,3485
2023-09-08T00:00:00+05:30,23.48,23.5,23.0,23.0,3114
2023-09-11T00:00:00+05:30,23.6,23.7,23.52,23.7,2602
2023-09-12T00:00:00+05:30,23.89,23.89,23.03,23.08,12043
2023-09-13T00:00:00+05:30,23.49,23.84,23.03,23.38,14783
2023-09-14T00:00:00+05:30,23.5,23.9,23.5,23.9,5675
2023-09-15T00:00:00+05:30,23.9,24.03,23.78,23.98,47934
2023-09-18T00:00:00+05:30,24.0,24.99,23.33,23.33,5787
2023-09-20T00:00:00+05:30,23.67,23.89,23.51,23.57,24145
2023-09-21T00:00:00+05:30,23.42,23.45,23.09,23.09,14145
2023-09-22T00:00:00+05:30,23.29,24.9,23.11,24.9,4207
2023-09-25T00:00:00+05:30,23.11,23.35,23.05,23.25,19951
2023-09-26T00:00:00+05:30,23.4,23.4,23.11,23.2,4672
2023-09-27T00:00:00+05:30,23.11,23.24,22.9,23.24,47966
2023-09-28T00:00:00+05:30,23.29,23.4,22.81,22.81,35094
2023-09-29T00:00:00+05:30,23.6,23.68,22.53,22.99,7181
2023-10-03T00:00:00+05:30,22.8,23.3,22.72,23.1,2931
2023-10-04T00:00:00+05:30,22.9,23.3,22.81,22.87,5101
2023-10-05T00:00:00+05:30,23.0,23.2,22.95,22.95,208
2023-10-06T00:00:00+05:30,23.0,23.11,22.88,23.09,2470
2023-10-09T00:00:00+05:30,23.2,23.2,22.79,22.83,2349
2023-10-10T00:00:00+05:30,22.9,23.21,22.9,23.12,578
2023-10-11T00:00:00+05:30,23.0,23.3,23.0,23.21,285
2023-10-12T00:00:00+05:30,23.73,23.73,23.16,23.73,2968
2023-10-13T00:00:00+05:30,23.13,23.72,23.13,23.15,5187
2023-10-16T00:00:00+05:30,23.6,25.15,23.03,25.15,6667
2023-10-17T00:00:00+05:30,24.55,24.55,23.16,23.5,21064
2023-10-18T00:00:00+05:30,23.33,23.89,22.45,22.45,22833
2023-10-19T00:00:00+05:30,23.27,24.33,22.71,22.9,30731
2023-10-20T00:00:00+05:30,22.86,22.93,22.33,22.61,3555
2023-10-23T00:00:00+05:30,22.61,22.95,22.33,22.79,3432
2023-10-25T00:00:00+05:30,22.59,23.0,22.34,23.0,5345
2023-10-26T00:00:00+05:30,22.22,23.25,21.99,23.25,7378
2023-10-27T00:00:00+05:30,22.2,22.33,22.2,22.32,1500
2023-10-30T00:00:00+05:30,23.33,23.33,22.11,22.58,2001654
2023-10-31T00:00:00+05:30,22.52,22.99,22.22,22.99,11134
2023-11-01T00:00:00+05:30,22.41,22.85,21.75,22.76,8244
2023-11-02T00:00:00+05:30,22.35,22.55,22.24,22.35,339
2023-11-03T00:00:00+05:30,22.4,22.62,22.4,22.6,23763
2023-11-06T00:00:00+05:30,22.51,23.5,22.03,22.53,32567
2023-11-07T00:00:00+05:30,22.71,22.85,22.13,22.13,15523
2023-11-08T00:00:00+05:30,22.76,22.89,22.76,22.76,5632
2023-11-09T00:00:00+05:30,22.73,22.93,22.73,22.84,6731
2023-11-10T00:00:00+05:30,22.79,22.88,22.69,22.88,8559
2023-11-12T00:00:00+05:30,22.9,23.07,22.9,23.06,3502
2023-11-13T00:00:00+05:30,22.94,22.99,22.81,22.97,7140
2023-11-15T00:00:00+05:30,23.05,23.22,23.01,23.01,2865
2023-11-16T00:00:00+05:30,23.1,23.18,23.05,23.05,5320
2023-11-17T00:00:00+05:30,22.96,22.96,22.76,22.8,4830
2023-11-20T00:00:00+05:30,22.8,22.85,22.63,22.77,1559
2023-11-21T00:00:00+05:30,22.8,22.88,22.76,22.88,5566
2023-11-22T00:00:00+05:30,22.88,22.88,22.6,22.73,1672
2023-11-23T00:00:00+05:30,22.63,22.81,22.63,22.75,4343
2023-11-24T00:00:00+05:30,22.84,22.9,22.75,22.89,1395
2023-11-28T00:00:00+05:30,22.83,22.96,22.83,22.92,5730
