datetime,open,high,low,close,volume
2023-08-10T00:00:00+05:30,162.03,162.95,159.28,159.47,6758
2023-08-11T00:00:00+05:30,159.49,160.07,159.01,159.1,1571
2023-08-14T00:00:00+05:30,159.68,164.0,158.01,164.0,166
2023-08-16T00:00:00+05:30,160.06,160.3,158.94,160.3,369
2023-08-17T00:00:00+05:30,160.0,160.0,158.58,159.66,486
2023-08-18T00:00:00+05:30,159.3,164.0,157.81,158.01,316959
2023-08-21T00:00:00+05:30,158.01,159.55,158.01,159.55,560
2023-08-22T00:00:00+05:30,159.55,159.55,158.85,159.4,1618
2023-08-23T00:00:00+05:30,159.4,159.4,158.0,159.0,375
2023-08-24T00:00:00+05:30,161.12,161.12,156.8,159.24,2828
2023-08-25T00:00:00+05:30,158.81,159.73,158.81,158.92,2096
2023-08-28T00:00:00+05:30,158.79,158.79,158.02,158.38,1420
2023-08-29T00:00:00+05:30,159.25,159.25,159.25,159.25,107
2023-08-30T00:00:00+05:30,159.3,160.37,159.3,160.34,462
2023-08-31T00:00:00+05:30,160.0,160.05,159.08,159.56,431
2023-09-01T00:00:00+05:30,159.3,160.14,159.29,160.14,690
2023-09-04T00:00:00+05:30,160.13,160.79,159.71,160.79,3304
2023-09-05T00:00:00+05:30,160.77,162.32,160.77,162.31,640
2023-09-06T00:00:00+05:30,162.3,162.73,162.24,162.71,885
2023-09-07T00:00:00+05:30,162.82,164.25,162.82,164.16,1505
2023-09-08T00:00:00+05:30,164.5,165.4,164.5,165.4,253
2023-09-11T00:00:00+05:30,165.39,166.15,165.39,166.15,16199
2023-09-12T00:00:00+05:30,165.8,165.8,164.49,165.02,1601
2023-09-13T00:00:00+05:30,164.99,165.25,164.94,165.05,73
2023-09-14T00:00:00+05:30,166.0,166.5,165.22,165.71,16321
2023-09-15T00:00:00+05:30,165.71,167.45,165.71,166.66,6168
2023-09-18T00:00:00+05:30,166.99,167.65,166.99,167.0,141
2023-09-20T00:00:00+05:30,167.67,167.67,166.91,166.91,69
2023-09-21T00:00:00+05:30,166.3,166.3,165.07,165.65,144
2023-09-22T00:00:00+05:30,166.0,166.48,166.0,166.0,44
2023-09-25T00:00:00+05:30,165.89,165.92,165.21,165.92,649
2023-09-26T00:00:00+05:30,165.3,165.55,165.14,165.55,595
2023-09-27T00:00:00+05:30,165.68,166.48,165.68,166.19,251
2023-09-28T00:00:00+05:30,165.8,165.8,162.6,163.2,8482
2023-09-29T00:00:00+05:30,162.61,164.49,162.61,163.96,199
2023-10-03T00:00:00+05:30,163.8,163.99,163.75,163.86,171
2023-10-04T00:00:00+05:30,162.85,163.15,162.4,162.45,323
2023-10-05T00:00:00+05:30,163.0,163.96,163.0,163.96,314
2023-10-09T00:00:00+05:30,163.96,164.0,163.11,163.81,3321
2023-10-10T00:00:00+05:30,163.8,165.72,163.8,165.72,793
2023-10-11T00:00:00+05:30,166.0,166.82,166.0,166.13,817
2023-10-12T00:00:00+05:30,166.12,166.31,165.77,165.77,76
2023-10-13T00:00:00+05:30,165.8,165.8,165.29,165.46,753
2023-10-16T00:00:00+05:30,165.33,165.93,165.33,165.93,74
2023-10-17T00:00:00+05:30,166.0,166.77,165.85,166.21,1428
2023-10-18T00:00:00+05:30,166.49,166.49,165.0,165.0,479
