datetime,open,high,low,close,volume
2024-07-30T00:00:00+05:30,89.55,89.55,83.36,84.56,75220
2024-07-31T00:00:00+05:30,86.77,86.77,80.75,81.3,61120
2024-08-01T00:00:00+05:30,82.93,85.34,78.83,79.9,72386
2024-08-02T00:00:00+05:30,76.64,81.96,76.34,77.67,63317
2024-08-05T00:00:00+05:30,73.78,81.05,73.78,74.77,87454
2024-08-06T00:00:00+05:30,77.81,77.81,71.55,72.65,43985
2024-08-07T00:00:00+05:30,73.96,76.28,73.53,76.28,26256
2024-08-08T00:00:00+05:30,80.08,80.08,72.92,73.31,115645
2024-08-09T00:00:00+05:30,73.07,74.39,69.63,70.32,104118
2024-08-12T00:00:00+05:30,73.41,73.83,67.54,71.42,176277
2024-08-13T00:00:00+05:30,72.33,72.33,68.55,69.55,62979
2024-08-14T00:00:00+05:30,70.92,70.92,67.54,67.77,27058
2024-08-16T00:00:00+05:30,67.83,69.36,64.61,67.7,56464
2024-08-19T00:00:00+05:30,70.47,71.07,65.57,71.07,77340
2024-08-20T00:00:00+05:30,74.61,74.63,68.51,73.52,216467
2024-08-21T00:00:00+05:30,75.57,77.19,73.53,77.19,128169
2024-08-22T00:00:00+05:30,79.78,81.05,74.4,76.66,122565
2024-08-23T00:00:00+05:30,78.31,79.06,73.57,73.98,95273
2024-08-26T00:00:00+05:30,76.3,76.35,70.39,70.65,152561
2024-08-27T00:00:00+05:30,71.75,72.18,69.6,70.16,93650
2024-08-28T00:00:00+05:30,70.19,71.36,69.4,69.49,56435
2024-08-29T00:00:00+05:30,69.5,71.4,68.04,68.47,63394
2024-08-30T00:00:00+05:30,70.81,70.81,65.89,68.14,98150
2024-09-02T00:00:00+05:30,69.5,71.54,68.65,71.54,77630
2024-09-03T00:00:00+05:30,75.12,75.12,75.12,75.12,83615
2024-09-04T00:00:00+05:30,75.09,77.02,71.55,75.98,136486
2024-09-05T00:00:00+05:30,77.23,79.78,72.93,79.78,632888
2024-09-06T00:00:00+05:30,83.76,83.76,83.76,83.76,77397
2024-09-09T00:00:00+05:30,87.94,87.94,87.94,87.94,39927
2024-09-10T00:00:00+05:30,92.33,92.33,92.33,92.33,91431
2024-09-11T00:00:00+05:30,96.94,96.94,96.94,96.94,79943
2024-09-12T00:00:00+05:30,101.79,101.79,101.79,101.79,23563
2024-09-13T00:00:00+05:30,106.87,106.87,106.87,106.87,28904
2024-09-16T00:00:00+05:30,112.2,112.2,112.2,112.2,45570
2024-09-17T00:00:00+05:30,117.81,117.81,117.81,117.81,44763
2024-09-18T00:00:00+05:30,123.7,123.7,123.7,123.7,81797
2024-09-19T00:00:00+05:30,129.87,129.87,123.39,129.87,1776874
2024-09-20T00:00:00+05:30,136.36,136.36,136.36,136.36,53814
2024-09-23T00:00:00+05:30,143.17,143.17,143.17,143.17,120042
2024-09-24T00:00:00+05:30,150.33,150.33,146.06,150.33,592735
2024-09-25T00:00:00+05:30,157.84,157.84,144.04,157.84,2838441
2024-09-26T00:00:00+05:30,162.49,162.87,149.94,149.94,1264338
2024-09-27T00:00:00+05:30,142.44,142.44,142.44,142.44,58502
2024-09-30T00:00:00+05:30,136.41,138.28,135.31,135.31,75569
2024-10-01T00:00:00+05:30,128.54,128.54,128.54,128.54,31900
2024-10-03T00:00:00+05:30,122.11,134.96,122.11,134.96,2492933
2024-10-04T00:00:00+05:30,141.71,141.71,136.98,141.71,329547
2024-10-07T00:00:00+05:30,146.23,146.83,134.62,134.62,486220
2024-10-08T00:00:00+05:30,127.89,140.76,127.89,127.89,488981
2024-10-09T00:00:00+05:30,127.25,130.14,123.43,125.42,135682
2024-10-10T00:00:00+05:30,130.14,131.68,129.99,131.67,271764
2024-10-11T00:00:00+05:30,133.61,133.61,125.09,131.6,151234
2024-10-14T00:00:00+05:30,127.83,128.69,125.01,125.02,221087
2024-10-15T00:00:00+05:30,124.21,126.22,118.76,124.86,216204
2024-10-16T00:00:00+05:30,121.47,123.82,119.66,121.03,103282
2024-10-17T00:00:00+05:30,122.25,127.08,117.02,127.08,283659
2024-10-18T00:00:00+05:30,128.72,133.44,125.29,133.44,164374
2024-10-21T00:00:00+05:30,140.1,140.1,140.1,140.1,38651
2024-10-22T00:00:00+05:30,147.1,147.1,139.97,147.1,594455
2024-10-23T00:00:00+05:30,140.95,147.1,139.74,139.74,271241
2024-10-24T00:00:00+05:30,134.1,139.0,132.75,132.75,122049
2024-10-25T00:00:00+05:30,128.24,138.22,126.1,126.1,143441
2024-10-28T00:00:00+05:30,120.89,129.6,119.79,124.15,183019
2024-10-29T00:00:00+05:30,125.68,129.21,119.61,125.5,103555
2024-10-30T00:00:00+05:30,125.5,130.97,121.91,125.12,80807
2024-10-31T00:00:00+05:30,127.98,131.16,125.12,130.8,94152
2024-11-01T00:00:00+05:30,136.35,136.74,129.26,133.31,57616
2024-11-04T00:00:00+05:30,135.08,136.06,127.25,130.99,59436
2024-11-05T00:00:00+05:30,130.99,130.99,124.46,129.4,74752
2024-11-06T00:00:00+05:30,129.7,135.08,125.39,133.99,58187
2024-11-07T00:00:00+05:30,137.04,139.39,129.94,130.38,73778
2024-11-08T00:00:00+05:30,133.11,133.11,123.86,125.5,90781
2024-11-11T00:00:00+05:30,127.23,127.25,121.51,123.27,52260
2024-11-12T00:00:00+05:30,123.33,126.16,119.57,121.96,67937
2024-11-13T00:00:00+05:30,115.87,115.87,115.87,115.87,34761
2024-11-14T00:00:00+05:30,110.07,115.31,110.07,110.07,112774
2024-11-18T00:00:00+05:30,104.74,109.53,104.56,107.67,129411
2024-11-19T00:00:00+05:30,112.57,113.06,108.77,113.06,59225
2024-11-21T00:00:00+05:30,113.35,114.48,109.53,111.92,75939
2024-11-22T00:00:00+05:30,113.5,117.51,109.73,117.51,62292
