datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,73.65,79.3,73.1,74.85,406787
2021-03-10T00:00:00+05:30,75.7,75.95,73.55,74.25,52214
2021-03-12T00:00:00+05:30,74.95,75.0,71.5,71.8,68433
2021-03-15T00:00:00+05:30,71.3,71.85,69.9,70.55,63030
2021-03-16T00:00:00+05:30,70.45,77.4,70.25,73.7,387255
2021-03-17T00:00:00+05:30,73.4,73.85,70.75,71.3,89005
2021-03-18T00:00:00+05:30,71.9,72.8,69.0,69.95,50382
2021-03-19T00:00:00+05:30,69.1,70.75,67.6,69.8,59907
2021-03-22T00:00:00+05:30,68.55,72.0,68.55,70.55,55533
2021-03-23T00:00:00+05:30,70.35,73.75,70.0,70.9,64899
2021-03-24T00:00:00+05:30,70.9,70.9,68.2,68.4,33429
2021-03-25T00:00:00+05:30,68.05,68.25,64.55,65.2,55806
2021-03-26T00:00:00+05:30,65.25,66.6,63.5,64.1,64676
2021-03-30T00:00:00+05:30,65.3,65.3,62.0,62.6,40059
2021-03-31T00:00:00+05:30,64.35,64.75,62.0,62.65,46501
2021-04-01T00:00:00+05:30,65.45,66.5,63.7,66.0,50432
2021-04-05T00:00:00+05:30,65.95,65.95,52.75,63.15,54812
2021-04-06T00:00:00+05:30,63.15,66.3,62.85,65.2,44577
2021-04-07T00:00:00+05:30,65.15,67.75,65.1,67.45,41202
2021-04-08T00:00:00+05:30,67.45,67.95,65.35,65.95,30646
2021-04-09T00:00:00+05:30,65.9,67.45,65.25,66.85,30182
2021-04-12T00:00:00+05:30,65.05,65.5,59.3,59.9,78182
2021-04-13T00:00:00+05:30,59.9,62.65,59.6,59.8,70890
2021-04-15T00:00:00+05:30,59.8,60.0,58.2,59.1,25714
2021-04-16T00:00:00+05:30,61.1,61.1,59.05,59.8,20879
2021-04-19T00:00:00+05:30,57.1,60.0,57.1,58.25,26954
2021-04-20T00:00:00+05:30,58.15,60.0,58.15,59.45,19363
2021-04-22T00:00:00+05:30,58.85,61.1,58.1,59.8,40514
2021-04-23T00:00:00+05:30,59.95,61.0,58.5,60.25,35115
2021-04-26T00:00:00+05:30,61.0,62.85,60.25,62.05,42880
2021-04-27T00:00:00+05:30,62.45,63.55,61.8,63.05,20552
2021-04-28T00:00:00+05:30,64.4,64.4,61.5,61.85,37609
2021-04-29T00:00:00+05:30,62.5,62.85,61.0,61.1,18460
2021-04-30T00:00:00+05:30,61.8,61.95,60.55,61.15,27979
2021-05-03T00:00:00+05:30,61.4,61.8,60.35,60.95,15849
2021-05-04T00:00:00+05:30,62.75,62.75,61.25,61.75,25455
2021-05-05T00:00:00+05:30,62.45,62.65,61.0,61.15,10297
2021-05-06T00:00:00+05:30,61.9,61.95,60.5,60.9,19018
2021-05-07T00:00:00+05:30,62.65,62.65,59.9,60.2,30086
2021-05-10T00:00:00+05:30,61.0,61.9,59.65,60.3,41405
2021-05-11T00:00:00+05:30,60.9,63.1,59.8,61.95,94937
2021-05-12T00:00:00+05:30,62.45,62.75,62.0,62.25,37470
2021-05-14T00:00:00+05:30,62.05,63.25,61.05,61.9,29553
2021-05-17T00:00:00+05:30,63.3,63.45,61.95,62.5,45654
2021-05-18T00:00:00+05:30,63.4,67.5,63.1,66.45,134162
2021-05-19T00:00:00+05:30,67.0,69.65,66.2,68.05,125477
2021-05-20T00:00:00+05:30,70.5,70.5,67.55,68.3,110201
2021-05-21T00:00:00+05:30,68.9,76.65,68.85,74.25,537894
2021-05-24T00:00:00+05:30,76.4,81.4,75.15,78.1,505607
2021-05-25T00:00:00+05:30,81.0,87.4,78.25,82.15,976615
2021-05-26T00:00:00+05:30,82.5,84.3,80.0,81.25,191284
2021-05-27T00:00:00+05:30,80.3,84.5,78.1,80.85,385610
2021-05-28T00:00:00+05:30,81.2,82.3,79.05,80.05,126270
2021-05-31T00:00:00+05:30,80.0,85.4,79.0,82.3,266652
2021-06-01T00:00:00+05:30,82.8,83.95,79.65,80.2,111222
2021-06-02T00:00:00+05:30,80.5,83.5,79.35,82.6,120844
2021-06-03T00:00:00+05:30,82.6,85.15,82.0,84.25,136067
2021-06-04T00:00:00+05:30,85.8,93.0,85.5,91.25,853736
2021-06-07T00:00:00+05:30,91.05,93.0,89.0,91.55,197886
2021-06-08T00:00:00+05:30,92.5,92.7,86.75,88.7,171769
2021-06-09T00:00:00+05:30,88.7,90.6,85.0,85.65,90987
2021-06-10T00:00:00+05:30,86.85,89.8,85.95,89.0,74511
2021-06-11T00:00:00+05:30,89.4,93.2,87.5,89.75,135678
2021-06-14T00:00:00+05:30,91.55,91.55,86.5,88.5,75883
2021-06-15T00:00:00+05:30,90.35,90.5,87.5,88.45,96431
2021-06-16T00:00:00+05:30,88.5,89.85,85.8,86.25,92920
2021-06-17T00:00:00+05:30,85.5,90.0,85.0,86.55,275461
2021-06-18T00:00:00+05:30,86.5,89.45,84.5,87.35,202620
2021-06-21T00:00:00+05:30,86.0,87.85,85.05,86.9,38916
2021-06-22T00:00:00+05:30,86.25,90.85,86.25,87.5,102333
2021-06-23T00:00:00+05:30,89.25,89.5,83.35,84.0,186805
2021-06-24T00:00:00+05:30,84.95,85.5,83.35,84.7,60410
2021-06-25T00:00:00+05:30,85.4,85.8,83.1,83.9,112084
2021-06-28T00:00:00+05:30,84.0,84.95,80.25,81.65,111211
2021-06-29T00:00:00+05:30,82.95,84.6,80.4,80.9,63336
2021-06-30T00:00:00+05:30,81.05,81.85,80.0,80.25,41770
2021-07-01T00:00:00+05:30,80.95,81.8,80.0,80.55,29107
2021-07-02T00:00:00+05:30,81.4,81.5,80.3,80.7,16990
2021-07-05T00:00:00+05:30,81.5,83.7,81.1,81.5,100751
2021-07-06T00:00:00+05:30,82.7,89.7,82.1,87.75,439128
2021-07-07T00:00:00+05:30,88.2,93.0,86.1,90.4,502939
2021-07-08T00:00:00+05:30,91.0,91.25,87.15,87.45,82931
2021-07-09T00:00:00+05:30,85.7,88.25,85.6,87.85,65498
2021-07-12T00:00:00+05:30,86.85,89.5,85.65,86.15,60309
2021-07-13T00:00:00+05:30,87.85,88.05,85.05,85.55,65303
2021-07-14T00:00:00+05:30,85.2,85.75,83.75,84.7,37821
