datetime,open,high,low,close,volume
2021-12-13T00:00:00+05:30,13.0,13.65,13.0,13.65,11
2021-12-14T00:00:00+05:30,14.3,14.3,14.3,14.3,13
2021-12-16T00:00:00+05:30,15.0,15.0,15.0,15.0,16
2021-12-17T00:00:00+05:30,15.75,15.75,15.75,15.75,3
2021-12-21T00:00:00+05:30,16.5,16.5,16.5,16.5,10
2021-12-22T00:00:00+05:30,17.3,17.3,17.3,17.3,2
2021-12-23T00:00:00+05:30,18.15,18.15,18.15,18.15,8
2021-12-24T00:00:00+05:30,19.05,19.05,19.05,19.05,1
2021-12-27T00:00:00+05:30,20.0,20.0,20.0,20.0,1
2021-12-28T00:00:00+05:30,21.0,21.0,21.0,21.0,3
2021-12-29T00:00:00+05:30,22.05,22.05,22.05,22.05,4
2021-12-30T00:00:00+05:30,23.15,23.15,23.15,23.15,2
2021-12-31T00:00:00+05:30,24.3,24.3,24.3,24.3,2
2022-01-03T00:00:00+05:30,25.5,25.5,25.5,25.5,9
2022-01-04T00:00:00+05:30,26.75,26.75,26.75,26.75,10
2022-01-05T00:00:00+05:30,28.05,28.05,28.05,28.05,1
2022-01-06T00:00:00+05:30,29.45,29.45,29.45,29.45,1
2022-01-07T00:00:00+05:30,30.9,30.9,30.9,30.9,1
2022-01-10T00:00:00+05:30,32.4,32.4,32.4,32.4,14
2022-01-11T00:00:00+05:30,34.0,34.0,34.0,34.0,129
2022-01-12T00:00:00+05:30,35.7,35.7,35.7,35.7,7
2022-01-13T00:00:00+05:30,37.45,37.45,37.45,37.45,233
2022-01-14T00:00:00+05:30,39.3,39.3,39.3,39.3,1
2022-01-17T00:00:00+05:30,41.25,41.25,41.25,41.25,3
2022-01-18T00:00:00+05:30,43.3,43.3,43.3,43.3,2
2022-01-19T00:00:00+05:30,45.45,45.45,45.45,45.45,1
2022-01-20T00:00:00+05:30,47.7,47.7,47.7,47.7,30
2022-01-21T00:00:00+05:30,50.05,50.05,50.05,50.05,3
2022-01-24T00:00:00+05:30,52.55,52.55,52.55,52.55,1
2022-01-25T00:00:00+05:30,55.15,55.15,55.15,55.15,1
2022-01-27T00:00:00+05:30,57.9,57.9,57.9,57.9,3
2022-01-28T00:00:00+05:30,60.75,60.75,60.75,60.75,15
2022-01-31T00:00:00+05:30,63.75,63.75,63.75,63.75,1
2022-02-01T00:00:00+05:30,66.9,66.9,66.9,66.9,1
2022-02-02T00:00:00+05:30,70.2,70.2,70.2,70.2,2
2022-02-03T00:00:00+05:30,73.7,73.7,73.7,73.7,1
2022-02-04T00:00:00+05:30,77.35,77.35,77.35,77.35,1
2022-02-07T00:00:00+05:30,81.2,81.2,81.2,81.2,6
2022-02-08T00:00:00+05:30,85.25,85.25,85.25,85.25,7
2022-02-09T00:00:00+05:30,89.5,89.5,89.5,89.5,5
2022-02-10T00:00:00+05:30,93.95,93.95,93.95,93.95,7
2022-02-11T00:00:00+05:30,98.6,98.6,98.6,98.6,5
2022-02-14T00:00:00+05:30,103.5,103.5,103.5,103.5,3012
2022-02-15T00:00:00+05:30,108.65,108.65,108.65,108.65,5
2022-02-16T00:00:00+05:30,114.05,114.05,114.05,114.05,12
2022-02-17T00:00:00+05:30,119.75,119.75,119.75,119.75,5
2022-02-18T00:00:00+05:30,125.7,125.7,125.7,125.7,5
2022-02-21T00:00:00+05:30,131.95,131.95,131.95,131.95,5
2022-02-22T00:00:00+05:30,138.5,138.5,138.5,138.5,2
2022-02-23T00:00:00+05:30,145.4,145.4,145.4,145.4,31
2022-02-24T00:00:00+05:30,152.65,152.65,152.65,152.65,1
2022-02-25T00:00:00+05:30,160.25,160.25,160.25,160.25,1
2022-02-28T00:00:00+05:30,168.25,168.25,168.25,168.25,1
2022-03-02T00:00:00+05:30,176.65,176.65,176.65,176.65,2
2022-03-03T00:00:00+05:30,185.45,185.45,185.45,185.45,1
2022-03-04T00:00:00+05:30,194.7,194.7,194.7,194.7,1
2022-03-07T00:00:00+05:30,204.4,204.4,204.4,204.4,1
2022-03-08T00:00:00+05:30,214.6,214.6,214.6,214.6,10
2022-03-09T00:00:00+05:30,225.3,225.3,225.3,225.3,1
2022-03-10T00:00:00+05:30,236.55,236.55,236.55,236.55,1
2022-03-11T00:00:00+05:30,248.35,248.35,248.35,248.35,1
2022-03-14T00:00:00+05:30,260.75,260.75,260.75,260.75,1
2022-03-16T00:00:00+05:30,273.75,273.75,273.75,273.75,1
2022-03-17T00:00:00+05:30,287.4,287.4,287.4,287.4,3
2022-03-21T00:00:00+05:30,301.75,301.75,301.75,301.75,1
2022-03-22T00:00:00+05:30,316.8,316.8,316.8,316.8,1
2022-03-23T00:00:00+05:30,332.6,332.6,332.6,332.6,1
2022-03-24T00:00:00+05:30,349.2,349.2,349.2,349.2,1
2022-03-25T00:00:00+05:30,366.65,366.65,366.65,366.65,1
2022-03-28T00:00:00+05:30,384.95,384.95,384.95,384.95,200
2022-03-29T00:00:00+05:30,404.15,404.15,404.15,404.15,4
2022-03-30T00:00:00+05:30,424.35,424.35,424.35,424.35,6
2022-03-31T00:00:00+05:30,445.55,445.55,445.55,445.55,1
2022-04-01T00:00:00+05:30,467.8,467.8,467.8,467.8,11
2022-04-05T00:00:00+05:30,480.0,515.7,480.0,515.7,11841
2022-04-06T00:00:00+05:30,489.95,489.95,489.95,489.95,5917
2022-04-07T00:00:00+05:30,465.5,465.5,465.5,465.5,1757
2022-04-08T00:00:00+05:30,442.25,442.25,442.25,442.25,909
2022-04-11T00:00:00+05:30,420.15,420.15,420.15,420.15,675
2022-04-12T00:00:00+05:30,399.15,399.15,399.15,399.15,573
2022-04-13T00:00:00+05:30,379.2,379.2,379.2,379.2,393
2022-04-18T00:00:00+05:30,360.25,360.25,360.25,360.25,613
2022-04-19T00:00:00+05:30,342.25,342.25,342.25,342.25,72006
2022-04-20T00:00:00+05:30,325.15,325.15,325.15,325.15,538
2022-04-21T00:00:00+05:30,308.9,331.0,308.9,317.55,906355
2022-04-22T00:00:00+05:30,318.8,328.7,305.1,318.9,66344
2022-04-25T00:00:00+05:30,321.0,321.0,303.0,303.0,16613
2022-04-26T00:00:00+05:30,287.85,299.4,287.85,288.85,11222
2022-04-27T00:00:00+05:30,276.1,290.0,274.45,274.65,26256
2022-04-28T00:00:00+05:30,284.95,288.35,261.05,288.35,6171
2022-04-29T00:00:00+05:30,295.0,302.75,274.0,300.65,11138
2022-05-02T00:00:00+05:30,312.85,312.85,285.65,295.1,14864
2022-05-04T00:00:00+05:30,295.0,306.8,280.35,280.35,3973
2022-05-05T00:00:00+05:30,270.0,284.8,266.35,270.35,4900
2022-05-06T00:00:00+05:30,275.95,275.95,257.1,264.1,5308
2022-05-09T00:00:00+05:30,251.1,265.0,250.9,251.45,4362
2022-05-10T00:00:00+05:30,250.9,263.0,240.75,246.85,2887
2022-05-11T00:00:00+05:30,245.0,257.0,234.55,244.9,2152
2022-05-12T00:00:00+05:30,244.9,256.0,232.7,242.4,1735
2022-05-13T00:00:00+05:30,251.9,254.5,250.0,252.95,12961
2022-05-16T00:00:00+05:30,262.95,265.55,245.0,261.95,2850
2022-05-17T00:00:00+05:30,250.0,265.0,249.05,261.2,2678
2022-05-18T00:00:00+05:30,265.95,265.95,252.0,262.0,1226
2022-05-19T00:00:00+05:30,249.2,265.0,249.2,256.95,1836
2022-05-20T00:00:00+05:30,245.8,259.85,245.8,252.9,5440
2022-05-23T00:00:00+05:30,246.0,256.65,241.05,246.3,1460
2022-05-24T00:00:00+05:30,245.0,250.0,240.0,241.45,1418
2022-05-25T00:00:00+05:30,248.7,248.7,230.1,237.3,1228
2022-05-26T00:00:00+05:30,235.0,242.05,225.45,237.1,3293
2022-05-27T00:00:00+05:30,244.25,247.0,230.05,236.15,1180
2022-05-30T00:00:00+05:30,244.0,246.95,226.3,243.95,3204
2022-05-31T00:00:00+05:30,251.0,251.0,236.0,250.8,3742
2022-06-01T00:00:00+05:30,255.0,255.0,244.0,255.0,3048
2022-06-02T00:00:00+05:30,264.0,267.75,260.05,267.75,5525
2022-06-03T00:00:00+05:30,281.0,281.0,268.3,274.95,3878
2022-06-06T00:00:00+05:30,274.95,276.0,261.25,270.0,1938
2022-06-07T00:00:00+05:30,270.0,270.0,256.5,258.55,2107
2022-06-08T00:00:00+05:30,256.0,264.0,246.1,255.8,590
2022-06-09T00:00:00+05:30,248.1,263.8,248.1,260.1,1335
2022-06-10T00:00:00+05:30,255.5,265.0,250.1,258.7,3181
2022-06-13T00:00:00+05:30,258.7,258.7,245.8,250.0,1183
2022-06-14T00:00:00+05:30,250.0,257.0,245.0,254.5,546
2022-06-15T00:00:00+05:30,265.0,265.0,250.0,259.95,2118
2022-06-16T00:00:00+05:30,265.0,265.0,251.0,256.15,2721
2022-06-17T00:00:00+05:30,256.15,256.15,245.1,253.95,1520
2022-06-20T00:00:00+05:30,253.95,260.0,241.5,245.5,783
2022-06-21T00:00:00+05:30,245.0,252.35,233.25,233.85,4822
2022-06-22T00:00:00+05:30,230.0,244.0,224.0,238.9,1055
2022-06-23T00:00:00+05:30,249.95,249.95,228.0,242.9,474
2022-06-24T00:00:00+05:30,245.0,248.0,240.0,243.6,914
2022-06-27T00:00:00+05:30,248.0,253.0,240.0,250.0,1062
2022-06-28T00:00:00+05:30,258.0,262.5,247.0,259.9,2668
2022-06-29T00:00:00+05:30,268.0,269.0,247.0,257.7,3312
2022-06-30T00:00:00+05:30,261.5,261.5,245.2,254.8,1775
2022-07-01T00:00:00+05:30,249.7,261.0,242.55,253.7,2602
2022-07-04T00:00:00+05:30,253.7,253.7,245.15,250.85,400
2022-07-05T00:00:00+05:30,250.0,255.0,240.0,245.8,2177
2022-07-06T00:00:00+05:30,241.0,252.95,234.25,245.0,1180
2022-07-07T00:00:00+05:30,245.0,248.0,235.0,238.1,3281
2022-07-08T00:00:00+05:30,235.0,245.0,235.0,244.0,1140
2022-07-11T00:00:00+05:30,252.0,252.0,238.0,244.0,2164
2022-07-12T00:00:00+05:30,248.0,248.0,237.0,245.0,625
2022-07-13T00:00:00+05:30,240.1,240.1,232.75,232.8,2369
2022-07-14T00:00:00+05:30,239.95,239.95,221.3,227.7,1905
2022-07-15T00:00:00+05:30,239.0,239.0,227.0,232.1,1115
2022-07-18T00:00:00+05:30,231.9,231.9,225.0,229.0,1753
2022-07-19T00:00:00+05:30,221.0,227.65,220.0,225.0,740
2022-07-20T00:00:00+05:30,214.05,236.0,214.05,226.0,3020
2022-07-21T00:00:00+05:30,226.0,236.0,215.25,227.45,3704
2022-07-22T00:00:00+05:30,217.1,235.0,216.65,224.25,1483
2022-07-25T00:00:00+05:30,228.75,234.0,224.25,227.7,3257
2022-07-26T00:00:00+05:30,234.55,237.0,217.25,226.45,1572
2022-07-27T00:00:00+05:30,226.45,229.0,220.0,220.6,2225
2022-07-28T00:00:00+05:30,212.2,228.8,212.2,222.0,1716
2022-07-29T00:00:00+05:30,220.0,220.0,213.0,213.9,2580
2022-08-01T00:00:00+05:30,213.9,224.55,212.0,224.55,1823
2022-08-02T00:00:00+05:30,222.05,234.9,215.1,228.35,3226
2022-08-03T00:00:00+05:30,233.0,233.0,216.95,216.95,2564
2022-08-04T00:00:00+05:30,225.95,225.95,206.2,211.0,3215
2022-08-05T00:00:00+05:30,220.5,220.5,201.25,211.9,437
2022-08-08T00:00:00+05:30,211.9,211.9,201.35,201.7,3777
2022-08-10T00:00:00+05:30,207.8,207.8,192.1,205.35,2089
2022-08-11T00:00:00+05:30,214.6,215.6,195.15,208.0,3999
2022-08-12T00:00:00+05:30,217.95,218.4,214.25,215.2,4301
2022-08-16T00:00:00+05:30,215.2,224.45,205.25,217.95,2350
2022-08-17T00:00:00+05:30,225.9,225.9,207.1,220.7,1786
2022-08-18T00:00:00+05:30,223.8,223.8,210.15,223.0,2351
2022-08-19T00:00:00+05:30,222.95,223.0,211.85,221.05,2662
2022-08-22T00:00:00+05:30,227.9,227.9,210.05,217.35,1692
2022-08-23T00:00:00+05:30,210.0,221.95,210.0,217.95,726
2022-08-24T00:00:00+05:30,217.95,225.95,210.6,216.6,1247
2022-08-25T00:00:00+05:30,220.95,224.9,210.0,215.55,2176
2022-08-26T00:00:00+05:30,219.9,223.85,211.0,213.4,1537
2022-08-29T00:00:00+05:30,223.0,223.0,207.45,218.4,1892
2022-08-30T00:00:00+05:30,218.4,221.95,208.1,219.65,3780
2022-09-01T00:00:00+05:30,209.05,220.9,208.7,210.65,5644
2022-09-02T00:00:00+05:30,216.8,216.8,200.15,204.25,5554
2022-09-05T00:00:00+05:30,202.95,209.95,196.0,204.3,2133
2022-09-06T00:00:00+05:30,204.3,208.55,197.0,203.8,2169
2022-09-07T00:00:00+05:30,208.0,213.0,195.4,206.0,2664
2022-09-08T00:00:00+05:30,209.95,209.95,197.25,204.8,987
2022-09-09T00:00:00+05:30,204.8,208.45,198.05,200.8,865
2022-09-12T00:00:00+05:30,208.0,208.95,196.75,208.95,4054
2022-09-13T00:00:00+05:30,210.8,219.2,200.55,218.5,5199
2022-09-14T00:00:00+05:30,218.5,229.0,212.0,219.3,4855
2022-09-15T00:00:00+05:30,229.0,230.25,219.3,230.25,2348
2022-09-16T00:00:00+05:30,240.0,241.75,222.1,241.4,8503
2022-09-19T00:00:00+05:30,250.95,253.45,241.45,253.45,3362
2022-09-20T00:00:00+05:30,262.75,266.0,242.15,265.55,8005
2022-09-21T00:00:00+05:30,270.0,278.8,260.0,278.8,18698
2022-09-22T00:00:00+05:30,291.0,292.7,278.8,291.15,17394
2022-09-26T00:00:00+05:30,276.6,276.6,276.6,276.6,409
2022-10-03T00:00:00+05:30,262.8,262.8,262.8,262.8,89
2022-10-10T00:00:00+05:30,249.7,249.7,249.7,249.7,113
2022-10-17T00:00:00+05:30,237.25,237.25,237.25,237.25,35
2022-10-24T00:00:00+05:30,225.4,225.4,225.4,225.4,2042
2022-10-31T00:00:00+05:30,214.15,236.65,214.15,234.2,27562
2022-11-01T00:00:00+05:30,244.95,245.9,235.55,245.9,4299
2022-11-02T00:00:00+05:30,257.85,258.15,255.95,258.15,15898
2022-11-03T00:00:00+05:30,269.95,271.0,246.0,269.9,11446
2022-11-04T00:00:00+05:30,279.9,279.95,256.6,263.3,2881
2022-11-07T00:00:00+05:30,268.6,272.95,251.0,256.0,2180
2022-11-09T00:00:00+05:30,257.35,268.0,244.55,255.85,1507
2022-11-10T00:00:00+05:30,243.3,264.8,243.3,260.9,2818
2022-11-11T00:00:00+05:30,270.0,270.0,255.05,257.1,2067
2022-11-14T00:00:00+05:30,259.2,267.7,250.0,261.45,6018
2022-11-15T00:00:00+05:30,266.7,266.7,260.0,261.4,1894
2022-11-16T00:00:00+05:30,266.65,266.65,258.0,258.05,1269
2022-11-17T00:00:00+05:30,266.5,266.5,255.05,256.2,1260
2022-11-18T00:00:00+05:30,256.2,265.9,252.0,255.15,1516
2022-11-21T00:00:00+05:30,245.0,264.0,245.0,261.75,699
2022-11-22T00:00:00+05:30,250.6,269.0,250.6,258.6,1365
2022-11-23T00:00:00+05:30,255.0,259.95,255.0,256.25,528
2022-11-24T00:00:00+05:30,255.0,255.0,252.05,252.2,6501
2022-11-25T00:00:00+05:30,242.5,263.0,242.5,252.9,1192
2022-11-28T00:00:00+05:30,258.0,260.0,252.9,260.0,4689
2022-11-29T00:00:00+05:30,258.65,265.0,250.5,254.5,1493
2022-11-30T00:00:00+05:30,259.6,259.6,250.05,258.7,1238
2022-12-01T00:00:00+05:30,251.05,258.5,251.05,252.0,1620
2022-12-02T00:00:00+05:30,258.0,258.0,243.2,255.0,5946
2022-12-05T00:00:00+05:30,260.0,260.0,254.0,254.0,3473
2022-12-06T00:00:00+05:30,264.8,264.8,254.0,258.8,3506
2022-12-07T00:00:00+05:30,262.6,262.6,246.5,256.4,4635
2022-12-08T00:00:00+05:30,253.0,257.5,253.0,256.65,4569
2022-12-09T00:00:00+05:30,256.65,260.0,253.05,258.35,196
2022-12-12T00:00:00+05:30,263.5,263.5,250.1,256.95,342
2022-12-13T00:00:00+05:30,255.0,257.9,247.55,250.1,3827
2022-12-14T00:00:00+05:30,258.0,262.6,244.55,262.6,7520
2022-12-15T00:00:00+05:30,268.0,268.0,252.35,260.65,1840
2022-12-16T00:00:00+05:30,255.0,266.0,255.0,263.6,3180
2022-12-19T00:00:00+05:30,265.0,268.95,255.3,257.35,785
2022-12-20T00:00:00+05:30,260.0,263.95,245.75,255.7,1329
2022-12-21T00:00:00+05:30,255.1,261.9,254.0,254.05,5263
2022-12-22T00:00:00+05:30,255.0,260.9,254.05,254.05,2132
2022-12-23T00:00:00+05:30,264.9,264.9,242.15,242.3,1510
2022-12-26T00:00:00+05:30,247.15,249.95,230.6,248.0,338
2022-12-27T00:00:00+05:30,249.95,249.95,239.0,245.0,3645
2022-12-28T00:00:00+05:30,239.0,245.9,235.5,244.9,859
2022-12-29T00:00:00+05:30,248.9,248.9,237.05,244.4,222
2022-12-30T00:00:00+05:30,235.0,245.0,235.0,244.0,886
2023-01-02T00:00:00+05:30,248.25,256.2,244.05,256.2,4611
2023-01-03T00:00:00+05:30,267.0,267.5,253.0,263.95,2778
2023-01-04T00:00:00+05:30,273.75,273.75,260.05,260.55,1367
2023-01-05T00:00:00+05:30,267.1,267.1,256.5,260.0,625
2023-01-06T00:00:00+05:30,260.0,267.25,254.0,254.05,658
