datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,550.0,551.47,543.01,548.42,2945
2021-03-10T00:00:00+05:30,550.0,558.0,541.0,553.77,1630
2021-03-12T00:00:00+05:30,574.7,574.7,547.5,548.1,1344
2021-03-15T00:00:00+05:30,550.0,550.0,537.0,542.35,2027
2021-03-16T00:00:00+05:30,547.0,547.0,541.0,542.38,1146
2021-03-17T00:00:00+05:30,520.7,549.98,493.6,535.88,555
2021-03-18T00:00:00+05:30,532.01,544.0,529.02,533.83,1684
2021-03-19T00:00:00+05:30,529.55,540.0,523.0,539.87,1176
2021-03-22T00:00:00+05:30,540.0,544.5,532.05,537.29,450
2021-03-23T00:00:00+05:30,542.5,543.98,535.61,540.24,1017
2021-03-24T00:00:00+05:30,553.7,553.7,530.0,531.75,813
2021-03-25T00:00:00+05:30,530.95,530.95,522.0,523.64,2706
2021-03-26T00:00:00+05:30,535.98,535.98,526.01,528.26,959
2021-03-30T00:00:00+05:30,532.0,543.1,532.0,543.1,2124
2021-03-31T00:00:00+05:30,546.5,546.5,532.26,533.86,1038
2021-04-01T00:00:00+05:30,538.99,540.98,526.05,540.5,2693
2021-04-05T00:00:00+05:30,531.03,540.0,526.4,531.44,2204
2021-04-06T00:00:00+05:30,535.0,535.75,528.36,532.02,487
2021-04-07T00:00:00+05:30,533.6,539.0,532.3,536.41,663
2021-04-08T00:00:00+05:30,535.81,541.25,534.51,536.92,1555
2021-04-09T00:00:00+05:30,537.4,539.25,534.26,536.28,967
2021-04-12T00:00:00+05:30,533.0,533.0,516.0,516.95,17209
2021-04-13T00:00:00+05:30,517.0,525.3,511.02,521.86,1702
2021-04-15T00:00:00+05:30,531.98,531.98,519.0,524.86,972
2021-04-16T00:00:00+05:30,524.5,528.9,510.95,526.77,6625
2021-04-19T00:00:00+05:30,524.77,525.0,510.25,517.84,3318
2021-04-20T00:00:00+05:30,529.7,529.95,513.5,515.94,1217
2021-04-22T00:00:00+05:30,515.94,519.8,510.0,519.8,1726
2021-04-23T00:00:00+05:30,524.97,524.97,513.5,514.76,1455
2021-04-26T00:00:00+05:30,514.76,525.9,514.76,521.79,1894
2021-04-27T00:00:00+05:30,525.0,528.25,521.3,527.77,964
2021-04-28T00:00:00+05:30,533.98,537.5,528.81,534.81,1209
2021-04-29T00:00:00+05:30,544.97,544.97,532.91,534.51,1218
2021-04-30T00:00:00+05:30,537.97,537.97,525.1,526.64,14901
2021-05-03T00:00:00+05:30,528.99,528.99,520.0,526.52,3981
2021-05-04T00:00:00+05:30,526.52,529.6,520.11,521.93,3491
2021-05-05T00:00:00+05:30,524.99,526.0,521.51,522.7,572
2021-05-06T00:00:00+05:30,529.96,529.96,517.02,524.38,2423
2021-05-07T00:00:00+05:30,527.0,531.0,525.01,529.62,3412
2021-05-10T00:00:00+05:30,537.99,537.99,529.62,533.77,2164
2021-05-11T00:00:00+05:30,526.0,532.85,524.05,531.01,608
2021-05-12T00:00:00+05:30,530.95,531.15,525.0,526.03,865
2021-05-14T00:00:00+05:30,526.03,527.3,523.5,525.09,499
2021-05-17T00:00:00+05:30,525.0,534.99,525.0,533.99,808
2021-05-18T00:00:00+05:30,538.0,542.45,526.95,540.0,4176
2021-05-19T00:00:00+05:30,540.0,541.0,536.0,538.94,1530
2021-05-20T00:00:00+05:30,534.0,540.8,534.0,535.0,462
2021-05-21T00:00:00+05:30,538.25,543.0,537.7,540.67,2788
2021-05-24T00:00:00+05:30,544.0,549.2,544.0,547.01,2094
2021-05-25T00:00:00+05:30,548.0,550.0,544.7,546.51,1733
2021-05-26T00:00:00+05:30,550.0,552.99,545.2,549.95,540
2021-05-27T00:00:00+05:30,552.25,553.9,545.03,550.42,1059
2021-05-28T00:00:00+05:30,553.9,554.99,548.0,552.7,2976
2021-05-31T00:00:00+05:30,558.98,560.0,550.02,556.68,1692
2021-06-01T00:00:00+05:30,560.0,562.7,559.25,562.48,1883
2021-06-02T00:00:00+05:30,564.0,564.97,555.25,557.77,1133
2021-06-03T00:00:00+05:30,568.95,568.95,555.02,563.98,1066
2021-06-04T00:00:00+05:30,564.0,567.0,561.6,563.05,1577
2021-06-07T00:00:00+05:30,569.98,569.98,562.2,563.51,5000
2021-06-08T00:00:00+05:30,569.98,569.98,559.5,565.15,488
2021-06-09T00:00:00+05:30,565.0,568.0,560.0,562.51,11251
2021-06-10T00:00:00+05:30,564.0,566.2,562.62,566.05,940
2021-06-11T00:00:00+05:30,579.7,579.7,564.77,567.52,1955
2021-06-14T00:00:00+05:30,570.3,570.3,563.0,568.02,1355
2021-06-15T00:00:00+05:30,564.5,573.99,564.5,572.53,700
2021-06-16T00:00:00+05:30,574.99,574.99,567.5,570.85,1478
2021-06-17T00:00:00+05:30,561.14,571.0,561.14,563.93,1535
2021-06-18T00:00:00+05:30,567.0,569.99,553.0,561.82,5167
2021-06-21T00:00:00+05:30,563.0,569.99,562.0,569.55,673
2021-06-22T00:00:00+05:30,592.3,609.4,566.03,570.39,2168
2021-06-23T00:00:00+05:30,571.99,571.99,565.0,567.07,323
2021-06-24T00:00:00+05:30,569.1,572.0,567.2,571.31,664
2021-06-25T00:00:00+05:30,572.0,573.0,569.01,572.82,523
2021-06-28T00:00:00+05:30,573.0,574.8,570.2,572.31,1021
2021-06-29T00:00:00+05:30,576.99,576.99,569.55,570.0,378
2021-06-30T00:00:00+05:30,566.02,571.39,566.02,569.04,488
2021-07-01T00:00:00+05:30,567.0,570.0,566.95,567.89,1844
2021-07-02T00:00:00+05:30,566.0,568.35,566.0,566.75,508
2021-07-05T00:00:00+05:30,573.99,573.99,569.2,571.39,1047
2021-07-06T00:00:00+05:30,573.25,574.7,571.2,574.5,1120
2021-07-07T00:00:00+05:30,574.5,574.7,571.0,571.13,397
2021-07-08T00:00:00+05:30,571.0,575.0,568.05,570.45,490
2021-07-09T00:00:00+05:30,574.98,574.98,565.5,568.36,875
2021-07-12T00:00:00+05:30,575.98,575.98,567.4,568.2,708
2021-07-13T00:00:00+05:30,577.99,577.99,568.2,572.56,682
2021-07-14T00:00:00+05:30,572.56,575.0,569.0,574.26,2629
2021-07-15T00:00:00+05:30,574.0,576.0,568.02,575.22,753
2021-07-16T00:00:00+05:30,572.5,578.98,572.5,576.74,1677
2021-07-19T00:00:00+05:30,565.21,577.99,564.27,569.08,2687
2021-07-20T00:00:00+05:30,579.48,579.48,564.0,567.71,1544
2021-07-22T00:00:00+05:30,571.32,575.01,568.2,571.22,804
2021-07-23T00:00:00+05:30,574.25,575.0,569.2,574.57,1339
2021-07-26T00:00:00+05:30,577.9,577.9,571.0,571.66,1213
2021-07-27T00:00:00+05:30,574.0,574.99,568.1,571.14,1064
2021-07-28T00:00:00+05:30,565.02,573.99,560.25,569.26,3486
2021-07-29T00:00:00+05:30,572.5,572.9,569.5,570.09,739
2021-07-30T00:00:00+05:30,573.0,573.0,565.95,570.38,2743
2021-08-02T00:00:00+05:30,574.99,576.0,570.0,572.11,1435
2021-08-03T00:00:00+05:30,574.99,578.8,572.0,577.98,12863
2021-08-04T00:00:00+05:30,578.02,588.75,578.02,587.94,6383
2021-08-05T00:00:00+05:30,581.02,592.0,581.02,591.43,895
2021-08-06T00:00:00+05:30,592.99,592.99,586.95,587.57,801
2021-08-09T00:00:00+05:30,590.0,592.8,587.6,589.99,625
2021-08-10T00:00:00+05:30,590.0,595.0,589.0,592.93,599
2021-08-11T00:00:00+05:30,594.99,594.99,586.51,590.1,369
2021-08-12T00:00:00+05:30,592.99,596.0,590.95,595.46,612
2021-08-13T00:00:00+05:30,595.9,602.19,591.0,599.98,1289
2021-08-16T00:00:00+05:30,602.99,604.2,599.0,603.98,1151
2021-08-17T00:00:00+05:30,603.95,605.99,600.1,603.81,526
2021-08-18T00:00:00+05:30,605.99,609.5,605.0,605.21,1416
2021-08-20T00:00:00+05:30,595.01,604.99,595.01,601.2,3247
2021-08-23T00:00:00+05:30,598.7,605.9,598.45,601.3,1977
2021-08-24T00:00:00+05:30,604.5,608.99,602.6,606.62,1185
2021-08-25T00:00:00+05:30,609.99,611.98,600.75,607.75,1086
2021-08-26T00:00:00+05:30,610.0,610.99,600.1,608.37,712
2021-08-27T00:00:00+05:30,610.0,614.0,605.9,610.25,1543
2021-08-30T00:00:00+05:30,613.99,616.0,610.5,615.35,2834
2021-08-31T00:00:00+05:30,619.99,623.9,615.1,620.52,896
2021-09-01T00:00:00+05:30,624.99,628.99,622.0,624.6,708
2021-09-02T00:00:00+05:30,627.99,630.5,617.05,629.0,1462
2021-09-03T00:00:00+05:30,631.99,632.5,626.5,632.08,952
2021-09-06T00:00:00+05:30,636.99,636.99,627.95,633.98,792
2021-09-07T00:00:00+05:30,637.99,637.99,632.0,634.27,812
2021-09-08T00:00:00+05:30,637.99,637.99,628.02,633.02,901
2021-09-09T00:00:00+05:30,636.98,636.98,630.0,633.29,437
2021-09-13T00:00:00+05:30,637.99,637.99,629.2,631.36,1231
2021-09-14T00:00:00+05:30,634.0,635.0,631.9,633.25,588
2021-09-15T00:00:00+05:30,630.0,638.6,630.0,638.6,480
2021-09-16T00:00:00+05:30,639.4,643.2,631.04,642.15,1219
2021-09-17T00:00:00+05:30,646.99,647.5,640.0,641.41,973
2021-09-20T00:00:00+05:30,642.99,642.99,635.5,635.59,1788
2021-09-21T00:00:00+05:30,639.99,641.0,630.5,637.84,2557
2021-09-22T00:00:00+05:30,641.99,642.2,638.6,641.01,576
2021-09-23T00:00:00+05:30,641.01,649.3,641.01,648.38,934
2021-09-24T00:00:00+05:30,653.99,655.2,648.0,650.43,888
2021-09-27T00:00:00+05:30,655.99,656.0,650.43,653.33,1806
2021-09-28T00:00:00+05:30,646.02,659.98,642.0,647.05,2912
2021-09-29T00:00:00+05:30,634.8,649.99,634.8,645.3,1591
2021-09-30T00:00:00+05:30,648.0,649.0,638.02,642.56,2044
2021-10-01T00:00:00+05:30,632.04,640.3,543.95,639.0,1987
2021-10-04T00:00:00+05:30,642.0,646.6,634.0,644.77,1133
2021-10-05T00:00:00+05:30,640.0,649.6,638.02,648.17,919
2021-10-06T00:00:00+05:30,642.02,653.98,642.02,644.15,999
2021-10-07T00:00:00+05:30,648.99,650.0,645.3,648.09,1262
2021-10-08T00:00:00+05:30,652.15,654.1,648.4,653.62,977
2021-10-11T00:00:00+05:30,657.99,657.99,648.28,653.79,1114
2021-10-12T00:00:00+05:30,645.02,656.99,645.02,653.23,1061
2021-10-13T00:00:00+05:30,654.0,659.0,654.0,658.1,717
2021-10-14T00:00:00+05:30,656.0,665.35,655.72,664.99,2608
2021-10-18T00:00:00+05:30,666.0,673.3,666.0,671.66,1056
2021-10-19T00:00:00+05:30,675.99,700.0,662.0,671.67,2896
2021-10-20T00:00:00+05:30,675.99,675.99,665.0,666.26,1007
2021-10-21T00:00:00+05:30,672.99,672.99,658.0,663.04,1550
2021-10-22T00:00:00+05:30,669.99,669.99,657.01,661.31,1057
2021-10-25T00:00:00+05:30,657.03,666.2,657.0,663.49,733
2021-10-26T00:00:00+05:30,646.01,667.9,646.01,667.2,2968
2021-10-27T00:00:00+05:30,668.2,669.99,665.0,666.27,418
2021-10-28T00:00:00+05:30,663.95,664.0,653.5,654.48,3362
2021-10-29T00:00:00+05:30,645.04,655.0,635.0,646.67,6525
2021-11-01T00:00:00+05:30,651.99,654.89,645.11,652.49,1778
2021-11-02T00:00:00+05:30,657.99,662.0,651.01,651.47,1351
2021-11-03T00:00:00+05:30,667.7,667.7,650.0,650.21,12672
2021-11-04T00:00:00+05:30,650.21,685.1,643.05,654.64,1249
2021-11-08T00:00:00+05:30,657.99,659.4,650.11,658.75,1740
2021-11-09T00:00:00+05:30,669.98,669.98,655.2,657.3,1150
2021-11-10T00:00:00+05:30,660.99,660.99,652.0,655.66,2287
2021-11-11T00:00:00+05:30,659.99,659.99,650.0,651.22,927
2021-11-12T00:00:00+05:30,652.0,658.0,652.0,657.51,189
2021-11-15T00:00:00+05:30,663.99,690.38,656.7,660.55,1797
2021-11-16T00:00:00+05:30,652.06,660.0,652.06,655.2,463
2021-11-17T00:00:00+05:30,657.99,657.99,645.05,654.09,645
2021-11-18T00:00:00+05:30,657.99,657.99,646.25,650.78,2263
2021-11-22T00:00:00+05:30,653.99,660.0,635.0,636.51,14483
2021-11-23T00:00:00+05:30,639.99,639.99,628.0,639.0,37669
2021-11-24T00:00:00+05:30,643.99,643.99,634.0,635.54,3700
2021-11-25T00:00:00+05:30,640.99,640.99,633.5,640.34,8570
2021-11-26T00:00:00+05:30,639.99,639.99,623.1,625.32,10943
2021-11-29T00:00:00+05:30,621.07,627.98,617.98,623.47,4311
2021-11-30T00:00:00+05:30,618.03,632.3,618.03,622.32,7196
2021-12-01T00:00:00+05:30,632.99,632.99,618.1,624.96,5088
2021-12-02T00:00:00+05:30,625.0,635.23,620.04,633.62,4907
2021-12-03T00:00:00+05:30,628.02,638.6,627.0,627.97,590
2021-12-06T00:00:00+05:30,631.99,670.0,618.1,619.03,10838
2021-12-07T00:00:00+05:30,624.99,629.49,618.75,627.17,1743
2021-12-08T00:00:00+05:30,634.99,638.29,628.0,635.51,2004
2021-12-09T00:00:00+05:30,639.99,639.99,633.1,636.12,2250
2021-12-10T00:00:00+05:30,644.97,644.97,634.11,637.4,752
2021-12-13T00:00:00+05:30,635.05,643.99,634.0,635.46,3643
2021-12-14T00:00:00+05:30,635.46,635.46,628.51,631.12,796
2021-12-15T00:00:00+05:30,625.02,634.99,625.02,628.53,4233
2021-12-16T00:00:00+05:30,634.99,634.99,627.49,628.82,3671
2021-12-17T00:00:00+05:30,629.0,632.0,620.0,621.43,2148
2021-12-20T00:00:00+05:30,623.99,623.99,604.2,609.96,18537
2021-12-21T00:00:00+05:30,616.99,618.0,610.05,613.12,7780
2021-12-22T00:00:00+05:30,618.99,619.3,608.02,619.3,4090
2021-12-23T00:00:00+05:30,624.99,624.99,612.02,623.15,2040
