datetime,open,high,low,close,volume
2025-08-01T00:00:00+05:30,227.43,238.23,226.98,229.26,23011186
2025-08-04T00:00:00+05:30,230.87,236.27,219.63,227.11,3652352
2025-08-05T00:00:00+05:30,228.63,231.17,224.06,225.48,1521986
2025-08-06T00:00:00+05:30,224.19,226.48,216.96,221.91,1422474
2025-08-07T00:00:00+05:30,222.38,233.77,219.14,225.74,1967563
2025-08-08T00:00:00+05:30,227.88,252.36,225.13,239.76,7963411
2025-08-11T00:00:00+05:30,240.87,255.25,240.86,245.67,4482005
2025-08-12T00:00:00+05:30,248.86,256.81,243.88,247.16,3883695
2025-08-13T00:00:00+05:30,248.9,249.89,240.87,244.82,1871462
2025-08-14T00:00:00+05:30,244.87,249.86,242.87,247.38,1142506
2025-08-18T00:00:00+05:30,250.86,258.29,245.27,250.83,2674110
2025-08-19T00:00:00+05:30,250.86,254.66,247.87,252.86,1132900
2025-08-20T00:00:00+05:30,253.76,259.0,244.89,247.05,3139698
2025-08-21T00:00:00+05:30,256.86,273.95,245.89,250.21,15975940
2025-08-22T00:00:00+05:30,251.86,253.86,245.08,246.09,1407392
2025-08-25T00:00:00+05:30,246.34,246.87,226.88,229.34,2086030
2025-08-26T00:00:00+05:30,229.34,234.64,225.49,228.54,1622884
2025-08-28T00:00:00+05:30,227.39,228.88,219.0,222.59,860317
2025-08-29T00:00:00+05:30,217.88,225.48,215.57,219.6,1336497
2025-09-01T00:00:00+05:30,219.6,225.87,219.38,224.72,787902
2025-09-02T00:00:00+05:30,227.88,233.77,224.13,231.57,1407629
2025-09-03T00:00:00+05:30,231.57,244.65,231.57,236.1,1631723
2025-09-04T00:00:00+05:30,237.87,240.33,231.02,232.97,509239
2025-09-05T00:00:00+05:30,230.87,234.15,227.08,230.4,523090
2025-09-08T00:00:00+05:30,231.67,234.27,228.02,231.73,325323
2025-09-09T00:00:00+05:30,231.87,231.87,224.38,225.36,389034
2025-09-10T00:00:00+05:30,226.48,229.2,222.46,225.76,566985
2025-09-11T00:00:00+05:30,226.68,227.89,222.88,224.44,381861
