datetime,open,high,low,close,volume
2022-01-31T00:00:00+05:30,66.6,66.6,63.01,63.28,383344
2022-02-01T00:00:00+05:30,67.0,67.0,62.91,63.39,373973
2022-02-02T00:00:00+05:30,63.4,63.95,63.32,63.79,240802
2022-02-03T00:00:00+05:30,63.75,63.99,63.25,63.49,456153
2022-02-04T00:00:00+05:30,63.89,66.4,63.2,63.24,482710
2022-02-07T00:00:00+05:30,63.24,64.39,63.24,63.81,524705
2022-02-08T00:00:00+05:30,64.19,64.19,63.81,64.02,884618
2022-02-09T00:00:00+05:30,64.16,65.0,64.16,64.87,355003
2022-02-10T00:00:00+05:30,65.49,65.49,64.71,65.05,498396
2022-02-11T00:00:00+05:30,65.25,65.39,64.21,64.63,381274
2022-02-14T00:00:00+05:30,66.29,66.75,65.0,66.49,656953
2022-02-15T00:00:00+05:30,67.29,67.29,65.3,65.57,520031
2022-02-16T00:00:00+05:30,65.69,65.99,65.05,65.67,675847
2022-02-17T00:00:00+05:30,65.58,66.8,65.52,66.32,609545
2022-02-18T00:00:00+05:30,66.85,66.98,66.0,66.15,598061
2022-02-21T00:00:00+05:30,65.35,66.98,65.35,65.7,269977
2022-02-22T00:00:00+05:30,66.01,67.0,66.01,66.61,617451
2022-02-23T00:00:00+05:30,66.61,68.0,66.15,66.34,415958
2022-02-24T00:00:00+05:30,66.34,69.95,66.34,69.3,1155073
2022-02-25T00:00:00+05:30,69.0,70.96,66.96,67.15,610123
2022-02-28T00:00:00+05:30,67.67,68.4,66.5,67.42,603709
2022-03-02T00:00:00+05:30,70.39,70.39,68.4,69.39,708015
2022-03-03T00:00:00+05:30,69.39,70.0,69.06,69.57,588237
2022-03-04T00:00:00+05:30,70.27,70.9,69.52,69.92,459216
2022-03-07T00:00:00+05:30,70.8,73.15,70.8,72.65,1544184
2022-03-08T00:00:00+05:30,72.65,74.4,71.3,72.95,560926
2022-03-09T00:00:00+05:30,73.61,79.5,72.5,73.1,2062133
2022-03-10T00:00:00+05:30,73.09,73.09,69.6,71.01,712387
2022-03-11T00:00:00+05:30,72.1,72.3,71.2,71.67,190981
2022-03-14T00:00:00+05:30,72.39,72.39,70.65,71.02,337711
2022-03-15T00:00:00+05:30,71.13,71.13,69.2,69.47,418957
2022-03-16T00:00:00+05:30,70.9,70.9,69.13,69.39,517709
2022-03-17T00:00:00+05:30,69.39,70.6,69.39,69.95,275219
2022-03-21T00:00:00+05:30,69.99,70.38,68.0,69.69,284606
2022-03-22T00:00:00+05:30,70.69,70.69,69.0,69.62,357366
2022-03-23T00:00:00+05:30,69.88,69.88,68.93,69.6,167431
2022-03-24T00:00:00+05:30,69.6,70.19,69.1,69.75,228802
2022-03-25T00:00:00+05:30,70.2,71.17,70.11,70.91,127439
