datetime,open,high,low,close,volume
2023-01-06T00:00:00+05:30,25.0,26.88,22.16,22.49,504720
2023-01-09T00:00:00+05:30,23.54,23.75,22.28,22.74,899950
2023-01-10T00:00:00+05:30,23.08,27.29,22.97,27.29,4128970
2023-01-11T00:00:00+05:30,29.0,31.2,28.3,30.64,17789860
2023-01-12T00:00:00+05:30,30.2,31.48,29.26,31.28,7899000
2023-01-13T00:00:00+05:30,31.2,31.48,30.5,30.9,4175300
2023-01-16T00:00:00+05:30,30.99,32.4,28.01,28.81,3685620
2023-01-17T00:00:00+05:30,28.6,28.6,27.01,27.34,566710
2023-01-18T00:00:00+05:30,27.37,27.37,25.55,25.56,2127350
2023-01-19T00:00:00+05:30,25.31,28.12,25.31,27.18,2612370
2023-01-20T00:00:00+05:30,27.75,27.75,25.3,25.36,509900
2023-01-23T00:00:00+05:30,25.9,27.9,25.26,27.5,2758220
2023-01-24T00:00:00+05:30,27.69,27.96,26.2,27.35,633950
2023-01-25T00:00:00+05:30,27.75,27.77,26.22,26.48,246020
2023-01-27T00:00:00+05:30,26.87,27.19,25.35,26.74,368710
2023-01-30T00:00:00+05:30,27.25,27.81,26.21,26.77,293350
2023-01-31T00:00:00+05:30,26.42,27.8,26.42,27.25,185870
2023-02-01T00:00:00+05:30,26.84,27.8,26.41,27.29,242890
2023-02-02T00:00:00+05:30,27.6,27.79,26.73,27.01,478410
2023-02-03T00:00:00+05:30,27.21,29.64,26.81,28.31,749360
2023-02-06T00:00:00+05:30,28.91,30.4,28.91,30.17,480050
2023-02-07T00:00:00+05:30,30.6,31.95,29.13,29.89,1329140
2023-02-08T00:00:00+05:30,30.19,31.58,29.71,31.11,381140
2023-02-09T00:00:00+05:30,31.11,34.0,30.56,33.69,1218170
2023-02-10T00:00:00+05:30,34.37,34.8,30.01,30.2,1091930
2023-02-13T00:00:00+05:30,30.59,32.77,30.01,32.1,859100
2023-02-14T00:00:00+05:30,32.23,32.27,30.13,30.75,344870
2023-02-15T00:00:00+05:30,30.76,31.49,30.0,30.03,660400
2023-02-16T00:00:00+05:30,30.33,30.54,30.01,30.01,662740
2023-02-17T00:00:00+05:30,30.0,31.87,30.0,30.79,627740
2023-02-20T00:00:00+05:30,30.89,31.11,30.11,30.18,150130
2023-02-21T00:00:00+05:30,30.48,30.87,30.3,30.78,275260
2023-02-22T00:00:00+05:30,30.9,30.9,28.8,29.1,374720
2023-02-23T00:00:00+05:30,29.24,29.24,28.8,28.92,276800
2023-02-24T00:00:00+05:30,29.0,34.6,28.99,34.42,4749310
2023-02-27T00:00:00+05:30,34.1,35.5,33.2,33.82,2472980
2023-02-28T00:00:00+05:30,33.8,34.33,32.22,32.76,470850
2023-03-01T00:00:00+05:30,32.27,33.69,32.17,32.92,639950
2023-03-02T00:00:00+05:30,32.83,33.26,31.73,32.0,229050
2023-03-03T00:00:00+05:30,32.35,32.68,31.02,31.22,429530
2023-03-06T00:00:00+05:30,31.6,34.02,31.01,31.21,1151660
2023-03-08T00:00:00+05:30,31.99,31.99,31.05,31.54,174930
2023-03-09T00:00:00+05:30,32.98,32.98,30.75,31.01,180190
2023-03-10T00:00:00+05:30,31.5,31.5,30.55,30.85,118540
2023-03-13T00:00:00+05:30,31.0,32.06,27.53,28.1,802640
2023-03-14T00:00:00+05:30,28.52,28.52,26.55,27.56,503980
2023-03-15T00:00:00+05:30,27.98,28.5,26.5,26.87,239290
2023-03-16T00:00:00+05:30,27.28,27.45,25.6,25.98,352410
2023-03-17T00:00:00+05:30,26.37,27.14,26.01,26.44,196230
2023-03-20T00:00:00+05:30,26.29,27.25,25.78,26.81,383230
2023-03-21T00:00:00+05:30,26.71,27.17,26.42,26.49,294190
2023-03-22T00:00:00+05:30,26.65,27.82,26.65,27.1,483140
2023-03-23T00:00:00+05:30,26.82,26.97,26.13,26.42,55500
2023-03-24T00:00:00+05:30,26.85,27.2,24.8,25.18,295710
2023-03-27T00:00:00+05:30,25.1,25.43,20.64,24.19,213690
2023-03-28T00:00:00+05:30,23.83,29.03,22.61,28.91,4178670
2023-03-29T00:00:00+05:30,29.49,29.9,27.16,28.11,3036620
2023-03-31T00:00:00+05:30,28.11,28.35,27.1,27.29,166000
2023-04-03T00:00:00+05:30,28.29,28.65,27.13,27.54,268200
2023-04-05T00:00:00+05:30,28.2,29.25,27.09,28.42,658170
2023-04-06T00:00:00+05:30,28.42,34.0,28.42,31.36,6510270
2023-04-10T00:00:00+05:30,31.23,35.48,31.06,34.67,6662700
2023-04-11T00:00:00+05:30,35.0,36.9,33.1,33.8,4547700
2023-04-12T00:00:00+05:30,33.8,34.18,32.6,33.64,1365520
2023-04-13T00:00:00+05:30,33.8,34.0,33.0,33.27,548250
2023-04-17T00:00:00+05:30,33.2,33.98,32.75,33.37,278250
2023-04-18T00:00:00+05:30,33.53,36.99,33.53,34.29,2337710
2023-04-19T00:00:00+05:30,34.68,35.64,34.02,34.29,472790
2023-04-20T00:00:00+05:30,34.5,35.0,34.04,34.28,380850
2023-04-21T00:00:00+05:30,34.0,34.42,32.91,32.99,884040
2023-04-24T00:00:00+05:30,33.01,34.5,31.81,32.7,779260
