datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,9.11,9.2,8.42,8.74,21110340
2021-03-10T00:00:00+05:30,8.83,9.01,8.65,8.78,22058522
2021-03-12T00:00:00+05:30,8.78,8.97,8.6,8.69,19514643
2021-03-15T00:00:00+05:30,8.74,8.74,8.42,8.55,17783178
2021-03-16T00:00:00+05:30,8.6,8.69,8.46,8.51,11012054
2021-03-17T00:00:00+05:30,8.51,8.55,8.28,8.32,15874915
2021-03-18T00:00:00+05:30,8.37,8.46,8.14,8.14,12889530
2021-03-19T00:00:00+05:30,8.14,8.32,7.91,8.23,17814781
2021-03-22T00:00:00+05:30,8.23,8.37,8.05,8.09,13101301
2021-03-23T00:00:00+05:30,8.14,8.32,8.09,8.19,13436164
2021-03-24T00:00:00+05:30,8.19,8.28,8.0,8.05,13926462
2021-03-25T00:00:00+05:30,8.14,8.19,7.63,7.77,18536209
2021-03-26T00:00:00+05:30,7.91,7.96,7.63,7.73,13835566
2021-03-30T00:00:00+05:30,7.82,7.82,7.5,7.54,17673213
2021-03-31T00:00:00+05:30,7.54,7.82,7.45,7.59,14817178
2021-04-01T00:00:00+05:30,7.68,8.05,7.63,8.0,13540198
2021-04-05T00:00:00+05:30,7.96,8.0,7.68,7.73,10439525
2021-04-06T00:00:00+05:30,7.73,7.91,7.73,7.77,6646840
2021-04-07T00:00:00+05:30,7.82,8.0,7.77,7.77,10283401
2021-04-08T00:00:00+05:30,7.77,7.91,7.77,7.82,8413515
2021-04-09T00:00:00+05:30,7.82,8.09,7.77,7.96,14064353
2021-04-12T00:00:00+05:30,7.82,7.82,7.36,7.45,21568185
2021-04-13T00:00:00+05:30,7.5,7.68,7.31,7.36,28297052
2021-04-15T00:00:00+05:30,7.36,7.45,7.17,7.31,12205207
2021-04-16T00:00:00+05:30,7.36,7.45,7.31,7.31,10216135
2021-04-19T00:00:00+05:30,7.17,7.17,6.94,7.08,10902862
2021-04-20T00:00:00+05:30,7.13,7.31,7.08,7.13,9233612
2021-04-22T00:00:00+05:30,7.13,7.36,6.99,7.27,12601983
2021-04-23T00:00:00+05:30,7.22,7.27,7.13,7.17,7322723
2021-04-26T00:00:00+05:30,7.27,7.36,7.22,7.27,6034486
2021-04-27T00:00:00+05:30,7.31,7.4,7.27,7.36,5916528
2021-04-28T00:00:00+05:30,7.4,7.59,7.36,7.45,10415737
2021-04-29T00:00:00+05:30,7.45,7.54,7.31,7.36,8877228
2021-04-30T00:00:00+05:30,7.31,7.45,7.27,7.31,6822316
