datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,40.5,41.65,36.4,38.75,36206421
2021-03-10T00:00:00+05:30,39.25,41.05,37.65,39.5,16205529
2021-03-12T00:00:00+05:30,40.0,40.25,37.55,38.0,8257726
2021-03-15T00:00:00+05:30,38.35,38.35,35.55,37.05,8869236
2021-03-16T00:00:00+05:30,37.4,38.8,36.85,37.9,7153742
2021-03-17T00:00:00+05:30,38.0,39.6,36.75,37.3,12350827
2021-03-18T00:00:00+05:30,38.2,38.45,34.2,35.7,8076521
2021-03-19T00:00:00+05:30,35.3,36.6,33.6,36.2,7462757
2021-03-22T00:00:00+05:30,36.25,38.1,35.75,37.2,5239353
2021-03-23T00:00:00+05:30,37.5,38.75,37.2,37.45,4226466
2021-03-24T00:00:00+05:30,37.2,37.4,35.1,35.45,5840966
2021-03-25T00:00:00+05:30,35.5,35.7,33.35,34.1,7245522
2021-03-26T00:00:00+05:30,34.8,35.35,33.7,34.3,4823503
2021-03-30T00:00:00+05:30,34.9,37.25,34.9,35.95,7423548
2021-03-31T00:00:00+05:30,36.1,36.7,35.3,35.45,3057497
2021-04-01T00:00:00+05:30,35.85,37.7,35.8,37.05,6872546
2021-04-05T00:00:00+05:30,36.95,37.15,35.0,36.05,5127021
2021-04-06T00:00:00+05:30,36.3,37.0,35.7,36.2,3254585
2021-04-07T00:00:00+05:30,36.25,38.05,36.05,37.3,7265813
2021-04-08T00:00:00+05:30,37.8,39.65,37.8,38.45,11479163
2021-04-09T00:00:00+05:30,38.6,46.1,38.2,45.15,47788952
2021-04-12T00:00:00+05:30,44.0,44.7,40.1,43.5,36622960
2021-04-13T00:00:00+05:30,44.0,49.75,43.95,46.9,41159769
2021-04-15T00:00:00+05:30,47.1,48.8,45.8,46.95,17066171
2021-04-16T00:00:00+05:30,47.3,47.8,45.15,45.35,7550104
2021-04-19T00:00:00+05:30,43.0,53.9,42.25,52.6,40304082
2021-04-20T00:00:00+05:30,53.6,61.3,53.2,57.75,60054117
2021-04-22T00:00:00+05:30,58.9,62.1,54.0,55.15,42889184
2021-04-23T00:00:00+05:30,54.35,55.75,52.0,52.15,15816754
2021-04-26T00:00:00+05:30,53.0,56.5,51.4,55.15,19283153
2021-04-27T00:00:00+05:30,55.85,56.9,53.7,54.5,11005443
2021-04-28T00:00:00+05:30,54.95,55.45,52.7,52.9,10298395
2021-04-29T00:00:00+05:30,52.7,54.5,52.1,52.35,10390774
2021-04-30T00:00:00+05:30,51.9,56.1,51.6,52.8,18266166
2021-05-03T00:00:00+05:30,52.6,54.4,52.5,53.3,9396394
2021-05-04T00:00:00+05:30,54.0,54.3,50.2,50.75,12606125
2021-05-05T00:00:00+05:30,51.0,54.25,50.6,53.65,14803467
2021-05-06T00:00:00+05:30,54.15,61.8,52.15,60.3,63112698
2021-05-07T00:00:00+05:30,61.25,64.8,60.5,62.55,38127756
2021-05-10T00:00:00+05:30,63.2,63.8,59.35,60.8,15067337
2021-05-11T00:00:00+05:30,59.5,66.8,59.1,64.75,26258615
2021-05-12T00:00:00+05:30,65.5,67.4,63.0,63.95,18007865
2021-05-14T00:00:00+05:30,64.85,65.4,61.1,62.8,10854372
