datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,13.06,13.67,13.05,13.38,8575385
2021-03-10T00:00:00+05:30,13.51,15.12,13.49,14.3,30558630
2021-03-12T00:00:00+05:30,14.3,14.74,13.84,14.03,10091655
2021-03-15T00:00:00+05:30,14.04,14.14,13.25,13.59,5764275
2021-03-16T00:00:00+05:30,13.59,13.86,13.01,13.12,3623430
2021-03-17T00:00:00+05:30,13.03,13.13,11.2,12.25,3868655
2021-03-18T00:00:00+05:30,12.37,12.94,12.04,12.66,5894705
2021-03-19T00:00:00+05:30,12.59,12.88,12.07,12.66,4989770
2021-03-22T00:00:00+05:30,12.45,13.1,12.42,12.64,3591430
2021-03-23T00:00:00+05:30,12.76,13.07,12.44,12.82,3756920
2021-03-24T00:00:00+05:30,12.62,13.3,12.4,12.82,1810905
2021-03-25T00:00:00+05:30,12.61,12.8,12.05,12.15,1756245
2021-03-26T00:00:00+05:30,12.49,12.54,12.19,12.34,934600
2021-03-30T00:00:00+05:30,12.23,12.4,11.79,12.02,1117085
2021-03-31T00:00:00+05:30,12.11,12.48,11.93,12.46,1428145
2021-04-01T00:00:00+05:30,12.39,12.74,12.34,12.55,1125140
2021-04-05T00:00:00+05:30,12.4,12.4,11.71,12.03,1177520
2021-04-06T00:00:00+05:30,12.16,12.3,11.89,11.93,899390
2021-04-07T00:00:00+05:30,11.93,12.35,11.86,12.16,981090
2021-04-08T00:00:00+05:30,12.23,12.27,11.85,11.92,575580
2021-04-09T00:00:00+05:30,11.91,12.1,11.81,11.9,642410
2021-04-12T00:00:00+05:30,11.79,11.79,10.75,10.83,1275980
2021-04-13T00:00:00+05:30,11.14,11.39,10.86,11.24,571380
2021-04-15T00:00:00+05:30,11.3,11.48,11.08,11.24,964445
2021-04-16T00:00:00+05:30,11.4,11.5,11.01,11.16,663795
2021-04-19T00:00:00+05:30,10.51,11.39,10.32,11.28,1674660
2021-04-20T00:00:00+05:30,11.42,12.08,11.2,11.44,2272640
2021-04-22T00:00:00+05:30,11.24,11.67,11.1,11.6,670920
2021-04-23T00:00:00+05:30,11.6,12.36,11.44,11.74,2324260
2021-04-26T00:00:00+05:30,11.9,11.92,11.4,11.62,646690
2021-04-27T00:00:00+05:30,11.59,11.62,11.44,11.52,314400
2021-04-28T00:00:00+05:30,11.52,12.01,11.06,11.44,905190
2021-04-29T00:00:00+05:30,11.43,11.87,11.1,11.2,545210
2021-04-30T00:00:00+05:30,11.2,11.51,11.18,11.32,461910
2021-05-03T00:00:00+05:30,11.44,11.44,11.02,11.09,456475
2021-05-04T00:00:00+05:30,11.38,11.7,11.17,11.32,1366490
2021-05-05T00:00:00+05:30,11.32,11.6,11.13,11.3,853340
2021-05-06T00:00:00+05:30,11.39,11.44,11.22,11.31,432020
2021-05-07T00:00:00+05:30,11.39,11.4,11.22,11.26,364395
