datetime,open,high,low,close,volume
2022-04-08T00:00:00+05:30,63.8,66.99,61.45,66.35,19331
2022-04-11T00:00:00+05:30,77.0,77.0,66.21,66.93,71118
2022-04-12T00:00:00+05:30,67.0,67.5,65.0,65.13,25550
2022-04-13T00:00:00+05:30,68.9,72.0,65.01,65.47,14856
2022-04-18T00:00:00+05:30,66.27,66.27,63.05,63.84,21722
2022-04-19T00:00:00+05:30,64.88,65.5,62.85,63.23,28526
2022-04-20T00:00:00+05:30,63.8,64.75,63.0,63.5,8215
2022-04-21T00:00:00+05:30,66.0,66.0,63.11,63.88,9963
2022-04-22T00:00:00+05:30,61.2,64.0,61.2,63.59,5780
2022-04-25T00:00:00+05:30,64.0,64.0,61.75,62.03,12484
2022-04-26T00:00:00+05:30,62.0,63.48,62.0,62.2,7817
2022-04-27T00:00:00+05:30,62.6,62.89,61.25,61.65,14127
2022-04-28T00:00:00+05:30,61.84,62.6,61.2,62.32,6455
2022-04-29T00:00:00+05:30,66.0,66.0,61.2,61.39,9150
2022-05-02T00:00:00+05:30,62.0,62.0,60.11,60.99,7048
2022-05-04T00:00:00+05:30,62.48,62.48,59.0,59.58,12789
2022-05-05T00:00:00+05:30,60.5,60.5,59.2,59.41,8560
2022-05-06T00:00:00+05:30,58.5,58.7,57.47,58.17,18885
2022-05-09T00:00:00+05:30,58.24,58.24,56.71,57.65,8106
2022-05-10T00:00:00+05:30,59.9,59.9,56.4,56.54,6331
2022-05-11T00:00:00+05:30,56.8,56.99,55.11,55.87,9549
2022-05-12T00:00:00+05:30,55.11,55.4,54.25,54.61,8682
2022-05-13T00:00:00+05:30,56.0,56.0,54.5,54.97,8713
2022-05-16T00:00:00+05:30,53.9,55.98,53.9,55.07,6841
2022-05-17T00:00:00+05:30,56.0,56.9,54.8,56.56,9985
2022-05-18T00:00:00+05:30,57.69,57.69,55.71,55.83,4650
2022-05-19T00:00:00+05:30,56.5,57.0,53.2,56.69,6373
2022-05-20T00:00:00+05:30,57.85,57.85,54.11,55.03,14236
2022-05-23T00:00:00+05:30,52.25,56.78,52.25,55.2,8768
2022-05-24T00:00:00+05:30,55.85,55.85,54.5,54.58,3474
2022-05-25T00:00:00+05:30,55.49,55.49,53.0,53.55,6294
2022-05-26T00:00:00+05:30,53.0,54.0,52.7,53.46,5157
2022-05-27T00:00:00+05:30,54.98,55.24,53.8,54.64,2298
2022-05-30T00:00:00+05:30,56.0,57.1,55.0,56.98,6669
2022-05-31T00:00:00+05:30,58.15,58.15,56.25,57.26,3097
2022-06-01T00:00:00+05:30,58.49,58.49,56.4,57.15,3085
2022-06-02T00:00:00+05:30,57.01,57.5,56.2,56.8,2214
2022-06-03T00:00:00+05:30,57.0,58.3,56.71,56.89,6687
2022-06-06T00:00:00+05:30,56.89,57.0,55.15,56.49,4219
2022-06-07T00:00:00+05:30,56.19,56.19,55.04,55.58,2781
2022-06-08T00:00:00+05:30,55.59,56.0,55.01,55.43,1867
2022-06-09T00:00:00+05:30,56.98,56.98,54.52,55.54,1891
2022-06-10T00:00:00+05:30,55.6,55.7,55.0,55.64,2612
2022-06-13T00:00:00+05:30,54.5,56.0,53.15,53.96,3370
2022-06-14T00:00:00+05:30,54.9,54.9,53.49,54.13,5410
2022-06-15T00:00:00+05:30,54.7,54.7,53.5,53.81,2898
2022-06-16T00:00:00+05:30,55.0,55.0,52.5,53.18,7646
2022-06-17T00:00:00+05:30,51.3,52.9,51.0,52.23,17347
2022-06-20T00:00:00+05:30,53.3,53.3,51.21,51.68,3750
2022-06-21T00:00:00+05:30,52.3,53.2,51.72,52.65,3363
2022-06-22T00:00:00+05:30,52.65,53.2,52.0,52.54,1966
2022-06-23T00:00:00+05:30,53.78,53.78,52.17,53.45,803
2022-06-24T00:00:00+05:30,54.25,54.25,53.15,53.53,2855
2022-06-27T00:00:00+05:30,55.0,55.0,54.0,54.79,3571
2022-06-28T00:00:00+05:30,54.9,54.9,53.5,54.75,1436
2022-06-29T00:00:00+05:30,54.2,54.5,53.0,53.76,1738
2022-06-30T00:00:00+05:30,54.2,54.2,52.61,53.16,1850
2022-07-01T00:00:00+05:30,53.98,53.98,51.08,52.87,2955
2022-07-04T00:00:00+05:30,52.87,54.45,51.35,53.65,2188
2022-07-05T00:00:00+05:30,53.5,55.1,52.5,53.33,4824
2022-07-06T00:00:00+05:30,53.33,54.2,52.5,53.9,1979
2022-07-07T00:00:00+05:30,53.8,54.2,52.55,53.59,8022
2022-07-08T00:00:00+05:30,54.5,54.5,53.1,53.63,3565
2022-07-11T00:00:00+05:30,53.63,53.63,52.4,52.92,7293
2022-07-12T00:00:00+05:30,53.0,53.19,52.2,52.65,4514
2022-07-13T00:00:00+05:30,52.65,53.5,52.2,52.54,4273
