datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,562.45,580.0,559.0,566.95,3254
2021-03-10T00:00:00+05:30,578.55,578.55,564.1,565.55,879
2021-03-12T00:00:00+05:30,567.05,570.65,555.55,559.85,856
2021-03-15T00:00:00+05:30,565.4,565.4,544.4,549.45,1928
2021-03-16T00:00:00+05:30,558.25,558.25,543.25,549.9,1804
2021-03-17T00:00:00+05:30,554.9,554.9,545.4,548.95,728
2021-03-18T00:00:00+05:30,549.9,554.95,494.9,503.15,8255
2021-03-19T00:00:00+05:30,505.0,522.85,490.0,517.75,5277
2021-03-22T00:00:00+05:30,521.75,535.45,513.1,528.85,5443
2021-03-23T00:00:00+05:30,541.0,541.0,524.05,527.8,1522
2021-03-24T00:00:00+05:30,531.85,538.95,510.0,514.5,4361
2021-03-25T00:00:00+05:30,510.0,512.1,457.9,464.3,30306
2021-03-26T00:00:00+05:30,466.0,507.95,466.0,485.95,7059
2021-03-30T00:00:00+05:30,489.0,505.0,488.5,497.0,2420
2021-03-31T00:00:00+05:30,494.95,500.0,478.0,491.4,1996
2021-04-01T00:00:00+05:30,503.95,503.95,490.1,494.0,1388
2021-04-05T00:00:00+05:30,497.5,500.0,484.95,497.35,3120
2021-04-06T00:00:00+05:30,495.1,501.0,490.1,495.35,972
2021-04-07T00:00:00+05:30,502.0,506.85,496.0,503.55,1450
2021-04-08T00:00:00+05:30,505.0,514.0,501.0,503.5,2266
2021-04-09T00:00:00+05:30,510.5,525.0,505.0,517.5,3079
2021-04-12T00:00:00+05:30,517.0,517.0,499.15,500.6,2373
2021-04-13T00:00:00+05:30,507.15,510.35,494.2,498.25,967
2021-04-15T00:00:00+05:30,498.0,509.3,489.35,500.05,1732
2021-04-16T00:00:00+05:30,502.95,505.2,496.75,502.4,858
2021-04-19T00:00:00+05:30,481.25,503.0,481.25,499.85,2555
2021-04-20T00:00:00+05:30,500.05,516.95,499.85,513.0,2762
2021-04-22T00:00:00+05:30,512.0,615.6,512.0,615.6,68241
2021-04-23T00:00:00+05:30,649.0,733.9,648.95,694.65,401563
2021-04-26T00:00:00+05:30,702.9,708.8,660.0,680.6,71147
2021-04-27T00:00:00+05:30,672.0,699.0,652.95,658.8,29560
2021-04-28T00:00:00+05:30,661.1,675.0,634.0,639.4,17285
2021-04-29T00:00:00+05:30,635.0,661.45,618.0,625.0,14371
2021-04-30T00:00:00+05:30,625.0,639.0,610.05,614.8,9944
2021-05-03T00:00:00+05:30,615.0,623.95,595.0,605.65,16768
2021-05-04T00:00:00+05:30,610.0,618.0,561.95,576.65,27053
2021-05-05T00:00:00+05:30,585.0,600.0,577.65,593.35,17771
2021-05-06T00:00:00+05:30,607.9,613.75,585.3,590.85,9114
2021-05-07T00:00:00+05:30,607.95,612.7,591.1,597.55,11598
2021-05-10T00:00:00+05:30,597.55,609.0,590.0,592.45,9858
2021-05-11T00:00:00+05:30,597.0,620.4,582.05,589.45,15651
2021-05-12T00:00:00+05:30,597.85,599.15,580.0,583.75,9732
2021-05-14T00:00:00+05:30,583.05,594.0,580.15,581.65,6977
2021-05-17T00:00:00+05:30,588.65,589.0,564.0,571.1,11236
2021-05-18T00:00:00+05:30,583.4,588.0,571.0,577.05,6900
2021-05-19T00:00:00+05:30,576.0,595.0,576.0,583.3,11407
2021-05-20T00:00:00+05:30,583.6,594.95,583.0,587.15,9374
2021-05-21T00:00:00+05:30,590.0,597.9,585.1,595.55,7746
2021-05-24T00:00:00+05:30,604.0,620.0,599.1,616.4,22044
2021-05-25T00:00:00+05:30,625.0,639.9,602.25,610.55,16983
2021-05-26T00:00:00+05:30,619.0,620.0,595.0,605.65,17531
2021-05-27T00:00:00+05:30,615.2,710.0,607.3,644.95,374419
2021-05-28T00:00:00+05:30,652.9,652.9,618.0,626.0,45469
2021-05-31T00:00:00+05:30,625.3,734.95,601.6,718.35,460804
2021-06-01T00:00:00+05:30,716.2,725.0,680.05,684.35,104557
2021-06-02T00:00:00+05:30,684.45,692.9,665.0,669.35,45938
2021-06-03T00:00:00+05:30,676.0,698.1,665.0,681.45,47946
2021-06-04T00:00:00+05:30,681.45,691.0,668.0,671.7,29465
2021-06-07T00:00:00+05:30,677.6,677.6,667.0,670.7,23123
2021-06-08T00:00:00+05:30,671.6,676.35,664.0,668.55,14213
2021-06-09T00:00:00+05:30,670.0,677.3,646.7,667.7,32398
2021-06-10T00:00:00+05:30,676.0,683.45,658.85,663.95,22825
2021-06-11T00:00:00+05:30,673.7,673.7,651.4,658.9,12972
2021-06-14T00:00:00+05:30,660.0,660.0,635.4,642.65,19910
2021-06-15T00:00:00+05:30,647.85,655.0,638.5,642.15,43758
2021-06-16T00:00:00+05:30,642.15,649.7,634.0,638.15,17056
2021-06-17T00:00:00+05:30,642.95,642.95,624.05,626.0,20591
2021-06-18T00:00:00+05:30,624.0,635.0,611.15,621.2,13529
