datetime,open,high,low,close,volume
2026-01-02T00:00:00+05:30,134.24,134.24,130.43,131.55,115512
2026-01-05T00:00:00+05:30,134.83,137.33,132.51,137.33,166074
2026-01-06T00:00:00+05:30,139.5,139.5,137.0,137.0,2619
2026-01-07T00:00:00+05:30,137.52,139.99,134.0,136.99,12663
2026-01-08T00:00:00+05:30,134.34,136.81,134.34,135.97,1529
2026-01-09T00:00:00+05:30,135.24,140.0,133.57,137.5,28042
2026-01-12T00:00:00+05:30,139.8,141.0,139.6,141.0,22141
2026-01-13T00:00:00+05:30,139.75,141.2,139.75,140.77,8947
2026-01-14T00:00:00+05:30,141.8,143.0,141.8,142.97,11321
2026-01-16T00:00:00+05:30,140.11,147.0,140.11,142.2,11486
2026-01-19T00:00:00+05:30,142.46,145.39,142.1,144.45,9799
2026-01-20T00:00:00+05:30,143.72,164.0,143.59,150.87,8214
2026-01-21T00:00:00+05:30,157.7,163.99,153.1,157.03,29153
2026-01-22T00:00:00+05:30,156.5,156.5,130.7,150.44,10076
2026-01-23T00:00:00+05:30,150.44,156.0,148.3,150.79,23682
2026-01-27T00:00:00+05:30,158.0,158.0,152.0,156.89,27502
2026-01-28T00:00:00+05:30,160.06,163.0,157.55,159.99,20540
2026-01-29T00:00:00+05:30,163.11,187.98,159.99,174.4,58815
2026-01-30T00:00:00+05:30,169.97,174.0,152.0,160.59,412752
2026-02-01T00:00:00+05:30,154.5,155.0,137.12,149.04,5885
2026-02-02T00:00:00+05:30,148.89,158.0,133.6,146.12,23763
2026-02-03T00:00:00+05:30,146.99,153.7,144.01,146.71,64263
2026-02-04T00:00:00+05:30,155.51,158.89,149.41,156.24,34985
2026-02-05T00:00:00+05:30,155.0,155.0,147.87,151.05,113580
2026-02-06T00:00:00+05:30,151.05,159.0,147.32,153.52,204902
2026-02-09T00:00:00+05:30,155.12,159.35,152.71,153.98,304388
2026-02-10T00:00:00+05:30,155.85,158.0,152.78,153.97,21231
2026-02-11T00:00:00+05:30,152.95,155.73,152.3,153.92,5042
2026-02-12T00:00:00+05:30,156.99,156.99,153.0,154.05,4681
2026-02-13T00:00:00+05:30,153.49,155.0,149.02,152.02,42365
2026-02-16T00:00:00+05:30,152.79,153.2,151.38,151.74,2398
2026-02-17T00:00:00+05:30,150.29,152.0,147.8,150.03,6943
2026-02-18T00:00:00+05:30,151.88,151.88,150.0,150.45,6786
2026-02-19T00:00:00+05:30,153.07,154.01,152.2,153.01,1316
2026-02-20T00:00:00+05:30,154.01,154.01,151.35,153.21,2531
2026-02-23T00:00:00+05:30,156.37,156.97,155.0,156.08,20795
2026-02-24T00:00:00+05:30,156.87,158.03,156.23,156.78,5575
2026-02-25T00:00:00+05:30,159.93,159.93,156.38,157.57,2008
2026-02-26T00:00:00+05:30,157.57,160.55,154.42,156.73,2624
2026-02-27T00:00:00+05:30,159.75,159.75,155.93,157.32,3994
2026-03-02T00:00:00+05:30,163.24,169.0,162.35,168.44,17086
2026-03-04T00:00:00+05:30,164.8,167.0,159.0,161.76,14108
2026-03-05T00:00:00+05:30,164.79,164.79,157.15,160.02,10367
2026-03-06T00:00:00+05:30,160.83,160.83,156.29,157.06,19574
2026-03-09T00:00:00+05:30,160.0,160.0,154.35,157.26,6051
2026-03-10T00:00:00+05:30,158.19,158.97,157.5,157.97,1504
2026-03-11T00:00:00+05:30,159.0,159.67,157.65,158.17,11361
2026-03-12T00:00:00+05:30,158.17,158.9,154.35,158.71,4246
2026-03-13T00:00:00+05:30,159.5,161.7,155.74,156.91,10335
2026-03-16T00:00:00+05:30,156.5,156.5,151.98,152.12,7633
2026-03-17T00:00:00+05:30,155.16,155.16,153.15,153.31,1792
2026-03-18T00:00:00+05:30,154.07,154.9,152.75,153.01,3681
2026-03-19T00:00:00+05:30,149.26,151.9,145.3,145.71,12016
2026-03-20T00:00:00+05:30,148.62,148.62,144.54,145.71,1619
2026-03-23T00:00:00+05:30,142.8,142.8,123.31,134.72,19040
2026-03-24T00:00:00+05:30,136.91,139.63,136.04,138.95,4355
2026-03-25T00:00:00+05:30,144.43,144.99,142.79,142.82,5024
2026-03-27T00:00:00+05:30,143.53,143.53,140.33,141.74,1462
2026-03-30T00:00:00+05:30,141.74,145.77,140.35,145.0,10798
2026-04-01T00:00:00+05:30,147.99,148.5,146.7,147.62,13224
2026-04-02T00:00:00+05:30,147.78,147.78,143.3,145.4,4296
2026-04-06T00:00:00+05:30,148.31,148.31,141.6,147.98,6951
2026-04-07T00:00:00+05:30,150.96,150.96,145.45,146.48,3079
2026-04-08T00:00:00+05:30,149.41,151.0,149.41,149.94,3954
2026-04-09T00:00:00+05:30,149.19,151.0,146.9,148.5,768
2026-04-10T00:00:00+05:30,150.95,178.0,147.0,148.59,3657
2026-04-13T00:00:00+05:30,148.5,153.0,145.35,150.38,459
2026-04-15T00:00:00+05:30,153.0,153.0,150.11,150.94,7858
2026-04-16T00:00:00+05:30,153.96,154.47,150.51,150.84,3239
2026-04-17T00:00:00+05:30,153.86,155.0,149.01,150.2,7839
2026-04-20T00:00:00+05:30,150.47,153.9,148.0,150.26,3791
2026-04-21T00:00:00+05:30,148.15,150.99,148.15,150.26,4888
2026-04-22T00:00:00+05:30,150.27,150.48,148.24,150.2,4868
2026-04-23T00:00:00+05:30,150.2,153.0,148.5,149.25,3426
2026-04-24T00:00:00+05:30,150.0,150.0,146.3,148.92,2599
2026-04-27T00:00:00+05:30,154.8,154.8,149.0,149.54,151
2026-04-28T00:00:00+05:30,149.54,149.54,147.35,147.54,3426
2026-04-29T00:00:00+05:30,147.35,148.06,145.28,146.45,2251
2026-04-30T00:00:00+05:30,147.5,149.12,146.87,148.93,1519
2026-05-04T00:00:00+05:30,150.0,150.0,146.16,147.56,1190
